site,distance_m,width_cm,depth_cm,velocity_ms,presaltcond_uS,postsaltcond_uS,presalttemp_C,postsalttemp_C,finalcond_uS,finaltemp_C
GAVI,0,NA,NA,NA,8.3,90,7.6,8.7,8.6,NA
GAVI,5,46,28,0.19,NA,NA,NA,NA,NA,NA
GAVI,10,37,31,0.18,8,56.9,7.6,8.6,8.6,NA
GAVI,15,61,41,0.04,NA,NA,NA,NA,NA,NA
GAVI,20,26,11,0.5,7.8,57.4,7.5,8.5,8.5,NA
GAVI,25,55,14,0.28,NA,NA,NA,NA,NA,NA
GAVI,30,43,6,0.58,7.8,57,7.5,8.5,8.5,NA
GAVI,35,47,7,0.23,NA,NA,NA,NA,NA,NA
GAVI,40,52,8,0.75,7.7,47.5,7.5,8.4,8.5,NA
GAVI,45,67,4,0.8,NA,NA,NA,NA,NA,NA
GAVI,50,32,4,1.35,7.5,56.1,7.5,8.4,8.4,NA
GAVI,55,46,3,0.65,NA,NA,NA,NA,NA,NA
GAVI,60,47,4,0.85,7.6,55.9,7.5,8.4,8.2,NA
GAVI,65,51,3,0.86,NA,NA,NA,NA,NA,NA
GAVI,70,64,3,0.68,7.6,55,7.4,8.4,8.2,NA
GAVI,75,57,3,0.92,NA,NA,NA,NA,NA,NA
GAVI,80,60,16,0.15,7.7,54.8,7.4,8.3,8.2,NA
GAVI,85,120,21,0.11,NA,NA,NA,NA,NA,NA
GAVI,90,58,2,0.78,7.4,53.8,7.4,8.2,8.3,NA
GAVI,95,41,9,0.35,NA,NA,NA,NA,NA,NA
GAVI,100,18,12,0.74,7.6,50.4,7.3,8,8.5,NA
GAVI,105,66,23,0.13,NA,NA,NA,NA,NA,NA
GAVI,110,63,19,0.05,7.6,49.1,7.3,8,8.9,9.3
GAVI,115,45,22,0.18,NA,NA,NA,NA,NA,NA
GAVI,120,68,14,0.28,8.9,47.3,7.2,7.8,10.6,9.2
GAVI,125,33,8,0.49,NA,NA,NA,NA,NA,NA
