"","DOC","TDN","lon_fit","lat_fit","dist","ele_fit","Date"
"1",3.958,0.09001,-78.1941008369913,-0.31470741296339,3.19543029644197,4267.13120982319,"2021-07-06"
"2",3.866,0.1229,-78.1940521108975,-0.31473441296339,6.63008418578526,4267.19322405249,"2021-07-05"
"6",3.413,0.1029,-78.1936105699277,-0.31512841296339,50.8086444024709,4275.67688080147,"2021-07-06"
"7",3.018,0.07629,-78.1935963814562,-0.31514541296339,52.5933053981752,4275.68706261336,"2021-07-05"
"15",2.809,0.101,-78.1922170961156,-0.317096145205021,383.290565610757,4314.42219494504,"2021-07-05"
"17",2.405,0.1359,-78.1921692018141,-0.316536145205021,270.173154627979,4312.01848166081,"2021-07-06"
"19",3.059,0.09726,-78.1922158884628,-0.317135145205021,388.968057458639,4314.84512161148,"2021-07-05"
"20",3.226,0.125,-78.1921811778529,-0.317380145205021,429.389148107456,4319.31051203683,"2021-07-05"
