"","lon_fit","lat_fit","lon_dist","lat_dist","lon","lat","ele","time","lat_wypt","lon_wypt","ele_wypt","Date","EOS_no","Flux_ave","Tract","Point","CO2_ppm_ave","adjusted_ppm","DOC","TDN","AirTemp_c","VaisalaType","Total_hPa","GAVI_waterTempAve","ele_fit","slope","ante_slope","dist"
"304",-78.1941433038003,-0.31468541296339,-78.194141317508,-0.31468641296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.07796824882,0.0172205171426849,NA,455.492717833609
"303",-78.194141317508,-0.31468641296339,-78.1941393366322,-0.31468741296339,-78.1941479723901,-0.314700985327363,4266.95,"2021-07-12 10:46:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.08044375958,0.0172705946317956,0.0196846997384605,455.245166757578
"302",-78.194141317508,-0.31468641296339,-78.1941393366322,-0.31468741296339,-78.1941438652575,-0.314689669758081,4269.35,"2021-07-12 10:40:00",-0.314690005034208,-78.1941440328956,4269.284668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.08044375958,0.017317866408642,0.00985273846661873,455.245166757578
"301",-78.1941393366322,-0.31468741296339,-78.1941373611602,-0.31468841296339,-78.1941392552108,-0.314685143530369,4271.76,"2021-07-12 10:43:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.08291388633,0.0173625168566387,0.0131363891378311,454.998154082965
"300",-78.1941373611602,-0.31468841296339,-78.1941353910792,-0.31468941296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.08537864464,0.0174047141286519,0.0147776026644011,454.751678251111
"299",-78.1941353910792,-0.31468941296339,-78.1941334263766,-0.31469041296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.08783805018,0.0174446119396477,0.0157617112036028,454.505737697184
"298",-78.1941334263766,-0.31469041296339,-78.1941314670396,-0.31469141296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.09029211856,0.0174823510713535,0.016417160479896,454.260330859056
"297",-78.1941314670396,-0.31469141296339,-78.1941295130555,-0.31469241296339,-78.1941411830485,-0.314712803810835,4273.2,"2021-07-12 10:39:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.09274086541,0.0171708999060079,0.0168847143552772,454.015456174765
"296",-78.1941295130555,-0.31469241296339,-78.1941275644116,-0.31469341296339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.09518430632,0.0172110743214498,0.0172347559635074,453.771112083798
"295",-78.1941275644116,-0.31469341296339,-78.1941256210952,-0.31469441296339,-78.1941328011453,-0.314704841002822,4271.27,"2021-07-12 10:50:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4267.09762245693,0.0172492287328165,0.0175063882630303,453.527297022037
