"","lon_fit","lat_fit","dist","x_pred","w","d","notes","midpoint","length","area"
"1",-78.1921436687311,-0.317499145205021,0.626188440836105,0,10,3,"",0,3.51119946737387,0.351119946737387
"2",-78.1921630966534,-0.317451145205021,6.39621049391163,5,13,2,"",3.51119946737387,NA,NA
"3",-78.1921759352407,-0.317404145205021,11.8215457181666,10,22,3,"",9.10887810603911,NA,NA
"4",-78.1921857080826,-0.317357145205021,17.1658522917977,15,54,4,"",14.4936990049822,NA,NA
"5",-78.1921942167431,-0.317309145205021,22.5925803232421,20,23,5,"",19.8792163075199,NA,NA
"6",-78.1922018708612,-0.317261145205021,28.0034817074019,25,32,4,"",25.298031015322,NA,NA
"7",-78.192208561008,-0.317213145205021,33.398598556061,30,16,11,"",30.7010401317315,NA,NA
"8",-78.1922137392872,-0.317165145205021,38.7732668602617,35,17,8,"",36.0859327081614,NA,NA
"9",-78.1922166862381,-0.317117145205021,44.127309709276,40,26,5,"",47.58028835,12.2600007,3.187600182
"10",-78.1921614444443,-0.316554145205021,108.009943568354,95,40,22,"",105.0099436,3,1.2
"11",-78.1921760982718,-0.316522145205021,111.929593205071,100,16,15,"",109.969768386713,NA,NA
"12",-78.19219391622,-0.316491145205021,115.911016533692,105,29,19,"",113.920304869382,NA,NA
"13",-78.1922141213791,-0.316461145205021,119.937995802768,110,42,7,"wetland outlet",117.92450616823,NA,NA
"14",-78.1922349937385,-0.316433145205021,123.825859150335,115,20,11,"wetland inlet, little waterfalls",121.881927476552,NA,NA
"15",-78.1922593568766,-0.316402145205021,128.214968735276,120,250,7,"",126.020413942806,NA,NA
"16",-78.1922843854673,-0.316370145205021,132.737421657619,125,240,8,"",130.476195196447,NA,NA
"17",-78.1923084939749,-0.316337145205021,137.287200175168,130,22,5,"",135.012310916394,NA,NA
"18",-78.1923327514233,-0.316301145205021,142.119664491917,135,35,14,"",139.703432333543,NA,NA
"19",-78.192357464923,-0.316266145205021,146.890256396775,140,105,8,"",144.504960444346,NA,NA
"20",-78.1923859567887,-0.316234145205021,151.663882655774,145,160,30,"",149.277069526274,NA,NA
"21",-78.1924137461447,-0.316210145205021,155.753464946014,150,67,10,"",153.708673800894,NA,NA
"22",-78.1924432758728,-0.316189145205021,159.788103467059,155,50,14,"",157.770784206536,NA,NA
"23",-78.1924753472771,-0.316169145205021,163.995910710542,160,20,4,"",161.8920070888,NA,NA
"24",-78.1925063194258,-0.316151145205021,167.983696685379,165,48,13,"",165.98980369796,NA,NA
"25",-78.1925377909728,-0.316133145205021,172.019593283922,170,41,10,"",170.001644984651,NA,NA
"26",-78.1925698921902,-0.316114145205021,176.172179441565,175,79,26,"",174.095886362743,NA,NA
"27",-78.1926037953812,-0.316092145205021,180.67181454445,180,71,3,"",178.421996993007,NA,NA
"28",-78.1926374493606,-0.316066145205021,185.408334015447,185,57,6,"",183.040074279948,NA,NA
"29",-78.1926676864194,-0.316034145205021,190.318291269916,190,12,15,"",187.863312642681,NA,NA
"30",-78.1926874783221,-0.315996145205021,195.111473704051,195,30,14,"",192.714882486983,NA,NA
"31",-78.1926922461021,-0.315955145205021,199.730281290945,200,44,8,"",197.420877497498,NA,NA
"32",-78.1926820897758,-0.315901145205021,205.859429513888,206,35,29.5,"",202.794855402416,NA,NA
"33",-78.1926716275594,-0.315864145205021,210.139788988671,210,52,18,"",207.999609251279,NA,NA
"34",-78.192662288082,-0.315817145205021,215.479748165196,215,26,29,"",212.809768576933,NA,NA
"35",-78.1926633706104,-0.315770145205021,220.728756505433,220,49,12,"",218.104252335315,NA,NA
"36",-78.1926760017653,-0.315727145205021,225.729879311616,225,42,17,"",223.229317908525,NA,NA
"37",-78.1926971752039,-0.315687145205021,230.773267367237,230,15,23,"",228.251573339426,NA,NA
"38",-78.1927234248363,-0.315649145205021,235.915897069876,235,53,24,"",233.344582218556,NA,NA
"39",-78.1927508878279,-0.315613145205021,240.956408977444,240,42,19,"",238.43615302366,NA,NA
"40",-78.1927819940262,-0.315571145205021,246.775048868702,245,41,169,"",243.865728923073,NA,NA
"41",-78.1928062752074,-0.315532145205021,251.891820448704,250,158,31,"",249.333434658703,NA,NA
"42",-78.1928241947428,-0.315491145205021,256.87927976796,255,49,31,"",254.385550108332,NA,NA
"43",-78.19283407294,-0.315446145205021,262.016684112593,260,32,9,"",259.447981940276,NA,NA
"44",-78.1928370892823,-0.315401145205021,267.038543821817,265,12,17,"",264.527613967205,NA,NA
"45",-78.1928440263153,-0.315357145205021,272.014724877517,270,63,7,"",269.526634349667,NA,NA
"46",-78.1928693759506,-0.315321145205021,276.976112974725,275,49,7,"",274.495418926121,NA,NA
"47",-78.192906933884,-0.315298145205021,281.893657965146,280,75,10,"",279.434885469936,NA,NA
"48",-78.1929491868214,-0.315282145205021,286.92637360948,285,20,7,"",284.410015787313,NA,NA
"49",-78.1929922580645,-0.3152741,291.819023134628,290,20,9,"",289.372698372054,NA,NA
"50",-78.1930374193548,-0.3152671,296.906312160992,295,46,4,"",294.36266764781,NA,NA
"51",-78.1930632258064,-0.3152631,299.81333446167,300,47,10.5,"",298.359823311331,NA,NA
"52",-78.1930632258064,-0.3152631,299.81333446167,305,61,4,"",299.81333446167,NA,NA
"53",-78.1930632258064,-0.3152631,299.81333446167,310,20,6,"",299.81333446167,NA,NA
"54",-78.1930632258064,-0.3152631,299.81333446167,315,48,5,"",299.81333446167,NA,NA
"55",-78.1930632258064,-0.3152631,299.81333446167,320,21,4,"",299.81333446167,NA,NA
"56",-78.1930632258064,-0.3152631,299.81333446167,325,23,16,"",299.81333446167,NA,NA
"57",-78.1930632258064,-0.3152631,299.81333446167,330,16,6,"",299.81333446167,NA,NA
"58",-78.1930632258064,-0.3152631,299.81333446167,335,21,10,"",299.81333446167,NA,NA
"59",-78.1930632258064,-0.3152631,299.81333446167,340,32,14,"",299.81333446167,NA,NA
"60",-78.1930632258064,-0.3152631,299.81333446167,345,51,21,"",299.81333446167,NA,NA
"61",-78.1930632258064,-0.3152631,299.81333446167,350,35,12,"",299.81333446167,NA,NA
"62",-78.1930632258064,-0.3152631,299.81333446167,355,36,5,"",299.81333446167,NA,NA
"63",-78.1930632258064,-0.3152631,299.81333446167,360,40,3,"",299.81333446167,NA,NA
"64",-78.1930632258064,-0.3152631,299.81333446167,365,48,9,"",299.81333446167,NA,NA
"65",-78.1930632258064,-0.3152631,299.81333446167,370,63,12,"",299.81333446167,NA,NA
"66",-78.1930632258064,-0.3152631,299.81333446167,375,50,18,"",299.81333446167,NA,NA
"67",-78.1930632258064,-0.3152631,299.81333446167,380,83,26.5,"",299.81333446167,NA,NA
"68",-78.1930632258064,-0.3152631,299.81333446167,385,30,25.5,"",299.81333446167,NA,NA
"69",-78.1930632258064,-0.3152631,299.81333446167,390,15,22,"",299.81333446167,NA,NA
"70",-78.1930632258064,-0.3152631,299.81333446167,395,20,4,"becomes channel",299.81333446167,NA,NA
"71",-78.1930632258064,-0.3152631,299.81333446167,400,22,7,"* end of last gemorphology (this has not been entered, but maybe you want to look to compare differences across days? Just a thought)",299.81333446167,NA,NA
"72",-78.1930632258064,-0.3152631,299.81333446167,405,16,4,"",299.81333446167,NA,NA
"73",-78.1930632258064,-0.3152631,299.81333446167,410,16,4,"",299.81333446167,NA,NA
"74",-78.1930632258064,-0.3152631,299.81333446167,415,18,4,"",299.81333446167,NA,NA
"75",-78.1930632258064,-0.3152631,299.81333446167,420,9,4,"",299.81333446167,NA,NA
