"","lat_fit","lon_fit","lon_dist","lat_dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","ele_fit","dist_diff","dist","slope50m"
"16539",-0.328867613073492,-78.2015963631896,-78.2015963518934,-0.328867713073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.04171991412,0.011202745564475,29.7810958349781,-0.102232827212173
"16538",-0.328867713073492,-78.2015963518934,-78.2015963405646,-0.328867813073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.03935548412,0.0112031535693689,29.7922989885475,-0.102273747180635
"16537",-0.328867813073492,-78.2015963405646,-78.2015963292032,-0.328867913073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.03698843083,0.0112035622612439,29.8035025508088,-0.102314723001945
"16536",-0.328867913073492,-78.2015963292032,-78.2015963178094,-0.328868013073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.03461874728,0.0112039711384568,29.8147065219472,-0.102355754844516
"16535",-0.328868013073492,-78.2015963178094,-78.2015963063831,-0.328868113073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.03224642661,0.0112043800484685,29.8259109019957,-0.10239684287367
"16534",-0.328868113073492,-78.2015963063831,-78.2015962949245,-0.328868213073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.02987146197,0.0112047893041733,29.8371156912999,-0.102437987252276
"16533",-0.328868213073492,-78.2015962949245,-78.2015962834337,-0.328868313073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.02749384647,0.0112051982355297,29.8483208895354,-0.102479188147659
"16532",-0.328868313073492,-78.2015962834337,-78.2015962719107,-0.328868413073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.02511357335,0.0112056076573879,29.8595264971928,-0.102520445719218
"16531",-0.328868413073492,-78.2015962719107,-78.2015962603556,-0.328868513073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.02273063565,0.0112060169140307,29.8707325141068,-0.102561760134326
"16530",-0.328868513073492,-78.2015962603556,-78.2015962487685,-0.328868613073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.0203450266,0.0112064264671687,29.881938940574,-0.102603131553798
"16529",-0.328868613073492,-78.2015962487685,-78.2015962371496,-0.328868713073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.01795673929,0.0112068356671955,29.8931457762412,-0.102644560143807
