"","lon_fit","lat_fit","ele_fit","width","depth","dist","dist_ANTE","dist_GAVI","dist_COLM","dist_GAVItrib1","dist_GAVItrib2","dist_GAVItrib3","slope50m","Wetland","Wetland_2","Wetland_3","Wetland_4","Wetland_5","CatchmentSize_ha","CatchmentSize_m2","CatchmentSize_km2","Date","EOS_no","VaisalaType","CO2_ppm_ave","pCO2_ppm","F_CO2_umol_m2_s","flux_umolpers","Flux_gCO2asCperM2perDay","Totalflux_umolpers","WaterTemp_c","AirTemp_c","air_pressure_hpa","surface_area","DOC","TDN","pCO2_air_ppm","air_pressure_hpa_adjust","air_pressure_atm","water_pressure_atm","pCO2_w_atm","pCO2_air_atm","KH_mol.l.atm","KH_mol.m3.atm","Flux_mol_m2_d","k_m_d","Sc","K600"
"11",-78.19276832,-0.315590145,4301.832308,41.5,94,244.16928,244.16928,NA,NA,NA,NA,NA,-0.055311292,"ANTE","Antenas","ANTE","ANTE","ANTE",4.8294,48294,0.048294,"7/6/21","EOS2","old",803.9230769,1209.46321,0.285,4.332871007,0.295488,25.67967956,9.0615,6.879,626.3334,15.20305617,NA,NA,416.45,609.15646704,0.601190710667458,0.61911086702822,0.000748791816581834,0.000250365871457463,0.0558758339346738,55.8758339346738,0.024624,0.884166270970459,1090.78033288632,1.19213919732312
"12",-78.19266507,-0.315761145,4302.222193,45.5,14.5,221.7485368,221.7485368,NA,NA,NA,NA,NA,-0.093343751,"ANTE","Antenas","ANTE","ANTE","ANTE",4.3722,43722,0.043722,"7/6/21","EOS1","new",1146.187692,1272.841318,0.235,3.160431221,0.243648,21.34680855,9.0615,6.879,626.3334,13.4486435,NA,NA,416.45,609.10968084,0.60114453627656,0.61911086702822,0.000788029891976322,0.000250346642132373,0.0558758339346738,55.8758339346738,0.020304,0.675820061412496,1090.78033288632,0.911221805218663
"13",-78.1925583,-0.316121145,4306.77104,60,18,174.6643894,174.6643894,NA,NA,NA,NA,NA,-0.085238636,"ANTE","Antenas","ANTE","ANTE","ANTE",3.9591,39591,0.039591,"7/6/21","EOS2","old",616.7692308,928.338098,0.11,1.744993484,0.114048,18.18637733,9.195,6.884,626.2784,15.86357713,NA,NA,416.45,608.5088192,0.600551531923967,0.61905658624672,0.000574693813830653,0.000250099685469736,0.0556516064458438,55.6516064458438,0.009504,0.526123938894097,1082.17948413153,0.706581212786766
"14",-78.19236386,-0.316258145,4309.072122,113.5,20,148.0300794,148.0300794,NA,NA,NA,NA,NA,-0.0730451,"ANTE","Antenas","ANTE","ANTE","ANTE",3.0609,30609,0.030609,"7/6/21","EOS1","new",1421.803077,1578.686108,0.245,7.468277686,0.254016,16.44138385,9.337,6.89,626.4394,30.48276607,NA,NA,416.45,608.39368936,0.600437907602346,0.61921548089802,0.000977546877552243,0.000250052366620997,0.0554143209409606,55.4143209409606,0.021168,0.525083160155777,1073.12372617986,0.70222674121051
"15",-78.1922171,-0.317096145,4314.422195,33,13.5,46.46553906,46.46553906,NA,NA,NA,NA,NA,-0.16981744,"ANTE","Antenas","ANTE","ANTE","ANTE",0.5553,5553,0.005553,"7/5/21","EOS2","old",7644.076923,11459.57361,1.365,0,1.415232,4.734350404,8.41425,6.666,627.9044,0,2.809,0.101,416.45,609.2166806,0.601250136832798,0.62066132353252,0.00711251412390094,0.000250390619484019,0.0569789141384878,56.9789141384878,0.117936,0.301629417299706,1133.70568016688,0.414618075247689
"16",-78.19221589,-0.317135145,4314.845122,33,13.5,42.12155203,42.12155203,NA,NA,NA,NA,NA,-0.178442174,"ANTE","Antenas","ANTE","ANTE","ANTE",0.5517,5517,0.005517,"7/5/21","EOS2","old",755.0769231,1132.429194,0.055,0.225474735,0.057024,4.734350404,8.53875,6.662,627.8904,4.09954063,3.059,0.09726,416.45,609.15192936,0.601186232325338,0.62064750660632,0.000702839355664305,0.000250364006451887,0.0567646596451006,56.7646596451006,0.004752,0.185013521668435,1125.28842978559,0.253372672009235
"17",-78.19220306,-0.317253145,4316.716075,24,7.5,28.90388363,28.90388363,NA,NA,NA,NA,NA,-0.198872776,"ANTE","Antenas","ANTE","ANTE","ANTE",0.4698,4698,0.004698,"7/5/21","EOS2","old",850.0769231,1276.566228,0.085,0.326134215,0.088128,4.50887567,8.905,6.666,627.7364,3.836873112,NA,NA,416.45,608.773415,0.600812667684069,0.62049552041812,0.000792103625991056,0.000250208435457031,0.0561401150522493,56.1401150522493,0.007344,0.241403783966126,1100.97170778918,0.327006607070215
"18",-78.19218118,-0.317380145,4319.310512,38,3.5,14.55628335,14.55628335,NA,NA,NA,NA,NA,-0.220950298,"ANTE","Antenas","ANTE","ANTE","ANTE",0.3159,3159,0.003159,"7/5/21","EOS2","old",3554.461538,5341.61136,1,4.092839941,1.0368,4.182741455,9.09625,6.667,627.6114,4.092839941,3.226,0.125,416.45,608.33708256,0.600382041032488,0.62037215500562,0.0033137869506057,0.000250029100987979,0.0558173603337977,55.8173603337977,0.0864,0.505231024410902,1088.5333534522,0.680511167084651
"19",-78.1921692,-0.316536145,4312.018482,31,9,110.1921652,110.1921652,NA,NA,NA,NA,NA,-0.035180005,"ANTE","Antenas","ANTE","ANTE","ANTE",2.5047,25047,0.025047,"7/6/21","EOS2","old",3250.846154,4894.492681,0.255,4.238755756,0.264384,8.97310616,9.337,6.89,626.4394,16.62257159,2.405,0.1359,416.45,608.04012616,0.600088967842243,0.61921548089802,0.00303074563921725,0.000249907050657902,0.0554143209409606,55.4143209409606,0.022032,0.142973689969532,1073.12372617986,0.191207709568062
"20",-78.19214109,-0.317504145,4322.593278,10,3,0,0,NA,NA,NA,NA,NA,-0.241082796,"ANTE","Antenas","ANTE","ANTE","ANTE",0.2025,2025,0.002025,"7/5/21","EOS2",NA,NA,NA,0.083333333,0.089901514,NA,0.089901514,NA,NA,NA,1.07881817,NA,NA,416.45,NA,NA,NA,NA,NA,NA,NA,0.0071999999712,NA,NA,NA
