"","...1","lon_fit","lat_fit","ele_fit","width","depth","dist","dist_ANTE","dist_GAVI","dist_COLM","dist_GAVItrib1","dist_GAVItrib2","dist_GAVItrib3","slope50m","Wetland","Wetland_2","Wetland_3","Wetland_4","Wetland_5","CatchmentSize_ha","CatchmentSize_m2","CatchmentSize_km2","Date","EOS_no","VaisalaType","CO2_ppm_ave","adjusted_ppm","Flux_ave","flux_umolpers","Flux_gCO2asCperM2perDay","Totalflux_umolpers","WaterTemp_c","AirTemp_c","Total_hPa","air_pressure_atm","VaporPressure_atm","KH_mol.L.atm","k_m.d","Sc","K600.effective","surface_area","DOC","TDN","Join_ID","Catchment_Name","Water_area","Wet_area","Dry_area","water_precent","wet_precent","dry_precent"
"21",48,-78.19950772,-0.340090411,3948.605975,47.5,39,1.463504132,NA,NA,1.463504132,NA,NA,NA,-0.028262695,"COLM","Colmillo","COLM","COLM","COLM",50.5062,505062,0.505062,"7/9/21","EOS2","old",468.6923077,701.356737,-0.665,-12.9567628,-0.689472,-12.9567628,7.28,6.932,626.0484,0.617861753,0.009965462,0.05820633,-33.11527485,1218.304348,-47.18789842,19.48385383,2.753,0.1637,1,"COLM_01",20105.8330494,86872.8631867,335509.522012,4.54381206555127,19.6328081978425,75.8233797366063
"22",47,-78.19957917,-0.340520411,3946.810428,53.5,27,51.02666786,NA,NA,51.02666786,NA,NA,NA,-0.036774976,"COLM","Colmillo","COLM","COLM","COLM",53.4267,534267,0.534267,"7/9/21","EOS1",NA,NA,NA,0.175,4.431923785,0.18144,-8.524839015,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.32527877,2.824,0.1087,2,"COLM_02",2241.47303787,9031.47667351,44059.0188442,4.05095480313244,16.3223483806437,79.6266968162238
"23",49,-78.19934683,-0.340800411,3944.615601,55,24,94.15681054,NA,NA,94.15681054,NA,NA,NA,-0.050678935,"COLM","Colmillo","COLM","COLM","COLM",75.6369,756369,0.756369,"7/9/21","EOS2","old",591,883.8983801,0.16,4.869524079,0.165888,-3.655314936,7.179,6.927,626.2844,0.618094667,0.009962042,0.058386084,5.833501572,1225.845651,8.338186205,30.43452549,NA,NA,3,"COLM_03",1916.05212159,6761.72660569,42239.6069176,3.76306068609528,13.2797992670897,82.957140046815
"24",50,-78.19907918,-0.341160411,3940.952225,69,34.5,145.2527314,NA,NA,145.2527314,NA,NA,NA,-0.072480196,"COLM","Colmillo","COLM","COLM","COLM",78.12,781200,0.7812,"7/9/21","EOS1",NA,NA,NA,1.25,47.93761597,1.296,44.28230104,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.35009278,NA,NA,4,"COLM_04",1843.62849796,8729.83344701,38119.8982292,3.7862010166593,17.9281803839055,78.2856185994352
"25",52,-78.19878283,-0.341450411,3936.665451,NA,NA,193.670567,NA,NA,193.670567,NA,NA,NA,-0.08775172,"COLM","Colmillo","COLM","COLM","COLM",79.4763,794763,0.794763,"7/9/21","EOS2","old",509.4615385,761.8216451,0.075,1.203169417,0.07776,45.48547045,7.129,6.925,626.2944,0.618104536,0.009960674,0.058475325,3.305188943,1229.598303,4.731537577,16.0422589,NA,NA,5,"COLM_05",1570.70576544,7779.74497281,35046.384557,3.53787776762559,17.5231971402303,78.9389250921441
"26",36,-78.19868222,-0.341540411,3935.450216,38,38.5,208.1086889,NA,NA,208.1086889,NA,NA,NA,-0.088883054,"COLM","Colmillo","COLM","COLM","COLM",80.2476,802476,0.802476,"7/7/21","EOS2","old",561,840.9457288,2.47,25.65768138,2.560896,71.14315183,7.832,6.872,626.0604,0.617873596,0.009924491,0.057235883,100.4631046,1178.001056,140.7679576,10.38772525,1.505,0.06122,6,"COLM_06",1436.33624663,6939.96347906,32680.9359122,3.49837543690951,16.903143553716,79.5984810093745
"27",51,-78.19879791,-0.341780411,3933.003971,68.5,29,240.2440575,NA,NA,240.2440575,NA,NA,NA,-0.07823706,"COLM","Colmillo","COLM","COLM","COLM",80.2764,802764,0.802764,"7/9/21","EOS1",NA,NA,NA,0.505,6.595621136,0.523584,77.73877297,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.06063591,NA,NA,7,"COLM_07",1371.51569983,6682.19149562,31171.8101441,3.4964884923191,17.0353176932673,79.4681938144136
"28",35,-78.19879954,-0.341940411,3931.936076,52,45.5,259.551666,NA,NA,259.551666,NA,NA,NA,-0.066691688,"COLM","Colmillo","COLM","COLM","COLM",80.2872,802872,0.802872,"7/7/21","EOS1","new",654.8261538,727.4525297,1.73,20.92997959,1.793664,98.66875255,7.832,6.872,626.0604,0.617873596,0.009924491,0.057235883,85.2934087,1178.001056,119.5123224,12.0982541,1.569,0.08167,8,"COLM_08",1276.46170227,6303.25366176,27616.8403634,3.62666651860825,17.9087229744121,78.4646105069797
"29",37,-78.19860447,-0.342140411,3930.637613,43,64.5,290.942333,NA,NA,290.942333,NA,NA,NA,-0.045691208,"COLM","Colmillo","COLM","COLM","COLM",105.3261,1053261,1.053261,"7/7/21","EOS2","old",674.4615385,1011.31155,0.625,21.90152695,0.648,120.5702795,7.882,6.872,625.9294,0.617744309,0.009924491,0.05714897,20.1990778,1174.425723,28.25977465,35.04244312,NA,NA,9,"COLM_09",3713.34531793,19499.9946862,74226.4248012,3.81091367097273,20.0123581221261,76.1767282069012
"30",44,-78.19784387,-0.342620411,3929.160172,105,50.5,391.5225427,NA,NA,391.5225427,NA,NA,NA,-0.000882555,"COLM","Colmillo","COLM","COLM","COLM",166.113,1661130,1.66113,"7/7/21","EOS2","old",848.5384615,1273.369103,2.45,267.577282,2.54016,388.1475615,8.0325,6.873,625.5694,0.617389017,0.009925173,0.056888343,60.57233228,1163.73855,84.35802073,109.2152171,NA,NA,10,"COLM_10",3769.32434755,23700.6871231,65145.9149172,4.06984467419254,25.5902932113944,70.3398621144131
