"","lon_fit","lat_fit","ele_fit","width","depth","dist","dist_ANTE","dist_GAVI","dist_COLM","dist_GAVItrib1","dist_GAVItrib2","dist_GAVItrib3","slope50m","Wetland","Wetland_2","Wetland_3","Wetland_4","Wetland_5","CatchmentSize_ha","CatchmentSize_m2","CatchmentSize_km2","Date","EOS_no","VaisalaType","CO2_ppm_ave","adjusted_ppm","Flux_ave","flux_umolpers","Flux_gCO2asCperM2perDay","Totalflux_umolpers","WaterTemp_c","AirTemp_c","Total_hPa","air_pressure_atm","VaporPressure_atm","KH_mol.L.atm","k_m.d","Sc","K600.effective","surface_area","DOC","TDN"
"28",-78.19996523,-0.346350411,3899.002867,165,28,933.2268754,NA,NA,933.2268754,NA,NA,NA,-0.065027877,"COLM","Colmillo","COLM","COLM","COLM",190.8738,1908738,1.908738,"7/7/21","EOS2","old",556.3846154,836.6046946,0.135,10.31259008,0.139968,1120.018276,8.68,6.899,625.6314,0.617450206,0.00994291,0.055783634,5.863619557,1119.01778,8.007715833,76.38955613,NA,NA
"29",-78.19994467,-0.346520411,3899.002999,165,28,952.534841,NA,NA,952.534841,NA,NA,NA,-0.02646224,"COLM","Colmillo","COLM","COLM","COLM",193.1535,1931535,1.931535,"7/7/21","EOS2","old",894.6923077,1345.388003,0.08,5.170667278,0.082944,1125.188943,8.7295,6.903,625.7264,0.617543964,0.009945641,0.055700276,1.94114459,1115.681825,2.646990849,64.63334097,1.719,0.0869
"30",-78.19993737,-0.346140411,3899.735309,154,24,909.6432784,NA,NA,909.6432784,NA,NA,NA,-0.116939886,"COLM","Colmillo","COLM","COLM","COLM",190.4778,1904778,1.904778,"7/7/21","EOS1","new",737.1446154,819.375235,1.81,47.15564017,1.876608,1109.705686,8.68,6.899,625.6314,0.617450206,0.00994291,0.055783634,80.79354688,1119.01778,110.3365862,26.05283987,1.507,0.0712
"31",-78.1999367,-0.346540411,3899.003016,143,20,954.9547151,NA,NA,954.9547151,NA,NA,NA,-0.022097218,"COLM","Colmillo","COLM","COLM","COLM",193.3668,1933668,1.933668,"7/7/21","EOS2","old",837,1257.75926,0.44,88.0163318,0.456192,1213.205275,8.481,6.888,625.6324,0.617451193,0.009935402,0.056120309,11.370405,1132.54683,15.62170359,200.0371177,NA,NA
"32",-78.19986573,-0.345870411,3903.098292,128,40,878.3681408,NA,NA,878.3681408,NA,NA,NA,-0.119903464,"COLM","Colmillo","COLM","COLM","COLM",190.3257,1903257,1.903257,"7/7/21","EOS1","new",687.4446154,764.1083701,0.785,35.41739974,0.813888,1062.550045,8.581,6.897,625.6534,0.617471918,0.009941544,0.055950813,38.18865446,1125.724661,52.30880777,45.11770668,NA,NA
"33",-78.19973816,-0.345690411,3906.476466,105.5,20,853.8253044,NA,NA,853.8253044,NA,NA,NA,-0.095345361,"COLM","Colmillo","COLM","COLM","COLM",187.7076,1877076,1.877076,"7/7/21","EOS1","new",678.6923077,754.3712352,0,0,0,1027.132646,8.507923077,6.890692308,625.6620154,0.617480421,0.009937239,0.056074614,0,1130.705378,0,63.64807351,1.642,0.07594
"34",-78.19954955,-0.345230411,3911.819395,110,16.5,795.2167193,NA,NA,795.2167193,NA,NA,NA,-0.105123239,"COLM","Colmillo","COLM","COLM","COLM",175.5684,1755684,1.755684,"7/7/21","EOS2","old",828.5384615,1245.17563,0.33,39.89821594,0.342144,1027.132646,8.531,6.893,625.6874,0.617505474,0.009938814,0.056035482,8.658809557,1129.129758,11.87830546,120.9036847,NA,NA
"35",-78.19879954,-0.341940411,3931.936076,52,45.5,259.551666,NA,NA,259.551666,NA,NA,NA,-0.066691688,"COLM","Colmillo","COLM","COLM","COLM",80.2872,802872,0.802872,"7/7/21","EOS1","new",654.8261538,727.4525297,1.73,20.92997959,1.793664,98.66875255,7.832,6.872,626.0604,0.617873596,0.009924491,0.057235883,85.2934087,1178.001056,119.5123224,12.0982541,1.569,0.08167
"36",-78.19868222,-0.341540411,3935.450216,38,38.5,208.1086889,NA,NA,208.1086889,NA,NA,NA,-0.088883054,"COLM","Colmillo","COLM","COLM","COLM",80.2476,802476,0.802476,"7/7/21","EOS2","old",561,840.9457288,2.47,25.65768138,2.560896,71.14315183,7.832,6.872,626.0604,0.617873596,0.009924491,0.057235883,100.4631046,1178.001056,140.7679576,10.38772525,1.505,0.06122
"37",-78.19860447,-0.342140411,3930.637613,43,64.5,290.942333,NA,NA,290.942333,NA,NA,NA,-0.045691208,"COLM","Colmillo","COLM","COLM","COLM",105.3261,1053261,1.053261,"7/7/21","EOS2","old",674.4615385,1011.31155,0.625,21.90152695,0.648,120.5702795,7.882,6.872,625.9294,0.617744309,0.009924491,0.05714897,20.1990778,1174.425723,28.25977465,35.04244312,NA,NA
"38",-78.19852276,-0.344560411,3922.707348,30,25.5,654.3711052,NA,NA,654.3711052,NA,NA,NA,-0.024863958,"COLM","Colmillo","COLM","COLM","COLM",174.3336,1743336,1.743336,"7/7/21","EOS2","old",877.7692308,1318.547174,4.315,375.287493,4.473792,987.2344297,8.382,6.882,625.6834,0.617501526,0.009931309,0.056288735,104.7851782,1139.348087,144.3950964,86.97276779,NA,NA
