"","lat_fit","lon_fit","lon_dist","lat_dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","ele_fit","dist_diff","dist","slope50m"
"25381",-0.329600993153572,-78.2010884092716,-78.2010892308628,-0.329601993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.33581212757,0.144071232450756,679.969465927155,-0.10383564122112
"25371",-0.329601993153572,-78.2010892308628,-78.2010900531627,-0.329602993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.3286098756,0.14412133244241,680.113587259597,-0.103272554534827
"25361",-0.329602993153572,-78.2010900531627,-78.2010908761762,-0.329603993153572,-0.329587915912271,-78.2011086400598,4087.18,2021-12-18 11:21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.32136257022,0.144171797488866,680.257759057086,-0.102699376039403
"25351",-0.329603993153572,-78.2010908761762,-78.201091699908,-0.329604993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.31406944207,0.144222621773281,680.40198167886,-0.102116477524644
"25341",-0.329604993153572,-78.201091699908,-78.2010925243628,-0.329605993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.30672972019,0.14427380850708,680.546255487367,-0.101524231083304
"25331",-0.329605993153572,-78.2010925243628,-78.2010933495454,-0.329606993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.29934263148,0.144325359072639,680.690580846439,-0.100923009099371
"25321",-0.329606993153572,-78.2010933495454,-78.2010941754606,-0.329607993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.29190740079,0.144377270381653,680.834958116821,-0.100313184305873
"25311",-0.329607993153572,-78.2010941754606,-78.201095002113,-0.329608993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.28442325115,0.14442954472014,680.979387661541,-0.0996951296607631
"25301",-0.329608993153572,-78.201095002113,-78.2010958295074,-0.329609993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.27688940345,0.144482185317258,681.123869846858,-0.0990692184279507
"25291",-0.329609993153572,-78.2010958295074,-78.2010966576485,-0.329610993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.26930507637,0.144535190859813,681.268405037718,-0.0984358241493145
"25281",-0.329610993153572,-78.2010966576485,-78.2010974865412,-0.329611993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.26166948663,0.14458856277821,681.412993600496,-0.0977953205789049
"25271",-0.329611993153572,-78.2010974865412,-78.2010983161901,-0.329612993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.25398184877,0.144642299760449,681.557635900257,-0.0971480817941289
"25261",-0.329612993153572,-78.2010983161901,-78.2010991466,-0.329613993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.24624137531,0.144696404145805,681.702332304402,-0.0964944820444679
"25251",-0.329613993153572,-78.2010991466,-78.2010999777756,-0.329614993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.23844727653,0.144750873719488,681.847083178122,-0.0958348958719067
"25241",-0.329614993153572,-78.2010999777756,-78.2011008097218,-0.329615993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.23059876069,0.144805717165866,681.991888895288,-0.0946151291606711
"25231",-0.329615993153572,-78.2011008097218,-78.2011016424433,-0.329616993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.22269503343,0.144860924124544,682.136749819412,-0.0939368435844663
"25221",-0.329616993153572,-78.2011016424433,-78.2011024759448,-0.329617993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.21473529876,0.144916504195351,682.281666323608,-0.0932540425473849
"25211",-0.329617993153572,-78.2011024759448,-78.201103310231,-0.329618993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.20671875795,0.144972450632054,682.42663877424,-0.0925671026568428
"25201",-0.329618993153572,-78.201103310231,-78.2011041453068,-0.329619993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.19864461045,0.145028771249088,682.571667545489,-0.0918764006083853
"25191",-0.329619993153572,-78.2011041453068,-78.2011049811769,-0.329620993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.19051205301,0.145085458379754,682.716753003868,-0.0911823134131455
"25181",-0.329620993153572,-78.2011049811769,-78.2011058178461,-0.329621993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.18232028056,0.145142524384653,682.861895528253,-0.0904852180991165
"25171",-0.329621993153572,-78.2011058178461,-78.201106655319,-0.329622993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.17406848501,0.14519995342755,683.007095481681,-0.0897854919345123
"25161",-0.329622993153572,-78.201106655319,-78.2011074936006,-0.329623993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.1657558569,0.145257763333291,683.152353245014,-0.0890835123156458
"25151",-0.329623993153572,-78.2011074936006,-78.2011083326955,-0.329624993153572,-0.329625718295574,-78.2011055387557,4087.66,2021-12-18 11:21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.15738158341,0.145315941894069,683.297669186908,-0.0883796567571368
"25141",-0.329624993153572,-78.2011083326955,-78.2011091726085,-0.329625993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.14894485005,0.145374493303905,683.443043680212,-0.0876743029156379
"25131",-0.329625993153572,-78.2011091726085,-78.2011100133443,-0.329626993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.14044483973,0.145433421733287,683.588477101945,-0.0869678285615009
"25121",-0.329626993153572,-78.2011100133443,-78.2011108549077,-0.329627993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.13188073274,0.145492725013696,683.733969826959,-0.0862606115459829
"25111",-0.329627993153572,-78.2011108549077,-78.2011116973035,-0.329628993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.12325170704,0.145552401851148,683.87952222881,-0.0855530298788165
"25101",-0.329628993153572,-78.2011116973035,-78.2011125405364,-0.329629993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.11455693824,0.145612457373488,684.025134686184,-0.0848454615865691
"25091",-0.329629993153572,-78.2011125405364,-78.2011133846112,-0.329630993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.10579559921,0.14567288298548,684.170807569169,-0.0841382848497727
"25081",-0.329630993153572,-78.2011133846112,-78.2011142295326,-0.329631993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.09696686081,0.145733692038107,684.316541261207,-0.0834318778702979
"25071",-0.329631993153572,-78.2011142295326,-78.2011150753053,-0.329632993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.08806989062,0.145794873208956,684.462336134416,-0.0827266189092645
"25061",-0.329632993153572,-78.2011150753053,-78.2011159219342,-0.329633993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.07910385436,0.14585643526874,684.608192569685,-0.0820228863239424
"25051",-0.329633993153572,-78.2011159219342,-78.201116769424,-0.329634993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.07006791468,0.145918372389019,684.754110942074,-0.0813210584714774
"25041",-0.329634993153572,-78.201116769424,-78.2011176177793,-0.329635993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.060961232,0.145980689688315,684.900091631763,-0.0806215137737206
"25031",-0.329635993153572,-78.2011176177793,-78.2011184670051,-0.329636993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.05178296384,0.146043386831195,685.046135018594,-0.0799246306261396
"25021",-0.329636993153572,-78.2011184670051,-78.2011193171059,-0.329637993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.04253226511,0.146106460696558,685.19224147929,-0.078583547902053
"25011",-0.329637993153572,-78.2011193171059,-78.2011201680865,-0.329638993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.03320828829,0.146169910943399,685.338411390234,-0.0778935196730856
"25001",-0.329638993153572,-78.2011201680865,-78.2011210199518,-0.329639993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.02381018321,0.1462337482169,685.484645138451,-0.0772076617055083
"24991",-0.329639993153572,-78.2011210199518,-78.2011218727063,-0.329640993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.01433709634,0.146297961167932,685.630943099618,-0.0765263534865195
"24981",-0.329640993153572,-78.2011218727063,-78.2011227263548,-0.329641993153572,-0.329625299200416,-78.201140826568,4090.07,2021-12-18 11:20:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4087.00478817217,0.146362555852534,685.777305655471,-0.0758499744857229
"24971",-0.329641993153572,-78.2011227263548,-78.2011235809021,-0.329642993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.99516255206,0.146427531031975,685.923733186503,-0.0751789041241564
"24961",-0.329642993153572,-78.2011235809021,-78.2011244363529,-0.329643993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.9854593747,0.146492888167586,686.07022607467,-0.074513521788528
"24951",-0.329643993153572,-78.2011244363529,-78.2011252927118,-0.329644993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.97567777592,0.146558625090449,686.216784699761,-0.0738542068112021
"24941",-0.329644993153572,-78.2011252927118,-78.2011261499837,-0.329645993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.96581688888,0.146624747884289,686.363409447645,-0.073201338431623
"24931",-0.329645993153572,-78.2011261499837,-78.2011270081731,-0.329646993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.95587584351,0.14669124700265,686.510100694648,-0.0725552958608174
"24921",-0.329646993153572,-78.2011270081731,-78.201127867285,-0.329647993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.94585376755,0.146758134990762,686.656858829639,-0.0719164581720318
"24911",-0.329647993153572,-78.201127867285,-78.2011287273238,-0.329648993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.93574978499,0.146825398602459,686.803684228241,-0.0712852044232506
"24901",-0.329648993153572,-78.2011287273238,-78.2011295882944,-0.329649993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.92556301787,0.146893053169606,686.950577281411,-0.070661913475055
"24891",-0.329649993153572,-78.2011295882944,-78.2011304502014,-0.329650993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.91529258424,0.146961083584472,687.097538364995,-0.0700469641601192
"24881",-0.329650993153572,-78.2011304502014,-78.2011313130495,-0.329651993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.90493760025,0.147029501498025,687.244567866493,-0.0694407351581489
"24871",-0.329651993153572,-78.2011313130495,-78.2011321768434,-0.329652993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.8944971783,0.147098301034646,687.391666167528,-0.0688436050222334
"24861",-0.329652993153572,-78.2011321768434,-78.2011330415878,-0.329653993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.88397042819,0.147167487386469,687.538833654914,-0.0682559521608012
"24851",-0.329653993153572,-78.2011330415878,-78.2011339072873,-0.329654993153572,-0.329643152654171,-78.2011446822435,4089.59,2021-12-18 11:21:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.87335645636,0.147237051888567,687.686070706803,-0.0676781548551618
"24841",-0.329654993153572,-78.2011339072873,-78.2011347739467,-0.329655993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.86265436684,0.147307009007932,687.833377715811,-0.0671105912300254
"24831",-0.329655993153572,-78.2011347739467,-78.2011356415705,-0.329656993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.85186325954,0.147377345438997,687.98075506125,-0.0665536392155848
"24821",-0.329656993153572,-78.2011356415705,-78.2011365101635,-0.329657993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.84098223226,0.147448067311188,688.128203128561,-0.0654467821013699
"24811",-0.329657993153572,-78.2011365101635,-78.2011373797303,-0.329658993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.83001037928,0.147519176152173,688.275722304713,-0.0649206471405576
"24801",-0.329658993153572,-78.2011373797303,-78.2011382502755,-0.329659993153572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4086.81894679159,0.147590666041992,688.423312970755,-0.0644066514832052
