"","lat_fit","lon_fit","lon_dist","lat_dist","dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","ele_fit","slope"
"1678",-0.3317,-78.2040478152311,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4025.79020136105,-0.852417128910677
"1679",-0.331699,-78.2040457361344,-78.2040478152311,-0.3317,0.256820079195327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4026.0091191956,-0.852417128910677
"1680",-0.331698,-78.2040436543807,-78.2040457361344,-0.331699,0.513906730507911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4026.22826426079,-0.852417128910711
"1681",-0.331697,-78.2040415700073,-78.2040436543807,-0.331698,0.771256276529218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4026.44763342194,-0.852417128910648
"1682",-0.331696,-78.2040394830514,-78.2040415700073,-0.331697,1.02886504724413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4026.66722355065,-0.852417128910642
"1683",-0.331695,-78.2040373935499,-78.2040394830514,-0.331696,1.28672938901743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4026.88703153252,-0.852417128910699
"1684",-0.331694,-78.2040353015397,-78.2040373935499,-0.331695,1.54484565701697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4027.10705426061,-0.852417128910687
"1685",-0.331693,-78.2040332070575,-78.2040353015397,-0.331694,1.80321022420293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4027.32728864318,-0.852417128910694
"1686",-0.331692,-78.2040311101399,-78.2040332070575,-0.331693,2.06181946991128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4027.54773159392,-0.852417128910638
"1687",-0.331691,-78.2040290108232,-78.2040311101399,-0.331692,2.32066978628528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4027.76838003742,-0.852417128910684
"1688",-0.33169,-78.2040269091438,-78.2040290108232,-0.331691,2.57975758475079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4027.98923091473,-0.852417128910651
"1689",-0.331689,-78.2040248051376,-78.2040269091438,-0.33169,2.83907928327036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4028.21028117244,-0.852417128910688
"1690",-0.331688,-78.2040226988408,-78.2040248051376,-0.331689,3.09863130770562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4028.43152776391,-0.852417128910673
"1691",-0.331687,-78.2040205902891,-78.2040226988408,-0.331688,3.35841010975313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4028.65296766451,-0.852417128910657
"1692",-0.331686,-78.2040184795181,-78.2040205902891,-0.331687,3.61841214016396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4028.87459784878,-0.852417128910677
"1693",-0.331685,-78.2040163665634,-78.2040184795181,-0.331686,3.87863387052952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4029.09641530906,-0.85241712891068
"1694",-0.331684,-78.2040142514604,-78.2040163665634,-0.331685,4.13907178311942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4029.31841704677,-0.852417128910664
"1695",-0.331683,-78.2040121342442,-78.2040142514604,-0.331684,4.39972237219583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4029.54060007356,-0.852417128910682
"1696",-0.331682,-78.20401001495,-78.2040121342442,-0.331683,4.66058214408505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4029.76296141136,-0.852417128910685
"1697",-0.331681,-78.2040078936127,-78.20401001495,-0.331682,4.9216476197724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4029.9854980946,-0.852417128910659
"1698",-0.33168,-78.2040057702671,-78.2040078936127,-0.331681,5.18291533369256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4030.20820716918,-0.852417128910682
"1699",-0.331679,-78.2040036449478,-78.2040057702671,-0.33168,5.44438182863561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4030.43108568811,-0.852417128910681
"1700",-0.331678,-78.2040015176892,-78.2040036449478,-0.331679,5.70604366862896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4030.6541307225,-0.852417128910662
"1701",-0.331677,-78.2039993885258,-78.2040015176892,-0.331678,5.96789741974461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4030.87733934522,-0.852417128910677
"1702",-0.331676,-78.2039972574917,-78.2039993885258,-0.331677,6.22993967195373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4031.1007086495,-0.852417128910699
"1703",-0.331675,-78.2039951246211,-78.2039972574917,-0.331676,6.49216702120993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4031.32423573367,-0.852417128910698
"1704",-0.331674,-78.2039929899477,-78.2039951246211,-0.331675,6.75457607592196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4031.54791770669,-0.852417128910706
"1705",-0.331673,-78.2039908535053,-78.2039929899477,-0.331674,7.01716346339308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4031.77175169361,-0.852417128910692
"1706",-0.331672,-78.2039887153276,-78.2039908535053,-0.331673,7.27992582090543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4031.99573482799,-0.852417128910641
"1707",-0.331671,-78.2039865754481,-78.2039887153276,-0.331672,7.54285979960376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4032.2198642552,-0.852417128910673
"1708",-0.33167,-78.2039844338999,-78.2039865754481,-0.331671,7.80596205939888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4032.44413712811,-0.852417128910656
"1709",-0.331669,-78.2039822907164,-78.2039844338999,-0.33167,8.06922928185737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4032.66855061801,-0.852417128910705
"1710",-0.331668,-78.2039801459305,-78.2039822907164,-0.331669,8.33265815995808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4032.89310190595,-0.852417128910653
"1711",-0.331667,-78.2039779995752,-78.2039801459305,-0.331668,8.59624538660631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4033.11778817291,-0.852417128910689
"1712",-0.331666,-78.2039758516831,-78.2039779995752,-0.331667,8.85998769058264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4033.34260663044,-0.852417128910648
"1713",-0.331665,-78.2039737022868,-78.2039758516831,-0.331666,9.12388179424834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4033.56755448462,-0.852417128910667
"1714",-0.331664,-78.2039715514188,-78.2039737022868,-0.331665,9.38792444822624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4033.79262896563,-0.852417128910682
"1715",-0.331663,-78.2039693991115,-78.2039715514188,-0.331664,9.65211240192445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4034.01782730262,-0.85241712891067
"1716",-0.331662,-78.2039672453968,-78.2039693991115,-0.331663,9.91644243309134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4034.24314674887,-0.852417128910654
"1717",-0.331661,-78.2039650903069,-78.2039672453968,-0.331662,10.1809113234694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4034.46858456109,-0.852417128910653
"1718",-0.33166,-78.2039629338737,-78.2039650903069,-0.331661,10.4455158652319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4034.69413800488,-0.852417128910647
"1719",-0.331659,-78.2039607761288,-78.2039629338737,-0.33166,10.7102528777399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4034.919804369,-0.852417128910684
"1720",-0.331658,-78.2039586171039,-78.2039607761288,-0.331659,10.9751191831474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4035.1455809446,-0.852417128910667
"1721",-0.331657,-78.2039564568302,-78.2039586171039,-0.331658,11.2401116180165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4035.37146503511,-0.852417128910647
"1722",-0.331656,-78.2039542953392,-78.2039564568302,-0.331657,11.5052270384738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4035.59745396065,-0.852417128910678
"1723",-0.331655,-78.2039521326621,-78.2039542953392,-0.331656,11.7704623009825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4035.8235450416,-0.852417128910652
"1724",-0.331654,-78.2039499688296,-78.2039521326621,-0.331655,12.0358142970613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4036.04973562825,-0.852417128910681
"1725",-0.331653,-78.2039478038729,-78.2039499688296,-0.331654,12.3012799057723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4036.27602306025,-0.852417128910656
"1726",-0.331652,-78.2039456378225,-78.2039478038729,-0.331653,12.5668560438703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4036.5024047094,-0.852417128910692
"1727",-0.331651,-78.203943470709,-78.2039456378225,-0.331652,12.8325396311408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4036.72887795006,-0.85241712891066
"1728",-0.33165,-78.2039413025628,-78.203943470709,-0.331651,13.0983275955523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4036.95544016358,-0.852417128910678
"1729",-0.331649,-78.2039391334144,-78.2039413025628,-0.33165,13.364216884877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4037.18208874819,-0.852417128910702
"1730",-0.331648,-78.2039369632936,-78.2039391334144,-0.331649,13.6302044654176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4037.40882111792,-0.852417128910642
"1731",-0.331647,-78.2039347922307,-78.2039369632936,-0.331648,13.89628730662,-0.331628993153572,-78.2039438188076,4067.48,2021-12-18 10:39:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4037.63563468947,-0.852417128910638
"1732",-0.331646,-78.2039326202553,-78.2039347922307,-0.331647,14.1624624029482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4037.86252690087,-0.852417128910689
"1733",-0.331645,-78.2039304473973,-78.2039326202553,-0.331646,14.4287267520638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4038.08949519288,-0.852417128910636
"1734",-0.331644,-78.2039282736862,-78.2039304473973,-0.331645,14.6950773715541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4038.31653702323,-0.852417128910657
