"","x_pred","x","d","w","ele_arcpro","dist_diff","slope_mid","slope_up","catchment_ha","site"
"60",296.9063122,295,4,46,4301.858887,NA,NA,NA,5.3271,"Ante"
"61",304.1738679,300,10.5,47,4299.969238,10,0.356467119,0.183953416,5.3289,"Ante"
"62",304.3555568,301,NA,NA,4299.969238,NA,NA,NA,5.3289,"Ante"
"63",304.9006235,304,NA,NA,4298.865234,NA,NA,NA,5.3298,"Ante"
"64",305.8617834,305,4,61,4298.865234,NA,NA,NA,5.3298,"Ante"
"65",310.6675827,310,6,20,4296.496582,10,0.364741439,0.356467119,5.3316,"Ante"
"66",315.473382,315,5,48,4295.293457,NA,NA,NA,5.3325,"Ante"
"67",319.7986013,319.5,NA,NA,4294.086426,NA,NA,NA,5.3334,"Ante"
"68",320.3025864,320,4,21,4294.086426,10,0.312539358,0.364741439,5.3334,"Ante"
"69",325.3424366,325,16,23,4291.609863,NA,NA,NA,5.3352,"Ante"
"70",330.3822869,330,6,16,4290.334961,10,0.314509942,0.312539358,5.3361,"Ante"
"71",334.414167,334,NA,NA,NA,NA,NA,NA,5.337,"Ante"
"72",335.4221371,335,10,21,4289.048828,NA,NA,NA,5.337,"Ante"
"73",340.4619873,340,14,32,4287.746094,10,0.299774504,0.314509942,5.3379,"Ante"
"74",345.4010406,344.9,NA,NA,4285.15332,NA,NA,NA,5.3397,"Ante"
"75",346.5863633,345,21,51,4285.15332,NA,NA,NA,5.3397,"Ante"
"76",351.5098208,350,12,35,4284.001465,10,0.311386758,0.299774504,5.3406,"Ante"
"77",356.4332783,355,5,36,4282.266113,NA,NA,NA,5.4522,"Ante"
"78",361.3567358,360,3,40,4281.239746,10,0.21198951,0.311386758,5.4837,"Ante"
"79",366.2801932,365,9,48,4280.348633,NA,NA,NA,5.5107,"Ante"
"80",370.2189592,369,NA,NA,4279.837891,NA,NA,NA,5.5746,"Ante"
"81",371.1502926,370,12,63,4279.837891,10,0.192252106,0.21198951,5.5746,"Ante"
"82",373.4786261,372.5,NA,NA,4279.110352,NA,NA,NA,5.5755,"Ante"
"83",375.8069596,375,18,50,4278.279297,NA,NA,NA,5.5764,"Ante"
"84",380.4636266,380,26.5,83,4277.566406,10,0.160535153,0.192252106,5.6709,"Ante"
"85",385.1202936,385,25.5,30,4277.152832,NA,NA,NA,5.832,"Ante"
