"","lon_fit","lat_fit","ele_fit","dist","Date","EOS_no","VaisalaType","Flux_ave","CO2_ppm_ave","adjusted_ppm","AirTemp_c","WaterTemp_c","Total_hPa","Wetland","dist_ANTE","dist_GAVI","dist_COLM","air_pressure_atm","VaporPressure_atm","TotalAir_atm","Total_air_MolperL","CO2_air_MolesPerLiter","CO2_air_gCO2asCPerLiter","WaterTemp_K","KH_mol.L.atm","CO2_water_gCO2asCPerLiter","deltaCO2_gCO2asCperM3","Flux_gCO2asCperM2perDay","k_m.d","Sc","K600.effective"
"2",-78.1921293602556,-0.317494145205021,4321.14265653908,456.273839386466,"2021-07-05","EOS2","old",0.0833333333333333,651.883333333333,984.475405793992,6.68,10.56925,627.3064,"ANTE",456.273839386466,NA,NA,0.61910330239912,0.00979438374134186,0.609308918657778,0.0265354031347239,1.08795152852368e-05,0.000130554183422842,283.71925,0.0527084143242944,0.000622681650968012,0.0259392584597366,0.0864,3.33085851833859,999.677972225834,4.29942742193615
"13",-78.192187921553,-0.317394145205021,4319.28966177565,451.516478869492,"2021-07-05","EOS2","old",1,3097.73333333333,4671.7624651953,6.6755,10.184875,627.4869,"ANTE",451.516478869492,NA,NA,0.61928144205477,0.00979135249011397,0.609490089564656,0.0265437199822988,1.08829251927425e-05,0.00013059510231291,283.334875,0.0533167618960887,0.00298899896390282,0.15240083809125,1.0368,6.80311219403673,1022.66444143342,8.88175084161822
"27",-78.1922188725511,-0.317254145205021,4317.3487723502,444.747620950347,"2021-07-05","EOS2","old",0.085,683.35,1029.21255297006,6.673,9.78275,627.5504,"ANTE",444.747620950347,NA,NA,0.61934411168432,0.00978966881953987,0.60955444286478,0.0265467597860103,1.08841715122642e-05,0.00013061005814717,282.93275,0.0539625197194862,0.000666466832222275,0.0289161817378481,0.088128,3.04770528830403,1047.40532360723,4.02675059847198
"40",-78.1922104186143,-0.317124145205021,4315.83376677808,426.697750715714,"2021-07-05","EOS2","old",0.055,750.575,1129.03049238186,6.66925,9.3735,627.52915,"ANTE",426.697750715714,NA,NA,0.619323139564195,0.00978714379290051,0.609535995771294,0.0265463121508551,1.08839879818506e-05,0.000130607855782207,282.5235,0.0546296724561031,0.000740142791901286,0.033298693910737,0.057024,1.71249959992013,1073.32848542737,2.29045192787295
"43",-78.1922051686039,-0.317094145205021,4315.52878265778,421.298774441505,"2021-07-05","EOS2","old",1.365,6951.76666666667,10447.049546096,6.667,9.09625,627.6114,"ANTE",421.298774441505,NA,NA,0.61940431400562,0.00978562905290792,0.609618684952712,0.0265501268900626,1.08855520249257e-05,0.000130626624299108,282.24625,0.0550874367127126,0.00690601416846164,0.373238732543155,1.415232,3.79176081313149,1091.32532592627,5.11378453741828
"101",-78.1921753384774,-0.316534145205021,4311.74299498179,355.662611145548,"2021-07-06","EOS2","old",0.255,3068.05555555556,4621.68123238596,6.90016666666667,9.56683333333333,626.654233333333,"ANTE",355.662611145548,NA,NA,0.618459663920303,0.00994370608855692,0.608515957831746,0.0264800355376638,1.08568145704421e-05,0.000130281774845306,282.716833333333,0.0543132411062467,0.00301222184508953,0.156527505888928,0.264384,1.68905776974181,1060.98756773718,2.24607382130197
"132",-78.1923439141896,-0.316254145205021,4309.10704686808,323.228665806796,"2021-07-06","EOS1","new",0.245,624.008833333333,698.633222554636,6.9,9.573,626.6524,"ANTE",323.228665806796,NA,NA,0.61845785456092,0.00994359229543868,0.608514262265481,0.0264799775128738,1.08567907802782e-05,0.000130281489363339,282.723,0.0543031853573401,0.000455256112574163,0.0176471572006492,0.254016,14.3941597568279,1060.59673325714,19.137527856283
"149",-78.1925554587433,-0.316134145205021,4306.73904548516,309.658738091171,"2021-07-06","EOS2","old",0.11,611.416666666667,921.054116232877,6.899,9.54875,626.5674,"ANTE",309.658738091171,NA,NA,0.61837396608042,0.00994290956086788,0.608431056519552,0.0264764512911619,1.08553450293764e-05,0.000130264140352517,282.69875,0.0543427421793381,0.000600631276459936,0.0255610400071191,0.114048,4.46179028585049,1062.13465769508,5.93640221586964
"192",-78.1926712668171,-0.315764145205021,4302.53253188603,261.591311041146,"2021-07-06","EOS1","new",0.235,533.348,597.179483162146,6.8975,9.526375,626.4889,"ANTE",261.591311041146,NA,NA,0.61829649260137,0.00994188553659583,0.608354607064774,0.026473266317286,1.08540391900873e-05,0.000130248470281047,282.676375,0.0543792720691277,0.000389690227067705,0.0141082538783941,0.243648,17.2698905265046,1063.5560375062,22.9929210474998
"211",-78.1927603566739,-0.315594145205021,4301.94702760975,247.399216282447,"2021-07-06","EOS2","old",0.285,771.166666666667,1161.7153370462,6.896,9.504,626.4104,"ANTE",247.399216282447,NA,NA,0.61821901912232,0.00994086160541844,0.608278157516902,0.0264700813052399,1.08527333351483e-05,0.00013023280002178,282.654,0.0544158323040519,0.000758588483589013,0.0341924975042924,0.295488,8.64189578321692,1064.97969203864,11.513412443665
"212",-78.1927603566739,-0.315594145205021,4301.94702760975,245.924930636063,"2021-07-06","EOS2","old",0.285,771.166666666667,1161.7153370462,6.896,9.504,626.4104,"ANTE",245.924930636063,NA,NA,0.61821901912232,0.00994086160541844,0.608278157516902,0.0264700813052399,1.08527333351483e-05,0.00013023280002178,282.654,0.0544158323040519,0.000758588483589013,0.0341924975042924,0.295488,8.64189578321692,1064.97969203864,11.513412443665
"241",-78.1928319440226,-0.315414145205021,4301.37085206545,214.764288616871,"2021-07-06","EOS1","new",0.285,560.285918367347,627.343344058909,6.894,9.4355,626.2864,"ANTE",214.764288616871,NA,NA,0.61809664063312,0.00993949650864982,0.60815714412447,0.026465004241611,1.08506517390605e-05,0.000130207820868726,282.5855,0.0545279486922486,0.000410492948127215,0.0152833730383512,0.295488,19.3339519527868,1069.35231379422,25.8110348099732
"271",-78.1930931914894,-0.3152581,4295.87238165646,183.340182727955,"2021-07-06","EOS2","old",0.265,342.736111111111,516.123368124914,6.89166666666667,9.37804166666667,626.37565,"ANTE",183.340182727955,NA,NA,0.618184723537645,0.00993790410488935,0.608246819432755,0.0264691271583082,1.08523421349064e-05,0.000130228105618876,282.528041666667,0.0546222129631988,0.00033830160634803,0.0113654350688261,0.274752,24.1743495375385,1073.03662309493,32.3285662607565
"341",-78.1935803761422,-0.31516441296339,4276.31835331511,94.7482795258125,"2021-07-06","EOS1","new",-0.01,141.173,157.973996440414,6.887,9.266,626.3589,"ANTE",94.7482795258125,NA,NA,0.61816819257237,0.00993471997293396,0.608233472599436,0.0264689874272115,1.08522848451567e-05,0.00013022741814188,282.416,0.0548066046109425,0.000103896220340642,-0.00144312354682497,-0.010368,7.1844160694424,1080.26442876967,9.64008555556087
"343",-78.1935972188465,-0.31514441296339,4276.17072625844,92.5195143568754,"2021-07-05","EOS1","new",0.08,238.915254237288,266.864548617393,6.66798305084746,9.20512288135593,627.565196610169,"ANTE",92.5195143568754,NA,NA,0.619358714803657,0.00978629083475167,0.609572423968905,0.0265480188623516,1.08846877335642e-05,0.00013061625280277,282.355122881356,0.0549071150530685,0.000175833149694245,0.00248272935996292,0.082944,33.4083937369793,1084.21584287364,44.9094612090993
"344",-78.1935972188465,-0.31514441296339,4276.17072625844,91.4062002383677,"2021-07-05","EOS1","new",0.08,238.915254237288,266.864548617393,6.66798305084746,9.20512288135593,627.565196610169,"ANTE",91.4062002383677,NA,NA,0.619358714803657,0.00978629083475167,0.609572423968905,0.0265480188623516,1.08846877335642e-05,0.00013061625280277,282.355122881356,0.0549071150530685,0.000175833149694245,0.00248272935996292,0.082944,33.4083937369793,1084.21584287364,44.9094612090993
