"","lon_fit","lat_fit","ele_fit","dist","Date","EOS_no","VaisalaType","Flux_ave","CO2_ppm_ave","adjusted_ppm","AirTemp_c","WaterTemp_c","Total_hPa","Wetland","dist_ANTE","dist_GAVI","dist_COLM","air_pressure_atm","VaporPressure_atm","TotalAir_atm","Total_air_MolperL","CO2_air_MolesPerLiter","CO2_air_gCO2asCPerLiter","WaterTemp_K","KH_mol.L.atm","CO2_water_gCO2asCPerLiter","deltaCO2_gCO2asCperM3","Flux_gCO2asCperM2perDay","k_m.d","Sc","K600.effective"
"346",-78.1936138973886,-0.31512441296339,4276.0865000705,89.179500040855,"2021-07-06","EOS2","old",0.075,375.666666666667,565.439489238503,6.884,9.195,626.2784,"ANTE",89.179500040855,NA,NA,0.61808874524672,0.00993267350653343,0.608156071740187,0.0264659026372629,1.08510200812778e-05,0.000130212240975334,282.345,0.0549238503883515,0.000372673366927217,0.0133168986067725,0.07776,5.83919742097114,1084.87455912387,7.85176505791742
"358",-78.1936983899742,-0.31502441296339,4275.24002718783,75.7098669106578,"2021-07-05","EOS1","new",0.223333333333333,456.918888888889,511.259200526209,6.673,9.78275,627.5504,"ANTE",75.7098669106578,NA,NA,0.61934411168432,0.00978966881953987,0.60955444286478,0.0265467597860103,1.08841715122642e-05,0.00013061005814717,282.93275,0.0539625197194862,0.000331066016281972,0.0108171085937377,0.231552,21.4060899910029,1047.40532360723,28.2825855941544
"359",-78.1936983899742,-0.31502441296339,4275.24002718783,74.5754485989878,"2021-07-05","EOS1","new",0.223333333333333,456.918888888889,511.259200526209,6.673,9.78275,627.5504,"ANTE",74.5754485989878,NA,NA,0.61934411168432,0.00978966881953987,0.60955444286478,0.0265467597860103,1.08841715122642e-05,0.00013061005814717,282.93275,0.0539625197194862,0.000331066016281972,0.0108171085937377,0.231552,21.4060899910029,1047.40532360723,28.2825855941544
"380",-78.1938382832536,-0.31488441296339,4272.06617921147,50.5828588593118,"2021-07-05","EOS1","new",0.373333333333333,1004.30861111111,1124.72741966219,6.674,10.0475,627.4884,"ANTE",50.5828588593118,NA,NA,0.61928292243972,0.00979034225709676,0.609492580182623,0.026543970738974,1.08830280029793e-05,0.000130596336035752,283.1975,0.0535362878197685,0.000722564770293847,0.0316917924766591,0.387072,12.2136354478869,1031.03601887853,16.0105498297522
"386",-78.1939135866291,-0.31482441296339,4270.5468663507,43.7964738689166,"2021-07-05","EOS1","new",0.0933333333333333,736.493,823.474017477847,6.67,9.54075,627.5644,"ANTE",43.7964738689166,NA,NA,0.61935792861052,0.0097876487522275,0.609570279858292,0.026547734124253,1.08845709909437e-05,0.000130614851891325,282.69075,0.0543557996621521,0.000537127064652161,0.0220962963970462,0.096768,4.37937644667619,1062.64259944899,5.82814387213151
"399",-78.1940521108975,-0.31473441296339,4269.00121843239,29.2791167775284,"2021-07-05","EOS1","new",0.11,330.024305555556,370.10849944053,6.67875,10.4663333333333,627.380983333333,"ANTE",29.2791167775284,NA,NA,0.619176910428578,0.00979354164402295,0.609383368784555,0.0265387639863126,1.08808932343882e-05,0.000130570718812658,283.616333333333,0.0528704548268317,0.000234813656408364,0.00551137152317002,0.114048,20.693215748664,1005.76996938176,26.7917876679566
"400",-78.1940521108975,-0.31473441296339,4269.00121843239,28.1621471158703,"2021-07-05","EOS1","new",0.11,330.024305555556,370.10849944053,6.67875,10.4663333333333,627.380983333333,"ANTE",28.1621471158703,NA,NA,0.619176910428578,0.00979354164402295,0.609383368784555,0.0265387639863126,1.08808932343882e-05,0.000130570718812658,283.616333333333,0.0528704548268317,0.000234813656408364,0.00551137152317002,0.114048,20.693215748664,1005.76996938176,26.7917876679566
"401",-78.1940521108975,-0.31473441296339,4269.00121843239,27.0428492976537,"2021-07-05","EOS1","new",0.11,330.024305555556,370.10849944053,6.67875,10.4663333333333,627.380983333333,"ANTE",27.0428492976537,NA,NA,0.619176910428578,0.00979354164402295,0.609383368784555,0.0265387639863126,1.08808932343882e-05,0.000130570718812658,283.616333333333,0.0528704548268317,0.000234813656408364,0.00551137152317002,0.114048,20.693215748664,1005.76996938176,26.7917876679566
"402",-78.1940521108975,-0.31473441296339,4269.00121843239,25.9205672668637,"2021-07-05","EOS1","new",0.11,330.024305555556,370.10849944053,6.67875,10.4663333333333,627.380983333333,"ANTE",25.9205672668637,NA,NA,0.619176910428578,0.00979354164402295,0.609383368784555,0.0265387639863126,1.08808932343882e-05,0.000130570718812658,283.616333333333,0.0528704548268317,0.000234813656408364,0.00551137152317002,0.114048,20.693215748664,1005.76996938176,26.7917876679566
"403",-78.1940521108975,-0.31473441296339,4269.00121843239,24.794593193834,"2021-07-05","EOS1","new",0.11,330.024305555556,370.10849944053,6.67875,10.4663333333333,627.380983333333,"ANTE",24.794593193834,NA,NA,0.619176910428578,0.00979354164402295,0.609383368784555,0.0265387639863126,1.08808932343882e-05,0.000130570718812658,283.616333333333,0.0528704548268317,0.000234813656408364,0.00551137152317002,0.114048,20.693215748664,1005.76996938176,26.7917876679566
"413",-78.1941064781419,-0.31470441296339,4268.81410383985,13.1403037862954,"2021-07-06","EOS1","new",1.075,439.278333333333,491.274495722578,6.879,9.0615,626.3334,"ANTE",13.1403037862954,NA,NA,0.61814302602822,0.00992926355609722,0.608213762472123,0.0264688858396379,1.08522431942515e-05,0.000130226918331018,282.2115,0.05514514565431,0.000325096843474431,0.010746130405678,1.11456,103.717334326326,1093.60611689381,140.025195102482
"414",-78.1941064781419,-0.31470441296339,4268.81410383985,11.9129882557297,"2021-07-06","EOS1","new",1.075,439.278333333333,491.274495722578,6.879,9.0615,626.3334,"ANTE",11.9129882557297,NA,NA,0.61814302602822,0.00992926355609722,0.608213762472123,0.0264688858396379,1.08522431942515e-05,0.000130226918331018,282.2115,0.05514514565431,0.000325096843474431,0.010746130405678,1.11456,103.717334326326,1093.60611689381,140.025195102482
"415",-78.1941064781419,-0.31470441296339,4268.81410383985,10.6698265398099,"2021-07-06","EOS1","new",1.075,439.278333333333,491.274495722578,6.879,9.0615,626.3334,"ANTE",10.6698265398099,NA,NA,0.61814302602822,0.00992926355609722,0.608213762472123,0.0264688858396379,1.08522431942515e-05,0.000130226918331018,282.2115,0.05514514565431,0.000325096843474431,0.010746130405678,1.11456,103.717334326326,1093.60611689381,140.025195102482
"55100",-78.2038431329403,-0.331605,4057.54389115147,25.1197818968752,"2021-06-22","EOS_1","new",-0.035,204.091666666667,227.657198451216,6.761,8.61025,627.2604,"GAVI",NA,25.1197818968752,NA,0.61905790392732,0.00984908811096406,0.609208815816356,0.0265233661637643,1.08745801271434e-05,0.00013049496152572,281.76025,0.0559013552691685,0.00015271615116246,0.00124219461638697,-0.036288,-29.2128137743397,1123.73821945589,-39.978854008495
"8710",-78.2037821124498,-0.331577,4056.78743896663,32.5934396867543,"2021-06-22","EOS_1","new",0.025,215.0745,239.807531791263,6.762,8.48775,627.3004,"GAVI",NA,32.5934396867543,NA,0.61909738085932,0.00984976515559441,0.609247615703725,0.0265249606477471,1.08752338655763e-05,0.000130502806386916,281.63775,0.0561088484531788,0.000161463893510482,0.00173719094536186,0.02592,14.9206395930189,1132.0848251544,20.4951593569523
"186",-78.203596332036,-0.331489,4062.99507705235,55.4775244452286,"2021-06-22","EOS_1","new",0.75,210.532786885246,234.907999242723,6.759,8.645,627.1294,"GAVI",NA,55.4775244452286,NA,0.61892861697502,0.00984773414494848,0.609080882830072,0.0265179857689412,1.08723741652659e-05,0.000130468489983191,281.795,0.0558426675393766,0.000157414671648618,0.0015047466641981,0.7776,516.764727579174,1121.38356339681,706.470986054316
"36510",-78.2032739596144,-0.331311,4065.54450546115,96.4904166793711,"2021-06-22","EOS_1","new",0.17,258.966166666667,289.024034152774,6.7595,8.70675,627.0734,"GAVI",NA,96.4904166793711,NA,0.61887334927022,0.00984807262104739,0.609025276649173,0.0265155174387293,1.0871362149879e-05,0.000130456345798548,281.85675,0.0557385683071745,0.000193317430440474,0.00350378686017707,0.176256,50.3044297594897,1117.21357222527,68.6433873606805
"37110",-78.2032645352134,-0.331305,4065.60515681312,97.7340928498855,"2021-06-22","EOS_1","new",0.43,239.114814814815,266.909149893048,6.75816666666667,8.73666666666667,627.0269,"GAVI",NA,97.7340928498855,NA,0.61882745733677,0.00984717004093803,0.608980287295832,0.0265136850053524,1.08706108521945e-05,0.000130447330226334,281.886666666667,0.0556882204421053,0.000178364346927108,0.00266841338896072,0.445824,167.074562676226,1115.19980545961,227.777619754865
"612",-78.202951423077,-0.331068,4068.64660652543,141.490297213318,"2021-06-22","EOS_1","new",0.26,260.178333333333,290.369017074705,6.756,8.67725,627.0284,"GAVI",NA,141.490297213318,NA,0.61882893772172,0.00984570350400594,0.608983234217714,0.0265140185432724,1.08707476027417e-05,0.0001304489712329,281.82725,0.0557882700022892,0.000194390221498356,0.00356717173409317,0.269568,75.5691119167629,1119.20345216535,103.210341202667
"670",-78.2028858300362,-0.33101,4069.60812104196,151.237229349773,"2021-06-22","EOS_1","new",1.315,262.050166666667,292.338105549204,6.752,8.554,627.0599,"GAVI",NA,151.237229349773,NA,0.61886002580567,0.00984299655774368,0.609017029247926,0.0265158688425445,1.08715062254432e-05,0.000130458074705319,281.704,0.0559965149005048,0.000196438981000456,0.00369470080250446,1.363392,369.012830233999,1127.56192775423,505.866643148984
"816",-78.2027226234159,-0.330864,4071.84200970181,175.613977553647,"2021-06-22","EOS_1","new",0.25,270.791833333333,301.86363797338,6.748,8.3405,627.1434,"GAVI",NA,175.613977553647,NA,0.61894243390122,0.00984029026849232,0.609102143632728,0.0265199536095976,1.0873180979935e-05,0.00013047817175922,281.4905,0.0563595238040405,0.00020415469067922,0.00415237352187056,0.2592,62.42213005039,1142.21317833735,86.1264491278314
"958",-78.2025528591991,-0.330722,4073.93857179762,200.253768058048,"2021-06-22","EOS_1","new",0.025,273.8465,305.114253336955,6.745,8.18675,627.1784,"GAVI",NA,200.253768058048,NA,0.61897697621672,0.00983826098263491,0.609138715234085,0.0265218301819027,1.08739503745801e-05,0.000130487404494961,281.33675,0.0566227418468647,0.000207316867205967,0.00435029483331862,0.02592,5.95821685497738,1152.9005755192,8.25917386356656
"1085",-78.2023933118452,-0.330601,4075.56396447858,222.545971737482,"2021-06-18","EOS_1","new",0.45,755.060625,840.413341086856,7.825,7.745,626.9584,"GAVI",NA,222.545971737482,NA,0.61875985309072,0.010593130880042,0.608166722210678,0.0263777288801793,1.08148688408735e-05,0.000129778426090482,280.895,0.0573875010047371,0.000578750657472197,0.0257653943795172,0.46656,18.1080092595401,1184.25173416791,25.4399994384272
"1210",-78.2022148533641,-0.330476,4076.91539930242,246.801166646722,"2021-06-18","EOS_1","new",0.505,658.354,732.863610699862,7.828,7.80175,626.9944,"GAVI",NA,246.801166646722,NA,0.61879538232952,0.0105952969720931,0.608200085357427,0.0263788942739702,1.08153466523278e-05,0.000129784159827933,280.95175,0.0572885445876445,0.000503816275658895,0.0214277555449931,0.523584,24.4348503463464,1180.17015516138,34.2693898563267
"1430",-78.2018864379987,-0.330257,4077.09361470306,290.742851439399,"2021-06-18","EOS_1","new",0.845,525.855833333333,585.653362124769,7.836,7.89225,626.8364,"GAVI",NA,290.742851439399,NA,0.61863944844812,0.0106010751281306,0.608038373319989,0.0263711296505249,1.08121631567152e-05,0.000129745957880583,281.04225,0.0571311727317255,0.000401508760709592,0.015526127630482,0.876096,56.4272058591086,1173.69431014668,78.9206075661089
"1563",-78.2017078403642,-0.330135,4077.60805997359,314.820318157801,"2021-06-18","EOS_1","new",2.665,386.165833333333,430.071888494669,7.841,7.9255,626.9214,"GAVI",NA,314.820318157801,NA,0.61872333692862,0.0106046878872571,0.608118649041363,0.0263741419611214,1.08133982040598e-05,0.000129760778448717,281.0755,0.0570734878401712,0.000294548432380799,0.009405006162903,2.763072,293.787367295795,1171.32525424181,410.484011351786
"1833",-78.2013594264059,-0.329866,4082.76005871798,363.841749402332,"2021-06-18","EOS_1","new",0.385,487.462166666667,543.183797321229,7.8475,8.0255,626.7359,"GAVI",NA,363.841749402332,NA,0.61854026265647,0.0106093860980092,0.607930876558461,0.0263653883623095,1.08098092285469e-05,0.000129717710742563,281.1755,0.0569004321316463,0.000370888713533838,0.013722734276446,0.399168,29.0880805500359,1164.23315347311,40.5190654631395
"1977",-78.201204451156,-0.329722,4085.6213538913,387.395767225179,"2021-06-18","EOS_1","new",0.245,408.220166666667,455.056506957745,7.857,8.0995,626.6184,"GAVI",NA,387.395767225179,NA,0.61842429916872,0.0106162560170019,0.607808043151718,0.0263591700391405,1.08072597160476e-05,0.000129687116592571,281.2495,0.0567727877481787,0.000310017917795276,0.0102378823011401,0.254016,24.8113811556235,1159.01666012996,34.4841999531172
"2165",-78.2010302394368,-0.329534,4088.10686632642,415.934918380717,"2021-06-18","EOS_1","new",0.915,343.489,383.055564977515,7.868,8.15625,626.4404,"GAVI",NA,415.934918380717,NA,0.61824862682132,0.0106242155629074,0.607624411258412,0.0263501748906601,1.08035717051706e-05,0.000129642860462048,281.30625,0.056675137708759,0.000260516722742486,0.00741729416722099,0.948672,127.900010248001,1155.0343483728,177.456701116154
"2357",-78.2008767342562,-0.329343,4089.90333652024,443.217235952474,"2021-06-18","EOS_1","new",0.99,344.740666666667,384.592683561221,7.877,8.22725,626.3254,"GAVI",NA,443.217235952474,NA,0.61813513064182,0.0106307318342248,0.607504398807595,0.0263441267356,1.0801091961596e-05,0.000129613103539152,281.37725,0.0565532593985552,0.00026099963755469,0.00743033673965783,1.026432,138.140710975,1150.07421391705,191.253325228063
"2495",-78.2007795258703,-0.329206,4091.70166790895,461.919646341195,"2021-06-18","EOS_1","new",0.135,381.582333333333,425.864747842204,7.886,8.29475,626.1764,"GAVI",NA,461.919646341195,NA,0.61798807907012,0.0106372516313176,0.607350827438802,0.0263366237486987,1.07980157369665e-05,0.000129576188843598,281.44475,0.056437689059088,0.000288417866639343,0.00896465722106012,0.139968,15.6133130970342,1145.38133859095,21.5722028329577
"2654",-78.2006861704439,-0.329048,4094.81121053363,482.360244646778,"2021-06-18","EOS_1","new",0.305,791.842881355932,883.632278306371,7.89,8.27225,626.2134,"GAVI",NA,482.360244646778,NA,0.61802459523222,0.0106401504510726,0.607384444781147,0.0263377066354314,1.07984597205269e-05,0.000129581516646322,281.42225,0.0564761800820971,0.000598850108111812,0.0265024974784771,0.316224,11.9318566205622,1146.94317181221,16.4969383313334
"2700",-78.2006646551911,-0.329003,4095.68457075503,487.91324238298,"2021-06-18","EOS_1","new",0.515,1004.647,1121.41604026409,7.8945,8.31175,626.0949,"GAVI",NA,487.91324238298,NA,0.61790764482117,0.0106434124563367,0.607264232364833,0.0263320722968241,1.07961496416979e-05,0.000129553795700375,281.46175,0.0564086284298467,0.000759090488766325,0.0355113014021117,0.533952,15.0361146710396,1144.20291501657,20.7640243202838
"2917",-78.200602967393,-0.328786,4100.24668435762,513.130566906453,"2021-06-18","EOS_1","new",0.505,2175.08566666667,2428.33904308461,7.902,8.34675,626.0364,"GAVI",NA,513.130566906453,NA,0.61784990980812,0.0106488510924097,0.60720105871571,0.026328630363283,1.0794738448946e-05,0.000129536861387352,281.49675,0.0563488558695328,0.00164200952089361,0.0852261038971269,0.523584,6.14346985322711,1141.78115620375,8.47480163851747
"3122",-78.200607085156,-0.328581,4102.77689421713,536.004680014724,"2021-06-18","EOS_1","new",0.75,3049.18728813559,3404.28955654441,7.908,8.33152966101695,625.986654237288,"GAVI",NA,536.004680014724,NA,0.617800814555823,0.0106532037663831,0.60714761078944,0.0263257508149809,1.07935578341422e-05,0.000129522694009706,281.481529661017,0.0563748393601022,0.00230299532262558,0.122529170291799,0.7776,6.34624390378367,1142.83357019475,8.7585583696166
"3343",-78.200611245549,-0.328361,4103.89309675385,560.598397447878,"2021-06-18","EOS_1","new",0.6,3074.637,3432.55698512,7.9,8.32575,626.0054,"GAVI",NA,560.598397447878,NA,0.61781931518582,0.0106474005497829,0.607171914636037,0.0263275540072077,1.07942971429552e-05,0.000129531565715462,281.47575,0.0563847100170065,0.0023225247626741,0.123651285479781,0.62208,5.03092222281605,1143.23349990831,6.94447548406674
"3955",-78.1998747633596,-0.326342710792542,4107.21825080724,836.387914255278,"2021-06-30","EOS_2","old",0.145,535.219858156028,803.059125768151,6.739,8.19325,626.2684,"GAVI",NA,836.387914255278,NA,0.61807887601372,0.00983420351916409,0.608244672494556,0.0264834713788512,1.0858223265329e-05,0.000130298679183948,281.34325,0.0566115832463195,0.000545549382601683,0.0235079997646258,0.150336,6.39509960461296,1152.44642358855,8.86302675093985
"4197",-78.19985738685,-0.326101710792542,4109.57298379298,864.815200147689,"2021-06-30","EOS_2","old",0.43,521.420168067227,782.084850589294,6.721,8.12925,626.4174,"GAVI",NA,864.815200147689,NA,0.61822592758542,0.00982203999054798,0.608403887594872,0.0264921074742277,1.08617640644334e-05,0.0001303411687732,281.27925,0.0567215708813513,0.00053233297545518,0.0228016067564344,0.445824,19.5523063248248,1156.92705248553,27.150345193941
"4270",-78.1998132535558,-0.326028710792542,4110.31659358011,874.312020760739,"2021-06-29","EOS_2","old",0.61,607.078488372093,912.065230177518,7.232,8.75275,626.7564,"GAVI",NA,874.312020760739,NA,0.61856049458412,0.0101725607939531,0.608387933790167,0.026443131828509,1.08416840496887e-05,0.000130100208596264,281.90275,0.0556611764174719,0.000609199484173836,0.0266672292994062,0.632448,23.7162996162516,1114.11894907939,32.3174498483845
"4525",-78.1997083434201,-0.325780710792542,4111.67134176401,904.538774940386,"2021-06-30","EOS_2","old",0.09,627.397849462366,941.574496141941,6.75948387096774,8.23521774193548,626.174335483871,"GAVI",NA,904.538774940386,NA,0.617986041551049,0.00984806170230326,0.608137979848746,0.0264768881641789,1.08555241473133e-05,0.00013026628976776,281.385217741935,0.0565396022058553,0.000638834969508527,0.0287542708469,0.093312,3.24515271129054,1149.51911148473,4.49177104878647
"4574",-78.199704301023,-0.325738710792542,4112.42649781632,909.237165252088,"2021-06-29","EOS_2",NA,1.91,NA,NA,NA,NA,NA,"GAVI",NA,909.237165252088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.980288,NA,NA,NA
"4692",-78.1997062434632,-0.325621710792542,4115.70716255403,922.270492285736,"2021-06-29","EOS_2","old",0.16,218.448813559322,328.11158874619,7.22476271186441,8.69396186440678,626.825857627119,"GAVI",NA,922.270492285736,NA,0.618629043934686,0.0101675203083433,0.608461523626343,0.026447013013051,1.08432753353509e-05,0.000130119304024211,281.843961864407,0.055760107082501,0.000219546447881965,0.00498646711759057,0.165888,33.267641415864,1118.07566985848,45.4131874357103
"4913",-78.1997005589463,-0.325404710792542,4121.5715767712,946.494009697775,"2021-06-30","EOS_2","old",0.015,372.884615384615,559.827915602014,6.79930769230769,8.38742307692308,626.272169230769,"GAVI",NA,946.494009697775,NA,0.618082595955389,0.00987505350531402,0.608207542450075,0.0264761498893804,1.0855221454646e-05,0.000130262657455752,281.537423076923,0.0562794931007494,0.000378081975764765,0.0139471456150046,0.015552,1.11506686954418,1138.97430121131,1.53632200049358
"4970",-78.1996886725178,-0.325347710792542,4123.42369846919,952.977265603055,"2021-06-29","EOS_2","old",0.54,401.744859813084,603.204953140734,7.21873831775701,8.61094158878505,626.931465420561,"GAVI",NA,952.977265603055,NA,0.618733270726696,0.0101633262367489,0.608569944489947,0.0264522939460879,1.0845440517896e-05,0.000130145286214752,281.760941588785,0.0559001865330466,0.000404631232778696,0.0153438156136243,0.559872,36.4884468178092,1123.69130132666,49.9347938953753
"5223",-78.1996179802688,-0.325100710792542,4132.24910777755,981.588850603897,"2021-06-29","EOS_2","old",0.105,488.007633587786,732.297914654769,7.21,8.42425,626.9254,"GAVI",NA,981.588850603897,NA,0.61872728462182,0.0101572454952909,0.608570039126529,0.0264531225302216,1.08457802373909e-05,0.00013014936284869,281.57425,0.0562167803710289,0.000494009172411715,0.0204550270000489,0.108864,5.32211470558018,1136.43975720904,7.32456461644048
