"","lat_fit","lon_fit","lon_dist","lat_dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","CO2_ppm_ave","adjusted_ppm","AirTemp_c","VaisalaType","Total_hPa","COLM_waterTempAve","ele_fit","dist_diff","Total_flux","dist","slope50m"
"1354",-0.34008041087091,-78.1995123160602,-78.1995077159309,-0.34009041087091,-0.34007141366601,-78.1994964648038,3948.75,2021-07-09 11:34:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.63924134995,1.22532597288796,NA,0,-0.0274224057734746
"1351",-0.34009041087091,-78.1995077159309,-78.1994991811166,-0.34010041087091,-0.34009194932878,-78.1995077803731,3950.19,2021-07-09 11:30:00,"2021-07-09","EOS_2",-0.665,1,468.692307692308,701.908641764632,6.941,"old",625.8904,7.481,3948.605975019,1.46350413188725,NA,1.46350413188725,-0.0282626953053743
"1352",-0.34009041087091,-78.1995077159309,-78.1994991811166,-0.34010041087091,-0.340097565203905,-78.1995071098208,3942.5,2021-07-09 11:33:00,"2021-07-09","EOS_2",-0.665,1,468.692307692308,701.908641764632,6.941,"old",625.8904,7.481,3948.605975019,0,NA,1.46350413188725,-0.0282626953053743
"1353",-0.34009041087091,-78.1995077159309,-78.1994991811166,-0.34010041087091,-0.340085914358497,-78.1995035056025,3947.31,2021-07-09 11:33:30,"2021-07-09","EOS_2",-0.665,1,468.692307692308,701.908641764632,6.941,"old",625.8904,7.481,3948.605975019,0,NA,1.46350413188725,-0.0282626953053743
"1349",-0.34010041087091,-78.1994991811166,-78.1994946190083,-0.34011041087091,-0.340098990127444,-78.1995063554496,3952.12,2021-07-09 11:29:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.56555549779,1.22356325296846,NA,2.68706738485571,-0.0283203382193428
"1350",-0.34010041087091,-78.1994991811166,-78.1994946190083,-0.34011041087091,-0.340105360373855,-78.1995054334402,3949.23,2021-07-09 11:34:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.56555549779,0,NA,2.68706738485571,-0.0283203382193428
"1348",-0.34011041087091,-78.1994946190083,-78.1994945213228,-0.34012041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.53118936474,1.11324801792875,NA,3.80031540278446,-0.0285629047977984
"1347",-0.34012041087091,-78.1994945213228,-78.1994969356414,-0.34013041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.49946837641,1.14517801306079,NA,4.94549341584525,-0.028782070113811
"1346",-0.34013041087091,-78.1994969356414,-78.1994998025159,-0.34014041087091,-0.340134026482701,-78.1994988955557,3949.71,2021-07-09 11:35:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.46638731243,1.15803671087497,NA,6.10353012672022,-0.0289419117944891
"1345",-0.34014041087091,-78.1994998025159,-78.1995018188547,-0.34015041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.43247082725,1.13559783186065,NA,7.23912795858087,-0.0290936073193806
"1344",-0.34015041087091,-78.1995018188547,-78.1995025494507,-0.34016041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.39875881424,1.11616180204828,NA,8.35528976062915,-0.0292651294807638
"1343",-0.34016041087091,-78.1995025494507,-78.1995022151138,-0.34017041087091,-0.340161686763167,-78.1995046790689,3950.67,2021-07-09 11:36:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.36518730069,1.11381688336928,NA,9.46910664399843,-0.0294417573287914
"1342",-0.34017041087091,-78.1995022151138,-78.1995013950264,-0.34018041087091,-0.340174594894052,-78.1994945369661,3948.75,2021-07-09 11:35:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.3312553026,1.11693186176285,NA,10.5860385057613,-0.0295973073846801
"1341",-0.34018041087091,-78.1995013950264,-78.1995007611261,-0.34019041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.29679638358,1.11542916055919,NA,11.7014676663205,-0.0297236894131575
"1340",-0.34019041087091,-78.1995007611261,-78.199500890671,-0.34020041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.26195241432,1.11328830829643,NA,12.8147559746169,-0.0298369830354469
"1339",-0.34020041087091,-78.199500890671,-78.1995021632907,-0.34021041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.2267457844,1.12217282066945,NA,13.9369287952863,-0.0299631892524584
"1338",-0.34021041087091,-78.1995021632907,-78.1995047292436,-0.34022041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.190824263,1.14925652724969,NA,15.086185322536,-0.0299631892524584
"1337",-0.34022041087091,-78.1995047292436,-78.1995085283645,-0.34023041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.15358458773,1.19082102397465,NA,16.2770063465107,-0.0301217076214151
"1336",-0.34023041087091,-78.1995085283645,-78.1995133389165,-0.34024041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.11451685246,1.2352982706218,NA,17.5123046171325,-0.0303185823387156
"1335",-0.34024041087091,-78.1995133389165,-78.1995188388112,-0.34025041087091,-0.340232765302062,-78.1995190121233,3948.27,2021-07-09 11:36:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.07347281372,1.27044645886781,NA,18.7827510760003,-0.0305483927083431
"1334",-0.34025041087091,-78.1995188388112,-78.1995246662234,-0.34026041087091,-0.340243745595217,-78.1995201855898,3949.71,2021-07-09 11:30:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948.03071213738,1.28841207319419,NA,20.0711631491945,-0.0307993435962799
"1332",-0.34026041087091,-78.1995246662234,-78.1995304712501,-0.34027041087091,-0.340257240459323,-78.1995267234743,3945.87,2021-07-09 11:32:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3947.98677892983,1.28715924616108,NA,21.3583223953556,-0.0310581044680013
