"","lon_fit","lat_fit","dist","x_pred","w","d","notes","midpoint","length","area"
"1",-78.1995931293627,-0.324196710792542,0.439136964546833,0,22,"7","comes out from ground and can't find until big waterfall",0,2.6131009321166,0.574882205065651
"2",-78.1996101445897,-0.324231710792542,4.78706489968636,5,43,"15.5","",2.6131009321166,6.59662614596663,2.83654924276565
"3",-78.1996063179795,-0.324310710792542,13.6323892564801,15,78,"8","",9.20972707808323,8.83118438436362,6.88832381980362
"4",-78.1996032352745,-0.324389710792542,22.4494336684136,25,27,"7","",18.0409114624469,8.7618353394331,2.36569554164694
"5",-78.19961630763,-0.324466710792542,31.1560599353463,35,16,"3.5","",26.8027468018799,8.7691212417509,1.40305939868014
"6",-78.199635419975,-0.324543710792542,39.9876761519154,45,48,"10.5","",35.5718680436309,6.68637066786985,3.20945792057753
"7",-78.1996434580339,-0.324583710792542,44.528801271086,55,54,"5","",42.2582387115007,4.515089370969,2.43814826032326
"8",-78.1996485676178,-0.324623710792542,49.0178548938534,65,28,"4","middle of braid 3",46.7733280824697,4.52897786204025,1.26811380137127
"9",-78.1996502007658,-0.324664710792542,53.5867569951665,75,30,"7","",51.30230594451,4.51417681251165,1.35425304375349
"10",-78.199648303247,-0.324704710792542,58.0462085188767,85,22,"11","",55.8164827570216,15.8300414820077,3.4826091260417
"11",-78.1996088738259,-0.324945710792542,85.246839959182,145,55,"12","",71.6465242390293,20.6346137323541,11.3490375527947
"12",-78.1996128183982,-0.325071710792542,99.3154359835848,158.2,130,"7","wetland outlet - ""weird and braided and confucsing, followed visibly flowing water""",92.2811379713834,15.3134403513635,19.9074724567726
"13",-78.1996493083528,-0.325215710792542,115.873720661909,175,64,"25","",107.594578322747,12.7715275239001,8.17377761529606
"14",-78.199673516269,-0.325292710792542,124.858491031385,185,47,"4","",120.366105846647,8.981157055643,4.22114381615221
"15",-78.199694008031,-0.325370710792542,133.836034773195,195,62,"17","",129.34726290229,8.9984588904675,5.57904451208985
"16",-78.1997066616046,-0.325450710792542,142.85540881232,205,60,"25","",138.345721792758,9.07944230835602,5.44766538501361
"17",-78.1997099409033,-0.325532710792542,151.994919389907,215,81,"7","",147.425164101114,9.08231771578548,7.35667734978624
"18",-78.1997066905362,-0.325613710792542,161.020044243891,225,81,"7","",156.507481816899,9.08077560446051,7.35542823961302
"19",-78.1997033714965,-0.325695710792542,170.156470598828,235,38,"13","",165.58825742136,9.08755394241498,3.45327049811769
"20",-78.1997078013158,-0.325776710792542,179.195152128721,245,72,"12","",174.675811363774,7.51934063622551,5.41392525808237
