"","lon_fit","lat_fit","Date","EOS_no","Flux_ave","Point","CO2_ppm_ave","adjusted_ppm","AirTemp_c","VaisalaType","Total_hPa","COLM_waterTempAve","ele_fit","dist_diff","Total_flux","dist","slope50m","midpoint","surface_area","flux_umolpers","Totalflux_umolpers"
"262",-78.1977819546603,-0.34271041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.15597474009,1.18428473468475,NA,403.39756855818,-0.000459387703265909,NA,NA,NA,NA
"263",-78.1977783241629,-0.34272041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.15204344781,1.16878735543855,NA,404.566355913618,-0.00060707203949805,NA,NA,NA,NA
"264",-78.1977751245268,-0.34273041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.14623643594,1.15397569888887,NA,405.720331612507,-0.000775621532294868,NA,NA,NA,NA
"265",-78.1977723929936,-0.34274041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.13851887549,1.14430250488158,NA,406.864634117389,-0.000910137463523033,NA,NA,NA,NA
"266",-78.1977700124101,-0.34275041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.12994258146,1.13689433355955,NA,408.001528450948,-0.00108091725186062,NA,NA,NA,NA
"267",-78.1977679379488,-0.34276041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.12158454804,1.13130941677093,NA,409.132837867719,-0.00120462688108609,NA,NA,NA,NA
"268",-78.1977661265667,-0.34277041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.11340969606,1.12706437141833,NA,410.259902239137,-0.00137918338140331,NA,NA,NA,NA
"269",-78.197764543076,-0.34278041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.10538784914,1.12387575771913,NA,411.383777996857,-0.00149408467994524,NA,NA,NA,NA
"270",-78.1977631544691,-0.34279041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.09749181889,1.12258107766684,NA,412.506359074523,-0.00167363348662135,NA,NA,NA,NA
"271",-78.1977618531167,-0.34280041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.08968932714,1.12118345055558,NA,413.627542525079,-0.00178129472949151,NA,NA,NA,NA
"272",-78.1977606529303,-0.34281041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.08196250714,1.12147745954348,NA,414.749019984622,-0.00196655189120948,NA,NA,NA,NA
"273",-78.1977594307773,-0.34282041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.07428134188,1.12057467229113,NA,415.869594656914,-0.00206841651062563,NA,NA,NA,NA
"274",-78.1977582773852,-0.34283041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.06663575862,1.12127472215343,NA,416.990869379067,-0.00226006349477884,NA,NA,NA,NA
"275",-78.1977570703373,-0.34284041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.05899657223,1.12186545288,NA,418.112734831947,-0.00235755619721118,NA,NA,NA,NA
"276",-78.1977558197778,-0.34285041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.05134628337,1.12288062166704,NA,419.235615453614,-0.00245204558305884,NA,NA,NA,NA
"277",-78.1977544977347,-0.34286041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.04366367696,1.12505911885296,NA,420.360674572467,-0.00265056210326647,NA,NA,NA,NA
"278",-78.1977530338371,-0.34287041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.03592229741,1.12535764827442,NA,421.486032220741,-0.00274270983062032,NA,NA,NA,NA
"279",-78.1977515515377,-0.34288041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.02811650356,1.1288213059089,NA,422.61485352665,-0.00294928061608381,NA,NA,NA,NA
"280",-78.1977498700822,-0.34289041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.02020547586,1.12940579517942,NA,423.74425932183,-0.00304034688947758,NA,NA,NA,NA
"281",-78.1977481572456,-0.34290041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.01219033587,1.13271404857596,NA,424.876973370406,-0.00325510751001911,NA,NA,NA,NA
"282",-78.1977462763574,-0.34291041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929.00403248945,1.13415382209223,NA,426.011127192498,-0.00347803841995852,NA,NA,NA,NA
"283",-78.1977443267095,-0.34292041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3928.99572580378,1.13626636290826,NA,427.147393555406,-0.00356967328409729,NA,NA,NA,NA
"284",-78.1977422802021,-0.34293041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3928.98724575811,1.13817754430147,NA,428.285571099708,-0.00380093903387676,NA,NA,NA,NA
"285",-78.1977401497127,-0.34294041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3928.9785739776,1.1378515706208,NA,429.423422670328,-0.00389401329852268,NA,NA,NA,NA
"286",-78.1977380333215,-0.34295041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3928.96970806964,1.13913101594255,NA,430.562553686271,-0.00413412723125393,NA,NA,NA,NA
"287",-78.1977358620977,-0.34296041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3928.96061616576,1.13933636345507,NA,431.701890049726,-0.00422919705770273,NA,NA,NA,NA
"288",-78.1977336821962,-0.34297041087091,"2021-07-07","EOS_1",0.485,8,474.725384615385,530.177711543714,6.879,"new",625.5334,8.232,3928.95128728179,1.13849623368844,NA,432.840386283415,-0.00447788972240422,460.848087844742,45.7876622526808,22.2070161925502,410.354577657518
"289",-78.1977315380094,-0.34298041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3928.94171105601,1.13563503661783,NA,433.976021320032,-0.00473311394392124,NA,NA,NA,NA
"290",-78.1977295199797,-0.34299041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3928.93188670655,1.13417169754393,NA,435.110193017576,-0.00483296570814599,NA,NA,NA,NA
"291",-78.1977275694928,-0.34300041087091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3928.92178476313,1.13007527174886,NA,436.240268289325,-0.00509588472117446,NA,NA,NA,NA
