"","lat_fit","lon_fit","ele","dist","Date","Point","Flux_ave","CO2_ppm_ave","adjusted_ppm","DOC","TDN","AirTemp_c","Total_hPa","VaisalaType","EOS_no"
"1",-0.330495013073492,-78.2022726444153,NA,7.1813313285391,2021-06-23,1,1.335,3367.384615,5068.856547,3.446,0.1113,6.754,627.3704,"old","EOS1"
"2",-0.330174213073492,-78.2021738756929,NA,45.4903923702584,2021-06-23,2,0.68,1551.461538,2334.253294,NA,NA,6.754,627.3444,"old","EOS1"
"3",-0.329973713073492,-78.2020308335654,NA,73.0519211017633,2021-06-23,3,1.34,1606.461538,2415.416904,NA,NA,6.755,627.5004,"old","EOS1"
"4",-0.329802313073492,-78.2019247425255,NA,95.6681196196885,2021-06-23,4,0.82,1740.538462,2613.968845,NA,NA,6.754,627.6564,"old","EOS1"
"5",-0.329581113073492,-78.2019364433982,NA,120.589220370816,2021-06-23,5,0.585,1282.230769,1924.716274,NA,NA,6.754,627.7474,"old","EOS1"
"6",-0.329462213073492,-78.2019350513546,NA,133.920777220595,2021-06-23,6,1.015,3024.461538,4538.995188,3.651,0.2276,6.753,627.6234,"old","EOS1"
"7",-0.329317913073492,-78.2018477529063,NA,152.903348648744,2021-06-23,7,0.93,1264.25,1895.811472,NA,NA,6.751,627.7894,"old","EOS1"
"8",-0.329208413073492,-78.2017319996957,NA,170.646315406079,2021-06-29,1,0.345,3144.36,3489.783353,4.558,0.1381,7.249,626.7634,"new","EOS1"
"9",-0.329105213073492,-78.2016314493838,NA,186.705349931664,2021-06-29,2,1.15,10096.79091,11206.38178,NA,NA,7.244,626.7364,"new","EOS1"
"10",-0.328980113073492,-78.2015785869711,NA,202.059758526203,2021-06-29,3,0.205,7189.789231,7979.266913,4.961,0.1887,7.239,626.7964,"new","EOS1"
"11",-0.328833413073492,-78.2015915289192,NA,218.48449308032,2021-06-29,4,3.005,10000,11098.654,NA,NA,7.232,626.7564,"new","EOS1"
"12",-0.328599513073492,-78.2014925166635,NA,248.421848181194,2021-06-29,6,1.675,10000,11095.729,NA,NA,7.22,626.9514,"new","EOS1"
"13",-0.328599513073492,-78.2014925166635,NA,248.421848181194,2021-06-29,5,1.26,4793.089231,5319.166243,NA,NA,7.224,626.8284,"new","EOS1"
