"","lat_fit","lon_fit","lon_dist","lat_dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","ele_fit","slope","dist_diff","dist","slope50m"
"3042",-0.327044239022899,-78.2010176805536,-78.2010175732168,-0.327044339022899,-0.327040571719408,-78.2010142598301,4110.25,2021-07-27 14:27:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.31673195325,NA,0.0163305411882888,0.591636296389318,NA
"3041",-0.327044339022899,-78.2010175732168,-78.2010174659518,-0.327044439022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.31370004602,0.185658711536337,0.0163246917676361,0.607960988156954,-0.185725236277942
"3040",-0.327044439022899,-78.2010174659518,-78.2010173587587,-0.327044539022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.31067214057,0.185480099400584,0.0163188462505275,0.624279834407481,-0.185635903929348
"3039",-0.327044539022899,-78.2010173587587,-78.2010172516372,-0.327044639022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.30764823284,0.185301563741209,0.016313007720008,0.640592842127489,-0.18554659605092
"3038",-0.327044639022899,-78.2010172516372,-78.2010171445875,-0.327044739022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.30462831821,0.185123104069542,0.0163071772231973,0.656900019350687,-0.185457318288931
"3037",-0.327044739022899,-78.2010171445875,-78.2010170376094,-0.327044839022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.30161239188,0.184944720700447,0.0163013475104208,0.673201366861107,-0.185368090672507
"3036",-0.327044839022899,-78.2010170376094,-78.2010169307028,-0.327044939022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.29860045036,0.184766413354199,0.0162955309994146,0.689496897860522,-0.185278882601189
"3035",-0.327044939022899,-78.2010169307028,-78.2010168238678,-0.327045039022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.29559248792,0.184588181900108,0.0162897173308281,0.70578661519135,-0.185189717850945
"3034",-0.327045039022899,-78.2010168238678,-78.2010167171042,-0.327045139022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.29258850072,0.18441002632083,0.016283911685008,0.722070526876358,-0.185100586273474
"3033",-0.327045139022899,-78.2010167171042,-78.201016610412,-0.327045239022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.28958848397,0.184231946547532,0.0162781119915181,0.738348638867876,-0.185011491343237
"3032",-0.327045239022899,-78.201016610412,-78.2010165037912,-0.327045339022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.28659243329,0.184053942421387,0.0162723172041055,0.754620956071982,-0.18492243396597
"3031",-0.327045339022899,-78.2010165037912,-78.2010163972416,-0.327045439022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.28360034446,0.18387601402439,0.0162665314636925,0.770887487535674,-0.184833409374744
"3030",-0.327045439022899,-78.2010163972416,-78.2010162907633,-0.327045539022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.28061221254,0.18369816107422,0.016260750636178,0.787148238171852,-0.184744422165152
"3029",-0.327045539022899,-78.2010162907633,-78.2010161843561,-0.327045639022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.27762803335,0.183520383567397,0.0162549736772206,0.803403211849073,-0.184655472834131
"3028",-0.327045639022899,-78.2010161843561,-78.2010160780201,-0.327045739022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.27464780289,0.183342681551236,0.0162492098831777,0.819652421732251,-0.184566553370201
"3027",-0.327045739022899,-78.2010160780201,-78.2010159717551,-0.327045839022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.27167151547,0.183165054717504,0.0162434458340428,0.835895867566293,-0.18447767498983
"3026",-0.327045839022899,-78.2010159717551,-78.2010158655611,-0.327045939022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.26869916787,0.182987503133745,0.016237691847671,0.852133559413964,-0.184388829358474
"3025",-0.327045939022899,-78.2010158655611,-78.2010157594381,-0.327046039022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.265730755,0.182810026596886,0.0162319427533575,0.868365502167322,-0.184300020358746
"3024",-0.327046039022899,-78.2010157594381,-78.201015653386,-0.327046139022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.26276627268,0.182632625198109,0.0162262026829723,0.884591704850294,-0.184211245183567
"3023",-0.327046139022899,-78.201015653386,-78.2010155474047,-0.327046239022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.25980571602,0.182455298734847,0.0162204633912424,0.900812168241536,-0.184122508954776
"3022",-0.327046239022899,-78.2010155474047,-78.2010154414941,-0.327046339022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.25684908163,0.182278047049459,0.0162147372225547,0.917026905464091,-0.184033804150576
"3021",-0.327046339022899,-78.2010154414941,-78.2010153356543,-0.327046439022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.25389636387,0.182100870212214,0.0162090128675061,0.933235918331597,-0.18394513736321
"3020",-0.327046439022899,-78.2010153356543,-78.2010152298852,-0.327046539022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.25094755917,0.181923768182293,0.0162032964872765,0.949439214818874,-0.183856505054519
"3019",-0.327046539022899,-78.2010152298852,-78.2010151241866,-0.327046639022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.24800266285,0.181746740694032,0.0161975860280279,0.965636800846902,-0.183767908296021
"3018",-0.327046639022899,-78.2010151241866,-78.2010150185586,-0.327046739022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.24506167059,0.181569787639995,0.016191882504792,0.981828683351694,-0.183679346537653
"3017",-0.327046739022899,-78.2010150185586,-78.2010149130011,-0.327046839022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.24212457792,0.181392909212083,0.0161861869541085,0.998014870305802,-0.183590819307598
"3016",-0.327046839022899,-78.2010149130011,-78.201014807514,-0.327046939022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.23919138016,0.181216105012529,0.0161804942331543,1.01419536453896,-0.183502328866718
"3015",-0.327046939022899,-78.201014807514,-78.2010147020973,-0.327047039022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.2362620736,0.181039375252017,0.016174811523598,1.03037017606255,-0.183413872018229
"3014",-0.327047039022899,-78.2010147020973,-78.2010145967509,-0.327047139022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.2333366532,0.180862719587324,0.016169130613946,1.0465393066765,-0.183325452176653
"3013",-0.327047139022899,-78.2010145967509,-78.2010144914748,-0.327047239022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.23041511543,0.180686138106839,0.0161634607473005,1.0627027674238,-0.183237065535659
"3012",-0.327047239022899,-78.2010144914748,-78.2010143862689,-0.327047339022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.2274974551,0.180509630638236,0.0161577936935444,1.07886056111735,-0.18314871531232
"3011",-0.327047339022899,-78.2010143862689,-78.2010142811331,-0.327047439022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.22458366851,0.180333197106563,0.0161521376742257,1.09501269879157,-0.183060398360185
"3010",-0.327047439022899,-78.2010142811331,-78.2010141760674,-0.327047539022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.22167375046,0.180156837593895,0.0161464824203748,1.11115918121195,-0.182972118398783
"3009",-0.327047539022899,-78.2010141760674,-78.2010140710718,-0.327047639022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.21876769765,0.179980551702203,0.0161408371681802,1.12730001838013,-0.182883872072996
"3008",-0.327047639022899,-78.2010140710718,-78.2010139661461,-0.327047739022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.21586550508,0.179804339648537,0.0161351977995636,1.14343521617969,-0.182795660805988
"3007",-0.327047739022899,-78.2010139661461,-78.2010138612903,-0.327047839022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.21296716852,0.179628201180504,0.0161295653487912,1.15956478152848,-0.182707484210996
"3006",-0.327047839022899,-78.2010138612903,-78.2010137565045,-0.327047939022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.21007268356,0.179452136225729,0.0161239357147664,1.17568871724325,-0.18261934354082
"3005",-0.327047939022899,-78.2010137565045,-78.2010136517884,-0.327048039022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.20718204653,0.179276144771574,0.0161183160563212,1.19180703329957,-0.182531236506524
"3004",-0.327048039022899,-78.2010136517884,-78.2010135471421,-0.327048139022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.20429525247,0.179100226832876,0.0161127012595941,1.20791973455916,-0.182443164656525
"3003",-0.327048139022899,-78.2010135471421,-78.2010134425654,-0.327048239022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.20141229736,0.178924381912818,0.0161070943941723,1.22402682895333,-0.182355127031026
"3002",-0.327048239022899,-78.2010134425654,-78.2010133380584,-0.327048339022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.19853317661,0.178748610456764,0.0161014933943164,1.24012832234765,-0.182267124203587
"3001",-0.327048339022899,-78.2010133380584,-78.201013233621,-0.327048439022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.19565788605,0.178572912043937,0.0160958962351359,1.25622421858279,-0.182179156678711
"3000",-0.327048439022899,-78.201013233621,-78.2010131292531,-0.327048539022899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110.19278642183,0.178397286726936,0.0160903080140784,1.27231452659687,-0.182091223017455
