"","lon_fit","lat_fit","dist","x_pred","w","d","notes","midpoint","length","area"
"1",-78.1995077159309,-0.34009041087091,1.46350413188725,0,35,53,"synop 0",0,7.13913005325208,2.49869551863823
"2",-78.1995007611261,-0.34019041087091,12.8147559746169,10,60,25,"",7.13913005325208,11.8075846811788,7.0845508087073
"3",-78.199540889771,-0.34029041087091,25.0786734942449,20,84,20,"",18.9467147344309,11.7864375080701,9.90060750677888
"4",-78.1995597065364,-0.34039041087091,36.3876309907571,30,60,27,"",30.733152242501,11.8599665754077,7.11597994524462
"5",-78.1995776692042,-0.34050041087091,48.7986066450603,40,84,14,"",42.5931188179087,10.7428369668703,9.02398305217105
"6",-78.1995709272397,-0.34058041087091,57.8733049244977,50,57,30,"",53.335955784779,8.46712888609055,4.82626346507161
"7",-78.1995385455356,-0.34064041087091,65.7328644172414,60,50,24,"",61.8030846708696,8.7181046143738,4.3590523071869
"8",-78.199480923532,-0.34070041087091,75.3095141532453,70,55,25,"",70.5211892852434,8.42863936542166,4.63575165098191
"9",-78.1994309340292,-0.34074041087091,82.5901431480847,80,95,25,"",78.949828650665,8.45476572781038,8.03202744141986
"10",-78.1993611269288,-0.34079041087091,92.2190456088661,90,40,24,"",87.4045943784754,8.6498606542855,3.4599442617142
"11",-78.1993044723254,-0.34083041087091,99.8898644566557,100,70,24,"",96.0544550327609,8.34271413330646,5.83989989331452
"12",-78.1992389712156,-0.34088041087091,108.904473875479,110,30,31,"",104.397169166067,9.27545674222014,2.78263702266604
"13",-78.1991748637571,-0.34094041087091,118.440777941096,120,60,26,"",113.672625908288,9.473775370835,5.684265222501
"14",-78.199124183085,-0.34101041087091,127.852024617149,130,75,18,"",123.146401279123,8.8493336598435,6.63700024488262
"15",-78.199096667827,-0.34108041087091,136.139445260783,140,58,47,"",131.995734938966,8.70035340421049,5.04620497444208
"16",-78.199079178923,-0.34116041087091,145.25273142557,150,80,22,"",140.696088343176,9.43220044446252,7.54576035557002
"17",-78.1990485580926,-0.34124041087091,155.003846149708,160,96,31,"",150.128288787639,9.38917999515348,9.01361279534734
"18",-78.19899897713,-0.34130041087091,164.031091415877,170,100,25,"",159.517468782792,10.1075144079615,10.1075144079615
"19",-78.1989223078977,-0.34136041087091,175.218874965631,180,65,24,"",169.624983190754,9.724493707373,6.32092090979245
"20",-78.1988608022352,-0.34140041087091,183.480078830623,190,60,30,"",179.349476898127,9.22584602130499,5.53550761278299
"21",-78.1987828311388,-0.34145041087091,193.670567008241,200,44,35,"",188.575322919432,9.51325085229351,4.18583037500914
"22",-78.1987171861106,-0.34150041087091,202.50658053521,210,32,42,"",198.088573771725,9.5337820535085,3.05081025712272
"23",-78.1986671487022,-0.34158041087091,212.738131115258,220,48,27,"",207.622355825234,9.38105842086651,4.50290804201592
"24",-78.1986877985736,-0.34165041087091,221.268697376943,230,30,27,"",217.003414246101,9.44668984762001,2.834006954286
"25",-78.1987466957964,-0.34172041087091,231.631510810498,240,77,20,"",226.450104093721,9.48768003781149,7.30551362911485
"26",-78.1987979132048,-0.34178041087091,240.244057452566,250,60,38,"",235.937784131532,9.5918704729005,5.7551222837403
"27",-78.1988278086011,-0.34187041087091,250.815251756299,260,44,53,"",245.529654604432,10.3572712860445,4.55719936585959
"28",-78.1987924123672,-0.34195041087091,260.958600024655,270,15,17,"weland-y",255.886925890477,9.61880460577999,1.442820690867
"29",-78.1987392977805,-0.34201041087091,270.052860967859,280,60,35,"",265.505730496257,10.163723401579,6.09823404094739
"30",-78.1986670788602,-0.34208041087091,281.286046827813,290,40,100,"",275.669453897836,10.4447359961486,4.17789439845942
"31",-78.1986044680827,-0.34214041087091,290.942332960156,300,46,29,"syn 7",286.114189893985,10.6502419388665,4.89911129187858
"32",-78.1985280928452,-0.34221041087091,302.586530705546,310,62,72,"",296.764431832851,11.36879489916,7.04865283747919
"33",-78.1984511739055,-0.34227041087091,313.679922758476,320,64,96,"",308.133226732011,10.801889013021,6.91320896833346
"34",-78.1983737496914,-0.34232041087091,324.190308731588,330,30,51,"",318.935115745032,11.108249872578,3.33247496177339
"35",-78.1982835246595,-0.34237041087091,335.896422503632,340,80,42,"",330.04336561761,10.8388758220285,8.67110065762281
"36",-78.1982043695169,-0.34241041087091,345.868060375645,350,50,107,"syn 8",340.882241439639,10.0448925033115,5.02244625165574
"37",-78.1981227225249,-0.34245041087091,355.986207510255,360,30,80,"",350.92713394295,13.431364716599,4.02940941497971
"38",-78.1979869027729,-0.34252041087091,372.730789808843,380,400,70,"",364.358498659549,13.511126119546,54.0445044781841
"39",-78.1979057541104,-0.34257041087091,383.008459749347,390,70,30,"",377.869624779095,9.39587642495547,6.57711349746883
"40",-78.1978438712071,-0.34262041087091,391.522542658754,400,140,71,"",387.265501204051,8.99881233432649,12.5983372680571
"41",-78.1977962912174,-0.34268041087091,401.006084418,410,170,55,"",396.264313538377,8.8051476044825,14.9687509276202
"42",-78.1977679379488,-0.34276041087091,409.132837867719,420,140,22,"",405.069461142859,8.55332520697351,11.9746552897629
"43",-78.1977570703373,-0.34284041087091,418.112734831947,430,170,80,"",413.622786349833,9.0072778438435,15.3123723345339
"44",-78.1977443267095,-0.34292041087091,427.147393555406,440,90,69,"",422.630064193677,9.06376672868896,8.15739005582006
"45",-78.1977275694928,-0.34300041087091,436.240268289325,450,130,85,"",431.693830922365,9.57884216611308,12.452494815947
"46",-78.1977208957589,-0.34309041087091,446.305077887632,460,50,25,"",441.272673088479,9.71265133423049,4.85632566711524
"47",-78.197741763203,-0.34317041087091,455.665570957786,470,54,23,"",450.985324422709,9.27607292456395,5.00907937926453
"48",-78.1977829063005,-0.34324041087091,464.85722373676,480,23,32,"Wetland drains and becomes turbulent",460.261397347273,9.56504612805651,2.199960609453
"49",-78.197837285591,-0.34331041087091,474.795663213899,490,40,16,"",469.826443475329,9.93750098265252,3.97500039306101
"50",-78.1978932788479,-0.34338041087091,484.732225702065,500,75,14,"syn 10",479.763944457982,9.705970742651,7.27947805698825
"51",-78.1979427936629,-0.34345041087091,494.207604699201,510,80,90,"",489.469915200633,9.27517249440945,7.42013799552756
"52",-78.1979851801783,-0.34352041087091,503.282570690884,520,31,40,"",498.745087695042,9.78007277574301,3.03182256048033
"53",-78.1980339992967,-0.34360041087091,513.767750250687,530,90,82,"",508.525160470785,10.1379500361725,9.12415503255527
"54",-78.1980855599172,-0.34367041087091,523.558470763229,540,73,56,"",518.663110506958,9.3609894091295,6.83352226866454
"55",-78.1981380713387,-0.34373041087091,532.489729068946,550,72,37,"",528.024099916087,6.743920587351,4.85562282289272
"56",-78.1981657326757,-0.34376041087091,537.046311937931,560,41,55,"",534.768020503438,4.52334521599653,1.85457153855858
"57",-78.1981930690553,-0.34379041087091,541.536419500939,570,67,96,"",539.291365719435,4.42753970862202,2.96645160477675
"58",-78.198218960602,-0.34382041087091,545.901391355175,580,40,50,"",543.718905428057,4.23223336572551,1.6928933462902
"59",-78.1982418329056,-0.34385041087091,550.00088623239,590,100,100,"syn 11",547.951138793783,4.57836441536301,4.57836441536301
"60",-78.1982653570514,-0.34389041087091,555.058120185901,600,80,116,"",552.529503209146,7.07101868235691,5.65681494588553
"61",-78.1982806339361,-0.34397041087091,564.142923597104,610,95,26,"",559.600521891502,9.39988379952752,8.92988960955114
