lat_fit,lon_fit,Date,EOS_no,Flux_ave,Point,VaisalaType,CO2_ppm_ave,WaterTemp_c,AirTemp_c,AirTemp_c_1,adjusted_ppm,whoKnows,K600_effective,ele_fit,dist,slope50m,Wetland,FlowAccu,CatchmentSize_m2,CatchmentSize_km2
-0.329206,-78.20077953,6/18/2021 0:00,EOS_1,0.135,NA,new,381.5823333,8.29475,7.886,626.1764,425.8647478,15.6133131,21.57220283,4092.826316,622.284922,-0.175045562,GAVI,5987,935468.75,0.93546875
-0.329722,-78.20120445,6/18/2021 0:00,EOS_1,0.245,NA,new,408.2201667,8.0995,7.857,626.6184,455.056507,24.81138116,34.48419995,4085.651831,696.8330336,-0.070246328,GAVI,6101,953281.25,0.95328125
-0.329048,-78.20068617,6/18/2021 0:00,EOS_1,0.305,NA,new,791.8428814,8.27225,7.89,626.2134,883.6322783,11.93185662,16.49693833,4094.223282,601.8355694,-0.165471411,GAVI,5975,933593.75,0.93359375
-0.329866,-78.20135943,6/18/2021 0:00,EOS_1,0.385,NA,new,487.4621667,8.0255,7.8475,626.7359,543.1837973,29.08808055,40.51906546,4082.19048,720.3990958,-0.111160584,GAVI,6138,959062.5,0.9590625
-0.330601,-78.20239331,6/18/2021 0:00,EOS_1,0.45,NA,new,755.060625,7.745,7.825,626.9584,840.4133411,18.10800926,25.43999944,4075.514386,861.7144008,-0.059390181,GAVI,6308,985625,0.985625
-0.328786,-78.20060297,6/18/2021 0:00,EOS_1,0.505,NA,new,2175.085667,8.34675,7.902,626.0364,2428.339043,6.143469853,8.474801639,4101.786126,571.0524416,-0.036755752,GAVI,5929,926406.25,0.92640625
-0.330476,-78.20221485,6/18/2021 0:00,EOS_1,0.505,NA,new,658.354,7.80175,7.828,626.9944,732.8636107,24.43485035,34.26938986,4077.498993,837.467801,-0.018325821,GAVI,6301,984531.25,0.98453125
-0.329003,-78.20066466,6/18/2021 0:00,EOS_1,0.515,NA,new,1004.647,8.31175,7.8945,626.0949,1121.41604,15.03611467,20.76402432,4095.136621,596.2797799,-0.151188623,GAVI,5975,933593.75,0.93359375
-0.328361,-78.20061125,6/18/2021 0:00,EOS_1,0.6,NA,new,3074.637,8.32575,7.9,626.0054,3432.556985,5.030922223,6.944475484,4103.530731,523.5859696,-0.03680956,GAVI,5888,920000,0.92
-0.328581,-78.20060709,6/18/2021 0:00,EOS_1,0.75,NA,new,3049.187288,8.331529661,7.908,625.9866542,3404.289557,6.346243904,8.75855837,4102.626828,548.1782515,-0.036776902,GAVI,5913,923906.25,0.92390625
-0.330257,-78.20188644,6/18/2021 0:00,EOS_1,0.845,NA,new,525.8558333,7.89225,7.836,626.8364,585.6533621,56.42720586,78.92060757,4078.42127,793.5283416,-0.013259154,GAVI,6255,977343.75,0.97734375
-0.329534,-78.20103024,6/18/2021 0:00,EOS_1,0.915,NA,new,343.489,8.15625,7.868,626.4404,383.055565,127.9000102,177.4567011,4087.790096,668.2828087,-0.107620416,GAVI,6076,949375,0.949375
-0.329343,-78.20087673,6/18/2021 0:00,EOS_1,0.99,NA,new,344.7406667,8.22725,7.877,626.3254,384.5926836,138.140711,191.2533252,4090.21018,640.9930065,-0.124645295,GAVI,6035,942968.75,0.94296875
-0.330135,-78.20170784,6/18/2021 0:00,EOS_1,2.665,NA,new,386.1658333,7.9255,7.841,626.9214,430.0718885,293.7873673,410.4840114,4078.392053,769.4444454,-0.07879792,GAVI,6251,976718.75,0.97671875
-0.331605,-78.20384313,6/22/2021 0:00,EOS_1,-0.035,NA,new,204.0916667,8.61025,6.761,627.2604,227.6571985,-29.21281377,-39.97885401,4053.85749,1059.218742,-0.232784334,GAVI,7747,1210468.75,1.21046875
-0.330722,-78.20255286,6/22/2021 0:00,EOS_1,0.025,NA,new,273.8465,8.18675,6.745,627.1784,305.1142533,5.958216855,8.259173864,4073.785545,883.9961547,-0.079471699,GAVI,6497,1015156.25,1.01515625
-0.331577,-78.20378211,6/22/2021 0:00,EOS_1,0.025,NA,new,215.0745,8.48775,6.762,627.3004,239.8075318,14.92063959,20.49515936,4055.615043,1051.743607,-0.202660934,GAVI,7738,1209062.5,1.2090625
-0.331311,-78.20327396,6/22/2021 0:00,EOS_1,0.17,NA,new,258.9661667,8.70675,6.7595,627.0734,289.0240342,50.30442976,68.64338736,4065.992125,987.7886879,-0.06732321,GAVI,7699,1202968.75,1.20296875
-0.330864,-78.20272262,6/22/2021 0:00,EOS_1,0.25,NA,new,270.7918333,8.3405,6.748,627.1434,301.863638,62.42213005,86.12644913,4071.983226,908.6259036,-0.075188874,GAVI,6510,1017187.5,1.0171875
-0.331068,-78.20295142,6/22/2021 0:00,EOS_1,0.26,NA,new,260.1783333,8.67725,6.756,627.0284,290.3690171,75.56911192,103.2103412,4068.714959,942.7503274,-0.08755671,GAVI,6523,1019218.75,1.01921875
-0.331305,-78.20326454,6/22/2021 0:00,EOS_1,0.43,NA,new,239.1148148,8.736666667,6.758166667,627.0269,266.9091499,167.0745627,227.7776198,4066.015629,986.5435796,-0.070473284,GAVI,7691,1201718.75,1.20171875
-0.331489,-78.20359633,6/22/2021 0:00,EOS_1,0.75,NA,new,210.5327869,8.645,6.759,627.1294,234.9079992,516.7647276,706.4709861,4062.590527,1028.845743,-0.071414603,GAVI,7724,1206875,1.206875
-0.33101,-78.20288583,6/22/2021 0:00,EOS_1,1.315,NA,new,262.0501667,8.554,6.752,627.0599,292.3381055,369.0128302,505.8666431,4070.018455,933.0006551,-0.07694649,GAVI,6513,1017656.25,1.01765625
-0.330699873,-78.2031338,6/23/2021 0:00,EOS_1,0.5,3,old,1329.339286,11.56954464,6.780142857,627.0305429,2014.395629,NA,NA,4068.707018,17.17957104,-0.070233576,GAVI_Trib2,1135,177343.75,0.17734375
-0.329581213,-78.20193958,6/23/2021 0:00,EOS_1,0.585,5,old,1282.230769,9.3875,6.754,627.3444,1929.181822,NA,NA,4079.741435,124.3400115,-0.167415614,GAVI_Trib1,112,17500,0.0175
-0.330560773,-78.20310205,6/23/2021 0:00,EOS_1,0.655,4,old,2277.490909,11.45275,6.775,626.9454,3450.182931,NA,NA,4069.821719,1.292980166,-0.071061924,GAVI_Trib2,1117,174531.25,0.17453125
-0.330174813,-78.20217563,6/23/2021 0:00,EOS_1,0.68,2,old,1551.461538,10.06775,6.756,627.0804,2339.837858,NA,NA,4075.10571,199.8719515,-0.045552165,GAVI_Trib1,131,20468.75,0.02046875
-0.329803013,-78.20192275,6/23/2021 0:00,EOS_1,0.82,4,old,1740.538462,9.54925,6.754,627.3704,2619.997649,NA,NA,4077.422521,149.4211764,-0.069212205,GAVI_Trib1,117,18281.25,0.01828125
