"","lat_fit","lon_fit","ele_fit","dist","Date","Point","Flux_ave","CO2_ppm_ave","adjusted_ppm","AirTemp_c","Total_hPa","VaisalaType","EOS_no"
"5567",-0.331011372898483,-78.2031725458107,4066.03147777172,52.1409910835205,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5568",-0.331011272898483,-78.2031725381366,4066.0328592051,52.1298264041306,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5569",-0.331011172898483,-78.2031725304604,4066.03424034485,52.1186617076229,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5570",-0.331011072898483,-78.2031725227822,4066.03562119012,52.1074969940958,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5571",-0.331010972898483,-78.2031725151021,4066.03700174008,52.0963322636533,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5572",-0.331010872898483,-78.20317250742,4066.0383819939,52.0851675162911,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5573",-0.331010772898483,-78.2031724997358,4066.0397619508,52.0740027517879,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5574",-0.331010672898483,-78.2031724920497,4066.04114160994,52.0628379701392,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5575",-0.331010572898483,-78.2031724843615,4066.04252097044,52.0516731717692,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5576",-0.331010472898483,-78.2031724766714,4066.04390003156,52.0405083561418,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5577",-0.331010372898483,-78.2031724689793,4066.0452787924,52.0293435236815,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5578",-0.331010272898483,-78.2031724612852,4066.04665725221,52.0181786739439,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5579",-0.331010172898483,-78.203172453589,4066.04803541013,52.0070138070441,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5580",-0.331010072898483,-78.2031724458909,4066.04941326533,51.9958489231897,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5581",-0.331009972898483,-78.2031724381908,4066.050790817,51.9846840221531,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5582",-0.331009872898483,-78.2031724304886,4066.05216806429,51.9735191041587,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5583",-0.331009772898483,-78.2031724227845,4066.05354500642,51.9623541688701,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5584",-0.331009672898483,-78.2031724150784,4066.05492164256,51.9511892163916,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5585",-0.331009572898483,-78.2031724073702,4066.05629797186,51.9400242467133,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5586",-0.331009472898483,-78.20317239966,4066.05767399349,51.9288592600594,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5587",-0.331009372898483,-78.2031723919479,4066.05904970666,51.9176942560935,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5588",-0.331009272898483,-78.2031723842337,4066.06042511055,51.9065292348055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5589",-0.331009172898483,-78.2031723765175,4066.06180020429,51.8953641965288,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5590",-0.331009072898483,-78.2031723687993,4066.06317498709,51.884199140932,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5591",-0.331008972898483,-78.2031723610791,4066.06454945814,51.8730340679997,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5592",-0.331008872898483,-78.2031723533568,4066.06592361659,51.8618689778363,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5593",-0.331008772898483,-78.2031723456326,4066.06729746161,51.8507038705576,NA,NA,NA,NA,NA,NA,NA,NA,NA
