lon_fit,lat_fit,ele_fit,dist,slope50m,Date,EOS_no,VaisalaType,Flux_ave,CO2_ppm_ave,adjusted_ppm,AirTemp_c,WaterTemp_c,Total_hPa,surface_area,flux_umolpers,Totalflux_umolpers,DOC,TDN,Wetland,dist_ANTE,dist_GAVI,dist_COLM,dist_GAVItrib1,dist_GAVItrib2,dist_GAVItrib3,air_pressure_atm,VaporPressure_atm,TotalAir_atm,Total_air_MolperL,CO2_air_MolesPerLiter,CO2_air_gCO2asCPerLiter,WaterTemp_K,KH_mol.L.atm,CO2_water_gCO2asCPerLiter,deltaCO2_gCO2asCperM3,Flux_gCO2asCperM2perDay,k_m.d,Sc,K600.effective,FlowAccu,CatchmentSize_m2,CatchmentSize_km2
-78.20077953,-0.329206,4092.826316,622.284922,-0.175045562,6/18/2021,EOS1,new,0.135,810.2323077,899.4165224,7.857,8.0995,626.6184,13.76421035,1.858168397,109.9561694,NA,NA,Gavi-mainstem,NA,622.284922,NA,NA,NA,NA,0.618424299,0.010616256,0.607808043,0.02635917,1.08E-05,0.000129687,281.2495,0.056772788,0.000612749,0.027424747,0.139968,5.103711611,1159.01666,7.093414534,5987,935468.75,0.93546875
-78.20120445,-0.329722,4085.651831,696.8330336,-0.070246328,6/18/2021,EOS1,new,0.245,829.4030769,920.4262494,7.836,7.89225,626.8364,4.399970549,1.077992785,140.4704582,NA,NA,Gavi-mainstem,NA,696.8330336,NA,NA,NA,NA,0.618639448,0.010601075,0.608038373,0.02637113,1.08E-05,0.000129746,281.04225,0.057131173,0.00063102,0.028638395,0.254016,8.869770758,1173.69431,12.40549991,6101,953281.25,0.95328125
-78.20068617,-0.329048,4094.223282,601.8355694,-0.165471411,6/18/2021,EOS1,new,0.305,1584.144615,1758.938182,7.868,8.15625,626.4404,4.584860894,1.398382573,108.098001,NA,NA,Gavi-mainstem,NA,601.8355694,NA,NA,NA,NA,0.618248627,0.010624216,0.607624411,0.026350175,1.08E-05,0.000129643,281.30625,0.056675138,0.001196257,0.06045049,0.316224,5.231123862,1155.034348,7.257997727,5975,933593.75,0.93359375
-78.20135943,-0.329866,4082.19048,720.3990958,-0.111160584,6/18/2021,EOS1,new,0.385,986.9953846,1095.07967,7.828,7.80175,626.9944,19.58483906,7.54016304,148.0106213,NA,NA,Gavi-mainstem,NA,720.3990958,NA,NA,NA,NA,0.618795382,0.010595297,0.608200085,0.026378894,1.08E-05,0.000129784,280.95175,0.057288545,0.000752826,0.035693174,0.399168,11.18331467,1180.170155,15.68437558,6138,959062.5,0.9590625
-78.20239331,-0.330601,4075.514386,861.7144008,-0.059390181,6/18/2021,EOS1,new,0.45,1546.986154,1715.493786,7.816,7.5945,627.3824,8.719459989,3.923756995,222.3291193,2.643,0.1286,Gavi-mainstem,NA,861.7144008,NA,NA,NA,NA,0.619178309,0.010586635,0.608591674,0.026397006,1.08E-05,0.000129873,280.7445,0.057650955,0.001186798,0.060932735,0.46656,7.656967942,1195.153879,10.80670052,6308,985625,0.985625
-78.20060297,-0.328786,4101.786126,571.0524416,-0.036755752,6/18/2021,EOS1,new,0.505,4336.816923,4817.05608,7.886,8.29475,626.1764,12.49429149,6.309617203,101.3222347,NA,NA,Gavi-mainstem,NA,571.0524416,NA,NA,NA,NA,0.617988079,0.010637252,0.607350827,0.026336624,1.08E-05,0.000129576,281.44475,0.056437689,0.003262362,0.1768072,0.523584,2.961327359,1145.381339,4.091530994,5929,926406.25,0.92640625
-78.20221485,-0.330476,4077.498993,837.467801,-0.018325821,6/18/2021,EOS1,new,0.505,1339.763077,1485.95789,7.817,7.67625,627.2534,21.03899839,10.62469418,218.4053623,NA,NA,Gavi-mainstem,NA,837.467801,NA,NA,NA,NA,0.619050995,0.010587357,0.608463639,0.026391358,1.08E-05,0.000129845,280.82625,0.057507665,0.001025448,0.051503988,0.523584,10.16589249,1189.217889,14.31200911,6301,984531.25,0.98453125
-78.20066466,-0.329003,4095.136621,596.2797799,-0.151188623,6/18/2021,EOS1,new,0.515,2014.324615,2236.719952,7.875,8.21225,626.3954,10.44152169,5.37738367,106.6996184,NA,NA,Gavi-mainstem,NA,596.2797799,NA,NA,NA,NA,0.618204215,0.010629283,0.607574932,0.026347373,1.08E-05,0.000129629,281.36225,0.056578981,0.001518616,0.078587467,0.533952,6.794365782,1151.120083,9.41095321,5975,933593.75,0.93359375
-78.20061125,-0.328361,4103.530731,523.5859696,-0.03680956,6/18/2021,EOS1,new,0.6,6833.712308,7591.788998,7.897,8.32425,626.0454,25.42765565,15.25659339,82.43306246,2.393,0.1063,Gavi-mainstem,NA,523.5859696,NA,NA,NA,NA,0.617858792,0.010645225,0.607213567,0.026329641,1.08E-05,0.000129542,281.47425,0.056387272,0.005136963,0.282354835,0.62208,2.203185225,1143.33732,3.041323202,5888,920000,0.92
-78.20060709,-0.328581,4102.626828,548.1782515,-0.036776902,6/18/2021,EOS1,new,0.75,6561.855,7288.120455,7.89,8.27225,626.2134,16.77274009,12.57955507,95.01261753,NA,NA,Gavi-mainstem,NA,548.1782515,NA,NA,NA,NA,0.618024595,0.01064015,0.607384445,0.026337707,1.08E-05,0.000129582,281.42225,0.05647618,0.004939262,0.271632406,0.7776,2.862692311,1146.943172,3.957947202,5913,923906.25,0.92390625
