"","lat_fit","lon_fit","lon_dist","lat_dist","dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","adjusted_ppm","ele_fit"
"2841",-0.328862,-78.2006160793492,-78.2006163143051,-0.328863,504.540219444838,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.83015104391
"2842",-0.328861,-78.2006158460177,-78.2006160793492,-0.328862,504.654528996221,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.85171492813
"2843",-0.32886,-78.200615614311,-78.2006158460177,-0.328861,504.76879758539,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.87322184624
"2844",-0.328859,-78.2006153842294,-78.200615614311,-0.32886,504.883025475147,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.89467091695
"2845",-0.328858,-78.2006151557733,-78.2006153842294,-0.328859,504.997212929412,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.91606126076
"2846",-0.328857,-78.2006149289432,-78.2006151557733,-0.328858,505.111360208464,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.93739199909
"2847",-0.328856,-78.2006147037393,-78.2006149289432,-0.328857,505.22546758125,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.95866225658
"2848",-0.328855,-78.2006144801619,-78.2006147037393,-0.328856,505.339535312086,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098.97987115851
"2849",-0.328854,-78.2006142582112,-78.2006144801619,-0.328855,505.453563669192,-0.328858690336347,-78.2005941588432,4104.01,2021-12-18 11:31:30,NA,NA,NA,NA,NA,4099.00101783244
"2850",-0.328853,-78.2006140378876,-78.2006142582112,-0.328854,505.567552920841,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.02210140741
"2851",-0.328852,-78.2006138191912,-78.2006140378876,-0.328853,505.681503335434,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.04312101394
"2852",-0.328851,-78.2006136021221,-78.2006138191912,-0.328852,505.795415184464,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.06407578458
"2853",-0.32885,-78.2006133866806,-78.2006136021221,-0.328851,505.909288739498,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.0849648533
"2854",-0.328849,-78.2006131728668,-78.2006133866806,-0.32885,506.023124273028,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.10578735562
"2855",-0.328848,-78.2006129606808,-78.2006131728668,-0.328849,506.136922058791,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.12654242866
"2856",-0.328847,-78.2006127501226,-78.2006129606808,-0.328848,506.250682370531,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.14722921084
"2857",-0.328846,-78.2006125411922,-78.2006127501226,-0.328847,506.364405484943,NA,NA,NA,NA,NA,NA,NA,NA,NA,4099.16784684246
