"","lon_fit","lat_fit","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","DOC","TDN","ele_fit","dist_diff","dist","slope50m","midpoint","surface_area","flux_umolpers","Totalflux_umolpers"
"1",-78.1995904919508,-0.324193710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.79639624658,0.150125023478722,0,NA,NA,NA,NA,NA
"2",-78.1995913967919,-0.324194710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.69334185069,0.148209411885773,0.148209411885773,-0.695329632475363,NA,NA,NA,NA
"3",-78.199592275779,-0.324195710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.5918982618,0.146357903770422,0.294567315656195,-0.694231755927803,NA,NA,NA,NA
"4",-78.1995931293627,-0.324196710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.49201148346,0.144569648890638,0.439136964546833,-0.693143114108416,NA,NA,NA,NA
"5",-78.1995939579886,-0.324197710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.39362866034,0.142843774681978,0.581980739228811,-0.692063429412288,NA,NA,NA,NA
"6",-78.1995947620973,-0.324198710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.2966980766,0.141179384584802,0.723160123813614,-0.690992428273018,NA,NA,NA,NA
"7",-78.1995955421242,-0.324199710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.20116915547,0.139575543824776,0.86273566763839,-0.689929851563238,NA,NA,NA,NA
"8",-78.1995962984999,-0.324200710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.1069924686,0.138031297159614,1.000766964798,-0.688875434777034,NA,NA,NA,NA
"9",-78.1995970316497,-0.324201710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.01411973336,0.136545660879165,1.13731262567717,-0.687828918414495,NA,NA,NA,NA
"10",-78.1995977419944,-0.324202710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.92250381579,0.135117618435061,1.27243024411223,-0.686790049854306,NA,NA,NA,NA
"11",-78.1995984299496,-0.324203710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.83209873644,0.133746130088184,1.40617637420041,-0.685758577540254,NA,NA,NA,NA
"12",-78.1995990959263,-0.324204710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.74285966991,0.132430127145653,1.53860650134607,-0.684734255152986,NA,NA,NA,NA
"13",-78.1995997403306,-0.324205710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.65474294835,0.131168519815446,1.66977502116151,-0.68371683835463,NA,NA,NA,NA
"14",-78.1996003635636,-0.324206710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.56770605985,0.129960186137168,1.79973520729868,-0.682706090180763,NA,NA,NA,NA
"15",-78.1996009660222,-0.324207710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.4817076543,0.1288039883284,1.92853919562708,-0.681701774724248,NA,NA,NA,NA
"16",-78.1996015480981,-0.324208710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.39670753857,0.127698760907379,2.05623795653446,-0.680703662513823,NA,NA,NA,NA
"17",-78.1996021101786,-0.324209710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.31266667969,0.126643323666258,2.18288128020072,-0.679711526391947,NA,NA,NA,NA
"18",-78.1996026526465,-0.324210710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.2295471996,0.125636472341057,2.30851775254177,-0.678725145284661,NA,NA,NA,NA
"19",-78.1996031758797,-0.324211710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.14731237627,0.12467698866908,2.43319474121085,-0.677744301506105,NA,NA,NA,NA
"20",-78.1996036802518,-0.324212710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.06592663835,0.123763642137646,2.5569583833485,-0.676768781026307,NA,NA,NA,NA
"21",-78.1996041661319,-0.324213710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4148.98535555884,0.122895183167429,2.67985356651593,-0.67579837583962,NA,NA,NA,NA
"22",-78.1996046338846,-0.324214710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4148.90556585349,0.122070355008645,2.80192392152458,-0.674832881279843,NA,NA,NA,NA
"23",-78.19960508387,-0.324215710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4148.82652537155,0.121287893720364,2.92321181524494,-0.67387209669819,NA,NA,NA,NA
"24",-78.1996055164438,-0.324216710792542,"2021-06-30","EOS2",0.09,14,"old",377.538461538462,8.15625,62.3622,6.786,626.1104,566.488203771831,8.737,0.2291,4148.74820308681,0.120546529241892,3.04375834448683,-0.672915825754011,11.0753471744416,3.4114314478313,0.307028830304817,0.307028830304817
