,lon_fit,lat_fit,lon_dist,lat_dist,dist_old,dist,lon,lat,ele,time,lat_wypt,lon_wypt,ele_wypt,Date,EOS_no,Flux_ave,Tract,Point,CO2_ppm_ave,adjusted_ppm,DOC,TDN,ele_fit
340,-78.19356327,-0.315184413,-78.19355458,-0.315194413,372.4744656,83.79937376,-78.19356132,-0.31517515,4274.64,7/12/2021 11:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4277.049937
341,-78.19356327,-0.315184413,-78.19355458,-0.315194413,372.4744656,83.79937376,-78.19355403,-0.315178754,4280.89,7/12/2021 11:14,-0.31517297,-78.19356099,4280.244629,NA,NA,NA,NA,NA,NA,NA,NA,NA,4277.049937
342,-78.19357186,-0.315174413,-78.19356327,-0.315184413,373.9422517,82.33158773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4276.913952
343,-78.19358038,-0.315164413,-78.19357186,-0.315174413,375.4043061,80.86953324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4276.779724
344,-78.19358882,-0.315154413,-78.19358038,-0.315164413,376.8615735,79.41226589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4276.645751
345,-78.19359722,-0.315144413,-78.19358882,-0.315154413,378.3149858,77.95885359,-78.19359217,-0.315144556,4272.72,7/12/2021 11:06,NA,NA,NA,7/5/2021,EOS1,0.08,1,5,238.9152542,266.8645486,3.018,0.07629,4276.510563
346,-78.19359722,-0.315144413,-78.19358882,-0.315154413,378.3149858,77.95885359,-78.1935982,-0.315140532,4275.12,7/12/2021 11:12,NA,NA,NA,7/5/2021,EOS1,0.08,1,5,238.9152542,266.8645486,3.018,0.07629,4276.510563
347,-78.19360557,-0.315134413,-78.19359722,-0.315144413,379.765465,76.50837437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4276.372705
348,-78.1936139,-0.315124413,-78.19360557,-0.315134413,381.2139254,75.05991403,-78.19361849,-0.315125445,4271.76,7/12/2021 11:12,NA,NA,NA,7/6/2021,EOS2,0.265,1,9,342.7361111,516.1233681,NA,NA,4276.230734
349,-78.1936139,-0.315124413,-78.19360557,-0.315134413,381.2139254,75.05991403,-78.19361849,-0.315125445,4271.76,7/12/2021 11:12,NA,NA,NA,7/6/2021,EOS1,-0.01,1,4,141.173,212.5196178,NA,NA,4276.230734
350,-78.19362221,-0.315114413,-78.1936139,-0.315124413,382.6612756,73.61256382,-78.19362989,-0.31512226,4270.79,7/12/2021 11:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4276.095678
351,-78.19362221,-0.315114413,-78.1936139,-0.315124413,382.6612756,73.61256382,-78.19362536,-0.315119745,4269.35,7/12/2021 11:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4276.095678
352,-78.19363051,-0.315104413,-78.19362221,-0.315114413,384.1084214,72.16541797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4275.976658
353,-78.19363883,-0.315094413,-78.19363051,-0.315104413,385.5562681,70.7175713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4275.869401
354,-78.19364717,-0.315084413,-78.19363883,-0.315094413,387.0057227,69.2681167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4275.769649
355,-78.19365554,-0.315074413,-78.19364717,-0.315084413,388.4576967,67.81614272,-78.19367079,-0.31508211,4272.24,7/12/2021 11:10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4275.673138
356,-78.19366397,-0.315064413,-78.19365554,-0.315074413,389.9131082,66.36073121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4275.575566
357,-78.19367245,-0.315054413,-78.19366397,-0.315064413,391.3728845,64.90095491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4275.472567
358,-78.19368101,-0.315044413,-78.19367245,-0.315054413,392.8379641,63.43587525,-78.19370055,-0.31505839,4271.27,7/12/2021 11:09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4275.359685
359,-78.19368965,-0.315034413,-78.19368101,-0.315044413,394.3092992,61.9645402,-78.19370692,-0.315043638,4271.27,7/12/2021 11:08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4275.232343
360,-78.19368965,-0.315034413,-78.19368101,-0.315044413,394.3092992,61.9645402,-78.19370281,-0.315049505,4272.72,7/12/2021 11:10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4275.232343
361,-78.19369839,-0.315024413,-78.19368965,-0.315034413,395.7878571,60.48598224,-78.19370289,-0.315027125,4276.08,7/12/2021 11:06,NA,NA,NA,7/5/2021,EOS1,0.223333333,1,3,456.9188889,511.2592005,NA,NA,4275.085815
362,-78.19369839,-0.315024413,-78.19368965,-0.315034413,395.7878571,60.48598224,-78.19370834,-0.315038776,4272.72,7/12/2021 11:09,NA,NA,NA,7/5/2021,EOS1,0.223333333,1,3,456.9188889,511.2592005,NA,NA,4275.085815
363,-78.19370724,-0.315014413,-78.19369839,-0.315024413,397.2746229,58.9992165,-78.19371354,-0.315014301,4279.93,7/12/2021 11:04,-0.315014971,-78.19371002,4279.695801,NA,NA,NA,NA,NA,NA,NA,NA,NA,4274.915188
364,-78.19370724,-0.315014413,-78.19369839,-0.315024413,397.2746229,58.9992165,-78.19370658,-0.315021677,4278,7/12/2021 11:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4274.915188
365,-78.19371622,-0.315004413,-78.19370724,-0.315014413,398.7706004,57.50323901,-78.1937179,-0.315000722,4278,7/12/2021 11:02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4274.819401
366,-78.19371622,-0.315004413,-78.19370724,-0.315014413,398.7706004,57.50323901,-78.19371421,-0.315005919,4279.45,7/12/2021 11:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4274.819401
367,-78.19371622,-0.315004413,-78.19370724,-0.315014413,398.7706004,57.50323901,-78.19372745,-0.315015391,4278.97,7/12/2021 11:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4274.819401
368,-78.19371622,-0.315004413,-78.19370724,-0.315014413,398.7706004,57.50323901,-78.19372385,-0.315007847,4279.45,7/12/2021 11:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4274.819401
369,-78.19372534,-0.314994413,-78.19371622,-0.315004413,400.2768142,55.99702518,-78.19372863,-0.314991754,4278.97,7/12/2021 11:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4274.724927
370,-78.19372534,-0.314994413,-78.19371622,-0.315004413,400.2768142,55.99702518,-78.19374346,-0.315006841,4278.48,7/12/2021 11:02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4274.724927
371,-78.19372534,-0.314994413,-78.19371622,-0.315004413,400.2768142,55.99702518,-78.19372117,-0.314996615,4278.97,7/12/2021 11:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4274.724927
372,-78.1937346,-0.314984413,-78.19372534,-0.314994413,401.794311,54.47952843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4274.533759
373,-78.19374403,-0.314974413,-78.1937346,-0.314984413,403.3241603,52.94967904,-78.19373307,-0.314964596,4271.27,7/12/2021 10:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4274.327996
374,-78.19375363,-0.314964413,-78.19374403,-0.314974413,404.8674562,51.40638315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4274.108602
375,-78.19376342,-0.314954413,-78.19375363,-0.314964413,406.4253174,49.84852202,-78.19376064,-0.314946827,4278,7/12/2021 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4273.876581
376,-78.19376342,-0.314954413,-78.19375363,-0.314964413,406.4253174,49.84852202,-78.19375947,-0.314949593,4279.93,7/12/2021 11:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4273.876581
377,-78.19377341,-0.314944413,-78.19376342,-0.314954413,407.9988879,48.27495151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4273.63298
378,-78.19378362,-0.314934413,-78.19377341,-0.314944413,409.5893377,46.68450166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4273.378906
379,-78.19379405,-0.314924413,-78.19378362,-0.314934413,411.1978627,45.07597664,-78.1937847,-0.314910952,4271.76,7/12/2021 10:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4273.115537
380,-78.19380471,-0.314914413,-78.19379405,-0.314924413,412.8256847,43.4481547,-78.19379535,-0.314904498,4268.87,7/12/2021 11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4272.844134
381,-78.19381564,-0.314904413,-78.19380471,-0.314914413,414.4740509,41.79978852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4272.566061
382,-78.19382682,-0.314894413,-78.19381564,-0.314904413,416.1442339,40.12960551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4272.282794
383,-78.19383828,-0.314884413,-78.19382682,-0.314894413,417.8375309,38.4363085,-78.19382175,-0.314858733,4268.87,7/12/2021 10:59,NA,NA,NA,7/5/2021,EOS1,0.373333333,1,2,1004.308611,1124.72742,NA,NA,4271.995947
384,-78.19385004,-0.314874413,-78.19383828,-0.314884413,419.555263,36.71857636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4271.707284
385,-78.19386209,-0.314864413,-78.19385004,-0.314874413,421.2987744,34.97506494,-78.19383047,-0.314822523,4269.35,7/12/2021 10:52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4271.418746
386,-78.19387446,-0.314854413,-78.19386209,-0.314864413,423.0694314,33.20440801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4271.132471
387,-78.19388716,-0.314844413,-78.19387446,-0.314854413,424.8686211,31.40521829,-78.19386575,-0.314829815,4266.47,7/12/2021 10:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4270.850819
388,-78.1939002,-0.314834413,-78.19388716,-0.314844413,426.6977507,29.57608867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4270.576403
389,-78.19391359,-0.314824413,-78.1939002,-0.314834413,428.558246,27.71559336,-78.19389123,-0.314801736,4265.99,7/12/2021 10:58,NA,NA,NA,7/5/2021,EOS1,0.093333333,1,4,736.493,823.4740175,NA,NA,4270.312111
390,-78.19392734,-0.314814413,-78.19391359,-0.314824413,430.4515502,25.82228915,-78.19391512,-0.314786062,4267.43,7/12/2021 10:58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4270.061145
391,-78.19394148,-0.314804413,-78.19392734,-0.314814413,432.3791227,23.89471673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269.827052
392,-78.19395601,-0.314794413,-78.19394148,-0.314804413,434.3424375,21.93140192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269.613761
393,-78.19397094,-0.314784413,-78.19395601,-0.314794413,436.3429824,19.93085701,-78.19396491,-0.314788409,4265.99,7/12/2021 10:54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269.425625
394,-78.19397094,-0.314784413,-78.19395601,-0.314794413,436.3429824,19.93085701,-78.1939769,-0.314802825,4267.43,7/12/2021 10:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269.425625
395,-78.19398629,-0.314774413,-78.19397094,-0.314784413,438.3822574,17.89158201,-78.19397866,-0.314764353,4265.51,7/12/2021 10:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4269.267463
