"","x_pred","site","x","depth","width","ele_arcpro","slope_mid","slope_up20","dist_diff","catchment_ha","Q_m3s","Flux_ave","adjusted_ppm","WaterTemp_c","Total_hPa","AirTemp_c","v_ms","k600_eq1","eD","k600_eq1_ulsethcorrection","k600_eq1_final","pCO2_air_ppm","air_pressure_atm","water_pressure_atm","pCO2_air_atm","pCO2_w_atm","KH_mol.l.atm","KH_mol.m3.atm","Sc_co2","k.m.d_eq1","F_mol_m2_d_eq1","F_CO2_molperd_eq1"
"4639",17.2,"Ante",15,NA,NA,4323.452637,0.254075648,0.143168308,NA,0.3159,0.0000266504256466633,1,5341.61136,9.09625,627.6114,6.667,NA,NA,NA,NA,NA,418.53,0.618849,0.619816841,0.00025900687197,0.00331082067900491,0.0558173603337977,55.8173603337977,1088.5333534522,NA,NA,NA
"273",22.6,"Ante",20,5,23,4322.057129,0.276163254,0.22132891,10,0.3672,0.0000316028050515281,0.530135135135135,3254.15575167568,8.99804054054054,627.675589189189,6.66648648648649,0.0027480700044807,1.67104494558816,0.00744496551518699,13.2228768939589,1.67104494558816,418.53,0.618849,0.619816841,0.00025900687197,0.0020169805381256,0.0559828121368004,55.9828121368004,1094.89863593882,1.62153750453589,0.159585736902258,0.110114158462558
"327",28,"Ante",25,NA,NA,4320.156738,0.274330198,0.305515416,NA,0.4698,0.0000417762868066999,0.085,1276.566228,8.905,627.7364,6.666,NA,NA,NA,NA,NA,418.53,0.618849,0.619816841,0.00025900687197,0.000791237246766246,0.0561401150522493,56.1401150522493,1100.97170778918,NA,NA,NA
"4705",33.4,"Ante",30,11,16,4318.401367,0.284174566,0.338873141,10,0.5364,0.0000485447700130427,0.0734931506849315,1221.28079030137,8.7645205479452,627.795468493151,6.66446575342466,0.00275822556892288,2.63254217706896,0.00768925020453166,16.3697615497738,2.63254217706896,418.53,0.618849,0.619816841,0.00025900687197,0.000756970401418578,0.0563786583069313,56.3786583069313,1110.22085050907,2.55277437361165,0.0716679041694936,0.0344005940013569
"469",42.1,"Ante",NA,NA,NA,4313.194336,0.244088965,0.453494101,NA,0.5517,0.0000501160411959234,0.055,1132.429194,8.53875,627.8904,6.662,NA,NA,NA,NA,NA,418.53,0.618849,0.619816841,0.00025900687197,0.000701898685681256,0.0567646596451006,56.7646596451006,1125.28842978559,NA,NA,NA
"491",44.2,"Ante",40,5,26,4315.925781,0.200505464,0.284174566,10,0.5517,0.0000501160411959234,0.695444444444445,6181.25535293333,8.47788333333333,627.897244444444,6.66395555555556,0.00385508009199411,1.69854795454399,0.00758278294772995,13.3415282892528,1.69854795454399,418.53,0.618849,0.619816841,0.00025900687197,0.00383124616626948,0.0568692817753585,56.8692817753585,1129.39384171247,1.64567133479353,0.334319255651109,0.260769019407865
"4642",46.5,"Ante",NA,NA,NA,4315.320313,0.214809728,0.261522594,NA,0.5553,0.0000504865988295836,1.365,11459.57361,8.41425,627.9044,6.666,NA,NA,NA,NA,NA,418.53,0.618849,0.619816841,0.00025900687197,0.00710283671415717,0.0569789141384878,56.9789141384878,1133.70568016688,NA,NA,NA
"586",53.7,"Ante",50,NA,NA,4314.322266,0.042775241,0.200505464,NA,0.5625,0.0000512286686639368,1.23886363636364,10713.54168625,8.48216584887144,627.737922727273,6.69145454545455,NA,NA,NA,NA,NA,418.53,0.618849,0.619816841,0.00025900687197,0.00664043356389329,0.0568619128885114,56.8619128885114,1129.10438406177,NA,NA,NA
"587",53.7,"Ante",50,NA,NA,4314.322266,0.042775241,0.200505464,10,0.5625,0.0000512286686639368,1.23718181818182,10703.5945939333,8.48307139352306,627.735703030303,6.69179393939394,NA,NA,NA,NA,NA,418.53,0.618849,0.619816841,0.00025900687197,0.00663426818855644,0.0568603548767894,56.8603548767894,1129.04318953392,NA,NA,NA
"1171",112,"Ante",100,NA,NA,4313.106445,0.027785513,0.020871162,NA,2.5047,0.000278087226480185,0.255,4894.492681,9.01190947006869,626.4394,6.89,NA,NA,NA,NA,NA,418.53,0.618849,0.619816841,0.00025900687197,0.00303368899183504,0.0559594106913621,55.9594106913621,1093.99693813425,NA,NA,NA
