"","lat_fit","lon_fit","lon_dist","lat_dist","dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","ele_fit","slope","ante_slope"
"5609",-0.331116772898483,-78.203179729587,-78.2031797357358,-0.331116872898483,50.3827624884204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.57296742742,0.110653436419844,0.123752815281624
"5610",-0.331116672898483,-78.2031797234373,-78.203179729587,-0.331116772898483,50.3939154667278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.57420180977,0.110690820957005,0.123771019158432
"5611",-0.331116572898483,-78.2031797172868,-78.2031797234373,-0.331116672898483,50.405068451126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.57543676327,0.110728180262691,0.123789149383684
"5612",-0.331116472898483,-78.2031797111353,-78.2031797172868,-0.331116572898483,50.4162214416049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.57667228711,0.110765514260931,0.12380720595708
"5613",-0.331116372898483,-78.2031797049829,-78.2031797111353,-0.331116472898483,50.4273744383447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.57790838047,0.110802822877043,0.12382518887866
"5614",-0.331116272898483,-78.2031796988296,-78.2031797049829,-0.331116372898483,50.438527441439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.57914504256,0.110840106035468,0.123843098148349
"5615",-0.331116172898483,-78.2031796926754,-78.2031796988296,-0.331116272898483,50.4496804505297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.58038227251,0.11087736366171,0.123860933765593
"5616",-0.331116072898483,-78.2031796865203,-78.2031796926754,-0.331116172898483,50.4608334658841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.58162006952,0.110914595680098,0.123878695730436
"5617",-0.331115972898483,-78.2031796803642,-78.2031796865203,-0.331116072898483,50.4719864875903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.5828584328,0.110951802015774,0.123896384042774
"5618",-0.331115872898483,-78.2031796742073,-78.2031796803642,-0.331115972898483,50.4831395153935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.5840973615,0.11098898259338,0.123913998702097
"5619",-0.331115772898483,-78.2031796680494,-78.2031796742073,-0.331115872898483,50.4942925495447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.58533685481,0.111026137337928,0.123931539708549
"5620",-0.331115672898483,-78.2031796618907,-78.2031796680494,-0.331115772898483,50.5054455897893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.58657691189,0.111063266174827,0.123949007061482
"5621",-0.331115572898483,-78.203179655731,-78.2031796618907,-0.331115672898483,50.5165986363078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.58781753195,0.11110036902791,0.123966400761125
"5622",-0.331115472898483,-78.2031796495704,-78.203179655731,-0.331115572898483,50.5277516892643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4064.58905871417,0.111137445823157,0.123983720807239
