"","lat_fit","lon_fit","lon_dist","lat_dist","dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","ele_fit","slope","ante_slope"
"6121",-0.331579,-78.2037864549,-78.2037886273237,-0.33158,32.0612412167654,-0.331562105566263,-78.2037939503789,4056.42,2021-12-18 10:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4056.69399038464,0.410599102012521,0.350776565128439
"6131",-0.331578,-78.2037842832686,-78.2037864549,-0.331579,32.327381537088,-0.331548191606998,-78.2037973869592,4052.58,2021-12-18 10:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4056.81572766864,0.407442193906276,0.344974527269898
"6141",-0.331578,-78.2037842832686,-78.2037864549,-0.331579,32.327381537088,-0.331552466377616,-78.2037960458547,4054.5,2021-12-18 10:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4056.81572766864,0.407442193906276,0.344974527269898
"6151",-0.331577,-78.2037821124498,-78.2037842832686,-0.331578,32.5934396867543,NA,NA,NA,NA,"2021-06-22","EOS_1",0.025,1,"new",215.0745,8.48775,62.4812,6.762,627.3004,239.807531791263,4056.93631016873,0.404227403823247,0.338920988095209
"6161",-0.331576,-78.2037799424641,-78.2037821124498,-0.331577,32.859413618377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4057.05569000948,0.400954834246292,0.332638059261009
"6171",-0.331575,-78.2037777733316,-78.2037799424641,-0.331576,33.1253012926954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4057.17381944573,0.397624589096145,0.326147819105771
"6181",-0.331574,-78.2037756050724,-78.2037777733316,-0.331575,33.3911006876051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4057.29065086995,0.39423677366713,0.319472312807825
"6191",-0.331573,-78.2037734377064,-78.2037756050724,-0.331574,33.6568097955732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4057.4061368142,0.390808453746025,0.312633552520181
"6201",-0.331572,-78.2037712712535,-78.2037734377064,-0.331573,33.9224266223782,-0.331570319831371,-78.203773163259,4057.38,2021-12-18 10:45:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4057.5202299528,0.387374996113085,0.305653517589528
"6211",-0.331571,-78.2037691057332,-78.2037712712535,-0.331572,34.1879491870976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4057.63288310544,0.383960862501875,0.298554154780056
