"","lon_fit","lat_fit","ele_fit","dist","Date","Point","Flux_ave","CO2_ppm_ave","adjusted_ppm","AirTemp_c","Total_hPa","VaisalaType","EOS_no"
"1",-78.2031855419035,-0.331215772898483,4063.57356062353,74.9410129682039,"6/23/21",1,2.28,927.3846154,1404.899821,6.775,626.9454,"old","EOS1"
"2",-78.2031686057487,-0.330963272898483,4066.64685422108,46.7685646385424,"6/23/21",2,2.59,964.6923077,1460.886328,6.772,626.9774,"old","EOS1"
"3",-78.2031337966674,-0.330699872898483,4068.70701754915,17.1797983194993,"6/23/21",3,0.5,1335.5,2019.293163,6.763,627.0124,"old","EOS1"
"4",-78.2031020480166,-0.330560772898483,4069.82171859819,1.29300227811581,"6/23/21",4,0.655,2365.384615,3573.983273,6.761,627.0104,"old","EOS1"
