"","lon_fit","lat_fit","lon_dist","lat_dist","dist","lon","lat","ele","time","lat_wypt","lon_wypt","ele_wypt","Date","EOS_no","Flux_ave","Tract","Point","CO2_ppm_ave","adjusted_ppm","DOC","TDN","AirTemp_c","VaisalaType","Total_hPa","GAVI_waterTempAve","ele_fit"
"1",-78.1921214920227,-0.317504145205021,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",-78.1921293602556,-0.317494145205021,-78.1921214920227,-0.317504145205021,1.41645986963842,-78.1921451166272,-0.317498780786991,4322.71,"2021-07-12 12:47:00",NA,NA,NA,"2021-07-05","EOS2",0.0833333333333333,1,1,651.883333333333,984.475405793992,NA,NA,6.68,"old",627.3064,10.56925,4321.14265653908
"3",-78.1921368403105,-0.317484145205021,-78.1921293602556,-0.317494145205021,2.80661481844729,-78.1921612098813,-0.317504145205021,4322.22,"2021-07-12 12:47:30",-0.317504983395338,-78.192155007273,4322.055664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4320.93583505674
"4",-78.1921439396345,-0.317474145205021,-78.1921368403105,-0.317484145205021,4.17180600210983,-78.1921424344182,-0.317476065829396,4323.67,"2021-07-12 12:46:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4320.73365197514
"5",-78.1921506656747,-0.317464145205021,-78.1921439396345,-0.317474145205021,5.51337088000508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4320.53620212621
"6",-78.1921570258779,-0.317454145205021,-78.1921506656747,-0.317464145205021,6.83264043675128,-78.1921479664743,-0.317453183233738,4324.63,"2021-07-12 12:46:30",-0.317448992282152,-78.1921560131013,4324.983887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4320.34355150695
"7",-78.1921630276911,-0.317444145205021,-78.1921570258779,-0.317454145205021,8.13093621412349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4320.1557422085
"8",-78.1921686785614,-0.317434145205021,-78.1921630276911,-0.317444145205021,9.40956719369929,-78.1921626348048,-0.317426444962621,4318.86,"2021-07-12 12:45:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4319.97279698079
"9",-78.1921739859358,-0.317424145205021,-78.1921686785614,-0.317434145205021,10.6698265398099,-78.1921809073538,-0.317422924563289,4315.98,"2021-07-12 12:44:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4319.794723451
"10",-78.1921739859358,-0.317424145205021,-78.1921686785614,-0.317434145205021,10.6698265398099,-78.1921661552042,-0.317418398335576,4322.71,"2021-07-12 12:45:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4319.794723451
"11",-78.1921789572612,-0.317414145205021,-78.1921739859358,-0.317424145205021,11.9129882557297,-78.1921663228422,-0.317409262061119,4319.34,"2021-07-12 12:38:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4319.62151800662
"12",-78.1921835999846,-0.317404145205021,-78.1921789572612,-0.317414145205021,13.1403037862954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4319.453169356
"13",-78.192187921553,-0.317394145205021,-78.1921835999846,-0.317404145205021,14.3529986201968,NA,NA,NA,NA,NA,NA,NA,"2021-07-05","EOS2",1,1,2,3097.73333333333,4671.7624651953,3.226,0.125,6.6755,"old",627.4869,10.184875,4319.28966177565
"14",-78.1921919294134,-0.317384145205021,-78.192187921553,-0.317394145205021,15.5522689303825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4319.13097805516
"15",-78.1921956310128,-0.317374145205021,-78.1921919294134,-0.317384145205021,16.7392783110099,-78.1921692565084,-0.317368945106864,4317.9,"2021-07-12 12:44:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4318.97710214723
"16",-78.1921990337982,-0.317364145205021,-78.1921956310128,-0.317374145205021,17.9151546500211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4318.82734064638
"17",-78.1922021452165,-0.317354145205021,-78.1921990337982,-0.317364145205021,19.08098719156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4318.68083945952
"18",-78.1922049727148,-0.317344145205021,-78.1922021452165,-0.317354145205021,20.2378238249639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4318.5373558883
"19",-78.1922075237401,-0.317334145205021,-78.1922049727148,-0.317344145205021,21.3866686388634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4318.39666266066
"20",-78.1922098057393,-0.317324145205021,-78.1922075237401,-0.317334145205021,22.5284797735711,-78.1922005210072,-0.317317815497518,4318.86,"2021-07-12 12:37:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4318.25854713233
"21",-78.1922118261594,-0.317314145205021,-78.1922098057393,-0.317324145205021,23.6641675921409,-78.1922078132629,-0.317309098318219,4316.94,"2021-07-12 12:43:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4318.12281050957
"22",-78.1922135924475,-0.317304145205021,-78.1922118261594,-0.317314145205021,24.794593193834,-78.1922245770693,-0.317301386967301,4317.42,"2021-07-12 12:38:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4317.98926708932
