"","lat_fit","lon_fit","ele_fit","dist","Date","Point","Flux_ave","CO2_ppm_ave","adjusted_ppm","DOC","TDN","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","VaisalaType","EOS_no"
"350",-0.331305993153572,-78.2032941969128,4065.3152885995,482.334414996017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351",-0.331304993153572,-78.2032927440015,4065.32015141432,482.138073143865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352",-0.331303993153572,-78.2032912911882,4065.32538709257,481.941740280149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353",-0.331302993153572,-78.2032898384701,4065.33100408036,481.745416139875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354",-0.331301993153572,-78.2032883858443,4065.33701082335,481.549100466222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355",-0.331300993153572,-78.2032869333083,4065.34323313433,481.35279302689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356",-0.331299993153572,-78.2032854808598,4065.34949167454,481.156493600083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357",-0.331298993153572,-78.2032840284964,4065.35578716094,480.960201983855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358",-0.331297993153572,-78.2032825762161,4065.36212031004,480.763917990259,"2021-06-22",4,0.17,511.761666666667,567.722497859667,3.698,0.128,8.4675,62.4612,6.751,627.1004,"new","EOS1"
"359",-0.331296993153572,-78.2032811240171,4065.36849183791,480.567641443034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360",-0.331295993153572,-78.2032796718976,4065.37490245975,480.371372192747,"2021-06-22",5,0.43,484.6728,537.64021848072,NA,NA,8.3405,62.4655,6.748,627.1434,"new","EOS1"
