"","lat_fit","lon_fit","lon_dist","lat_dist","dist","ele_fit"
"1",-0.330545213073492,-78.2023130466951,NA,NA,0,NA
"2",-0.330545113073492,-78.2023129852355,-78.2023130466951,-0.330545213073492,0.0130662551807366,NA
"3",-0.330545013073492,-78.2023129236402,-78.2023129852355,-0.330545113073492,0.0261404229041969,NA
"4",-0.330544913073492,-78.2023128619095,-78.2023129236402,-0.330545013073492,0.0392224957321891,NA
"5",-0.330544813073492,-78.2023128000441,-78.2023128619095,-0.330544913073492,0.0523124564079025,NA
"6",-0.330544713073492,-78.2023127380443,-78.2023128000441,-0.330544813073492,0.0654102942413243,NA
"7",-0.330544613073492,-78.2023126759105,-78.2023127380443,-0.330544713073492,0.0785159976639577,NA
"8",-0.330544513073492,-78.2023126136432,-78.2023126759105,-0.330544613073492,0.0916295512165612,NA
"9",-0.330544413073492,-78.2023125512428,-78.2023126136432,-0.330544513073492,0.104750943052247,NA
"10",-0.330544313073492,-78.2023124887097,-78.2023125512428,-0.330544413073492,0.117880161187215,NA
"11",-0.330544213073492,-78.2023124260443,-78.2023124887097,-0.330544313073492,0.131017190498176,NA
"12",-0.330544113073492,-78.2023123632471,-78.2023124260443,-0.330544213073492,0.144162017976927,NA
"13",-0.330544013073492,-78.2023123003185,-78.2023123632471,-0.330544113073492,0.157314631990515,NA
"14",-0.330543913073492,-78.2023122372589,-78.2023123003185,-0.330544013073492,0.170475016252523,NA
"15",-0.330543813073492,-78.2023121740687,-78.2023122372589,-0.330543913073492,0.183643160369399,NA
"16",-0.330543713073492,-78.2023121107484,-78.2023121740687,-0.330543813073492,0.19681904778303,NA
"17",-0.330543613073492,-78.2023120472983,-78.2023121107484,-0.330543713073492,0.210002667098214,NA
"18",-0.330543513073492,-78.202311983719,-78.2023120472983,-0.330543613073492,0.223194003005739,NA
"19",-0.330543413073492,-78.2023119200107,-78.202311983719,-0.330543513073492,0.236393041568954,NA
"20",-0.330543313073492,-78.202311856174,-78.2023119200107,-0.330543413073492,0.249599769499297,NA
"21",-0.330543213073492,-78.2023117922093,-78.202311856174,-0.330543313073492,0.26281417109496,NA
"22",-0.330543113073492,-78.202311728117,-78.2023117922093,-0.330543213073492,0.276036233563956,NA
"23",-0.330543013073492,-78.2023116638974,-78.202311728117,-0.330543113073492,0.289265940948014,NA
"24",-0.330542913073492,-78.2023115995511,-78.2023116638974,-0.330543013073492,0.302503280989099,NA
"25",-0.330542813073492,-78.2023115350784,-78.2023115995511,-0.330542913073492,0.315748238998417,NA
"26",-0.330542713073492,-78.2023114704797,-78.2023115350784,-0.330542813073492,0.32900079864071,NA
"27",-0.330542613073492,-78.2023114057555,-78.2023114704797,-0.330542713073492,0.342260946524958,NA
"28",-0.330542513073492,-78.2023113409062,-78.2023114057555,-0.330542613073492,0.355528666837387,NA
"29",-0.330542413073492,-78.2023112759322,-78.2023113409062,-0.330542513073492,0.368803945940592,NA
"30",-0.330542313073492,-78.2023112108339,-78.2023112759322,-0.330542413073492,0.382086767001553,NA
"31",-0.330542213073492,-78.2023111456117,-78.2023112108339,-0.330542313073492,0.395377120037963,NA
"32",-0.330542113073492,-78.202311080266,-78.2023111456117,-0.330542213073492,0.40867498332178,NA
"33",-0.330542013073492,-78.2023110147973,-78.202311080266,-0.330542113073492,0.42198034663601,NA
"34",-0.330541913073492,-78.2023109492059,-78.2023110147973,-0.330542013073492,0.435293191895361,NA
"35",-0.330541813073492,-78.2023108834923,-78.2023109492059,-0.330541913073492,0.448613504003837,NA
"36",-0.330541713073492,-78.2023108176569,-78.2023108834923,-0.330541813073492,0.461941268516901,NA
"37",-0.330541613073492,-78.2023107517,-78.2023108176569,-0.330541713073492,0.475276470894148,NA
"38",-0.330541513073492,-78.2023106856222,-78.2023107517,-0.330541613073492,0.488619093363096,4077.98788189648
"39",-0.330541413073492,-78.2023106194238,-78.2023106856222,-0.330541513073492,0.501969120362231,4077.97702261604
"40",-0.330541313073492,-78.2023105531051,-78.2023106194238,-0.330541413073492,0.515326539363988,4077.96617308551
"41",-0.330541213073492,-78.2023104866667,-78.2023105531051,-0.330541313073492,0.528691332256586,4077.95533344612
"42",-0.330541113073492,-78.2023104201089,-78.2023104866667,-0.330541213073492,0.542063480796118,4077.94450383947
"43",-0.330541013073492,-78.2023103534321,-78.2023104201089,-0.330541113073492,0.555442976062654,4077.93368439988
"44",-0.330540913073492,-78.2023102866368,-78.2023103534321,-0.330541013073492,0.568829794104015,4077.9228752741
"45",-0.330540813073492,-78.2023102197233,-78.2023102866368,-0.330540913073492,0.582223923437284,4077.91207659907
"46",-0.330540713073492,-78.2023101526921,-78.2023102197233,-0.330540813073492,0.59562534695642,4077.90128851653
"47",-0.330540613073492,-78.2023100855435,-78.2023101526921,-0.330540713073492,0.609034047460013,4077.89051116857
"48",-0.330540513073492,-78.2023100182779,-78.2023100855435,-0.330540613073492,0.622450010799846,4077.87974469509
"49",-0.330540413073492,-78.2023099508959,-78.2023100182779,-0.330540513073492,0.635873218760545,4077.86898923952
"50",-0.330540313073492,-78.2023098833976,-78.2023099508959,-0.330540413073492,0.649303656195081,4077.85824494309
"51",-0.330540213073492,-78.2023098157836,-78.2023098833976,-0.330540313073492,0.662741305487678,4077.84751194926
"52",-0.330540113073492,-78.2023097480543,-78.2023098157836,-0.330540213073492,0.676186151289898,4077.83679039995
"53",-0.330540013073492,-78.20230968021,-78.2023097480543,-0.330540113073492,0.689638176556933,4077.82608043868
"54",-0.330539913073492,-78.2023096122512,-78.20230968021,-0.330540013073492,0.703097364951735,4077.81538220867
