"","lon_fit","lat_fit","ele_fit","dist","Date","Point","Flux_ave","CO2_ppm_ave","adjusted_ppm","AirTemp_c","Total_hPa","VaisalaType","EOS_no"
"1",-78.2007707147242,-0.327339039022899,4107.79245762812,43.7032301068223,2021-06-29,1,0.905,4475.566154,4965.087468,7.198,627.0824,"new","EOS1"
"2",-78.2008829972131,-0.327227939022899,4109.37460162837,26.0287974724046,2021-06-30,1,0.465,1814.661538,2015.453656,6.809,626.2334,"new","EOS1"
"3",-78.2009172874779,-0.327175439022899,4109.74169857724,19.0471270184587,2021-06-30,1,0.255,1201.129231,1334.11874,6.768,626.1864,"new","EOS1"
"4",-78.2009540721612,-0.327118239022899,4110.17076251154,11.4756271661179,2021-06-29,2,0.105,1870.216923,2074.690358,7.196,627.1124,"new","EOS1"
"5",-78.2009587422541,-0.327111639022899,4110.24592412339,10.5755891925486,2021-06-30,2,0.105,1651.496923,1834.589139,6.823,626.0904,"new","EOS1"
"6",-78.2010215930151,-0.327040639022899,4111.50660709083,0,2021-06-29,3,1.1,5841.547692,6479.94941,7.196,627.1424,"new","EOS1"
"7",-78.2010215930151,-0.327040639022899,4111.50660709083,0,2021-06-30,3,0.155,1644.372308,1826.534063,6.826,626.1474,"new","EOS1"
