Serial Number:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R37301
Device ID:,,Box 7
,,
,,Channel 1
Date,Time,Voltage (ppm)
7/20/2021,3:30:00 PM,2674.44
7/20/2021,3:45:00 PM,2736.3
7/20/2021,4:00:00 PM,2740.56
7/20/2021,4:15:00 PM,2748.57
7/20/2021,4:30:00 PM,2740.56
7/20/2021,4:45:00 PM,2707.75
7/20/2021,5:00:00 PM,2819.94
7/20/2021,5:15:00 PM,2768.6
7/20/2021,5:30:00 PM,2824.95
7/20/2021,5:45:00 PM,2703.49
7/20/2021,6:00:00 PM,2666.17
7/20/2021,6:15:00 PM,2642.13
7/20/2021,6:30:00 PM,2589.54
7/20/2021,6:45:00 PM,2623.35
7/20/2021,7:00:00 PM,2578.77
7/20/2021,7:15:00 PM,2665.42
7/20/2021,7:30:00 PM,2617.84
7/20/2021,7:45:00 PM,2591.04
7/20/2021,8:00:00 PM,2611.58
7/20/2021,8:15:00 PM,2608.07
7/20/2021,8:30:00 PM,2621.85
7/20/2021,8:45:00 PM,2614.58
7/20/2021,9:00:00 PM,2633.62
7/20/2021,9:15:00 PM,2636.37
7/20/2021,9:30:00 PM,2700.48
7/20/2021,9:45:00 PM,2668.18
7/20/2021,10:00:00 PM,2715.76
7/20/2021,10:15:00 PM,2684.46
7/20/2021,10:30:00 PM,2670.18
7/20/2021,10:45:00 PM,2611.08
7/20/2021,11:00:00 PM,2589.54
7/20/2021,11:15:00 PM,2670.43
7/20/2021,11:30:00 PM,2573.26
7/20/2021,11:45:00 PM,2618.09
7/21/2021,12:00:00 AM,2593.3
7/21/2021,12:15:00 AM,2548.97
7/21/2021,12:30:00 AM,2521.17
7/21/2021,12:45:00 AM,2576.77
7/21/2021,1:00:00 AM,2539.7
7/21/2021,1:15:00 AM,2551.47
7/21/2021,1:30:00 AM,2542.46
7/21/2021,1:45:00 AM,2603.06
7/21/2021,2:00:00 AM,2555.98
7/21/2021,2:15:00 AM,2511.15
7/21/2021,2:30:00 AM,2494.62
7/21/2021,2:45:00 AM,2476.59
7/21/2021,3:00:00 AM,2440.28
7/21/2021,3:15:00 AM,2445.04
7/21/2021,3:30:00 AM,2671.93
7/21/2021,3:45:00 AM,2632.37
7/21/2021,4:00:00 AM,2557.48
7/21/2021,4:15:00 AM,2562.99
7/21/2021,4:30:00 AM,2536.7
7/21/2021,4:45:00 AM,2506.39
7/21/2021,5:00:00 AM,2601.81
7/21/2021,5:15:00 AM,2614.08
7/21/2021,5:30:00 AM,2619.34
7/21/2021,5:45:00 AM,2573.51
