Nombre Dispositivo:,,OM-CP-VOLT101A
Descripci—n del dispositivo:,,Registrador de Voltaje
Nœmero de Serie:,,Q98069
ID Dispositivo:,,Station01
,,
,,Canal 1
Fecha ,Tiempo,Voltaje (ppm)
29 Dec 2021,14:15:00,11825
29 Dec 2021,14:30:00,11619
29 Dec 2021,14:45:00,11544
29 Dec 2021,15:00:00,11584
29 Dec 2021,15:15:00,11534
29 Dec 2021,15:30:00,11514
29 Dec 2021,15:45:00,11544
29 Dec 2021,16:00:00,11539
29 Dec 2021,16:15:00,11459
29 Dec 2021,16:30:00,11414
29 Dec 2021,16:45:00,11499
29 Dec 2021,17:00:00,11474
29 Dec 2021,17:15:00,11489
29 Dec 2021,17:30:00,11474
29 Dec 2021,17:45:00,11434
29 Dec 2021,18:00:00,11419
29 Dec 2021,18:15:00,11369
29 Dec 2021,18:30:00,11354
29 Dec 2021,18:45:00,11384
29 Dec 2021,19:00:00,11394
29 Dec 2021,19:15:00,11354
29 Dec 2021,19:30:00,11369
29 Dec 2021,19:45:00,11309
29 Dec 2021,20:00:00,11344
29 Dec 2021,20:15:00,11389
29 Dec 2021,20:30:00,11329
29 Dec 2021,20:45:00,11309
29 Dec 2021,21:00:00,11369
29 Dec 2021,21:15:00,11273
29 Dec 2021,21:30:00,11349
29 Dec 2021,21:45:00,11339
29 Dec 2021,22:00:00,11294
29 Dec 2021,22:15:00,11309
29 Dec 2021,22:30:00,11223
29 Dec 2021,22:45:00,11258
29 Dec 2021,23:00:00,11278
29 Dec 2021,23:15:00,11283
29 Dec 2021,23:30:00,11258
29 Dec 2021,23:45:00,11304
30 Dec 2021,0:00:00,11233
30 Dec 2021,0:15:00,11248
30 Dec 2021,0:30:00,11268
30 Dec 2021,0:45:00,11158
30 Dec 2021,1:00:00,11233
30 Dec 2021,1:15:00,11208
30 Dec 2021,1:30:00,11198
30 Dec 2021,1:45:00,11213
30 Dec 2021,2:00:00,11188
30 Dec 2021,2:15:00,11123
30 Dec 2021,2:30:00,11223
30 Dec 2021,2:45:00,11148
30 Dec 2021,3:00:00,11173
30 Dec 2021,3:15:00,11213
30 Dec 2021,3:30:00,11158
30 Dec 2021,3:45:00,11123
30 Dec 2021,4:00:00,11153
30 Dec 2021,4:15:00,11103
30 Dec 2021,4:30:00,11068
30 Dec 2021,4:45:00,11063
30 Dec 2021,5:00:00,11108
30 Dec 2021,5:15:00,11088
30 Dec 2021,5:30:00,11088
30 Dec 2021,5:45:00,11103
30 Dec 2021,6:00:00,11133
30 Dec 2021,6:15:00,11143
30 Dec 2021,6:30:00,11083
