Nombre Dispositivo:,,OM-CP-VOLT101A
Descripci—n del dispositivo:,,Registrador de Voltaje
Nœmero de Serie:,,R37300
ID Dispositivo:,,Station_02
,,
,,Canal 1
Fecha ,Tiempo,Voltaje (ppm)
12/29/21,14:45:00,5050.77
12/29/21,15:00:00,5050.27
12/29/21,15:15:00,5050.02
12/29/21,15:30:00,5049.77
12/29/21,15:45:00,5049.52
12/29/21,16:00:00,5049.52
12/29/21,16:15:00,5049.77
12/29/21,16:30:00,5050.02
12/29/21,16:45:00,5049.27
12/29/21,17:00:00,5020.18
12/29/21,17:15:00,4878.52
12/29/21,17:30:00,4901.34
12/29/21,17:45:00,5005.39
12/29/21,18:00:00,5049.02
12/29/21,18:15:00,5049.27
12/29/21,18:30:00,5049.27
12/29/21,18:45:00,5049.52
12/29/21,19:00:00,5049.27
12/29/21,19:15:00,5049.02
12/29/21,19:30:00,5049.52
12/29/21,19:45:00,5049.02
12/29/21,20:00:00,5049.27
12/29/21,20:15:00,5049.02
12/29/21,20:30:00,5048.52
12/29/21,20:45:00,5049.02
12/29/21,21:00:00,5049.52
12/29/21,21:15:00,5049.02
12/29/21,21:30:00,5049.02
12/29/21,21:45:00,5049.02
12/29/21,22:00:00,5049.02
12/29/21,22:15:00,5049.02
12/29/21,22:30:00,5049.02
12/29/21,22:45:00,5049.02
12/29/21,23:00:00,5049.27
12/29/21,23:15:00,5049.27
12/29/21,23:30:00,5048.77
12/29/21,23:45:00,5049.52
12/30/21,0:00:00,5049.02
12/30/21,0:15:00,5049.02
12/30/21,0:30:00,5049.02
12/30/21,0:45:00,5049.27
12/30/21,1:00:00,5049.02
12/30/21,1:15:00,5049.02
12/30/21,1:30:00,5049.02
12/30/21,1:45:00,5049.27
12/30/21,2:00:00,5048.77
12/30/21,2:15:00,5049.02
12/30/21,2:30:00,5048.52
12/30/21,2:45:00,5049.27
12/30/21,3:00:00,5048.52
12/30/21,3:15:00,5049.27
12/30/21,3:30:00,5049.02
12/30/21,3:45:00,5048.52
12/30/21,4:00:00,5048.77
12/30/21,4:15:00,5049.02
12/30/21,4:30:00,5048.52
12/30/21,4:45:00,5049.02
12/30/21,5:00:00,5048.52
12/30/21,5:15:00,5048.77
12/30/21,5:30:00,5048.52
12/30/21,5:45:00,5049.02
12/30/21,6:00:00,5049.02
12/30/21,6:15:00,5048.27
12/30/21,6:30:00,5048.52
12/30/21,6:45:00,5048.77
12/30/21,7:00:00,5049.02
12/30/21,7:15:00,5048.77
12/30/21,7:30:00,5048.77
12/30/21,7:45:00,5049.02
12/30/21,8:00:00,5048.52
12/30/21,8:15:00,5049.02
12/30/21,8:30:00,5048.77
12/30/21,8:45:00,5049.27
12/30/21,9:00:00,5048.77
12/30/21,9:15:00,5049.52
12/30/21,9:30:00,5049.27
12/30/21,9:45:00,5049.52
12/30/21,10:00:00,5049.27
12/30/21,10:15:00,5049.27
12/30/21,10:30:00,5049.52
12/30/21,10:45:00,5050.02
12/30/21,11:00:00,5049.52
12/30/21,11:15:00,5049.52
12/30/21,11:30:00,5050.02
12/30/21,11:45:00,5049.52
12/30/21,12:00:00,5049.52
12/30/21,12:15:00,3.26
12/30/21,12:30:00,3.01
12/30/21,12:45:00,3.51
12/30/21,13:00:00,3.01
12/30/21,13:15:00,3.01
12/30/21,13:30:00,3.01
12/30/21,13:45:00,3.26
12/30/21,14:00:00,3.01
12/30/21,14:15:00,3.51
12/30/21,14:30:00,3.01
12/30/21,14:45:00,2.51
12/30/21,15:00:00,2.76
12/30/21,15:15:00,3.01
12/30/21,15:30:00,2.76
12/30/21,15:45:00,3.01
12/30/21,16:00:00,3.26
12/30/21,16:15:00,3.01
12/30/21,16:30:00,2.76
12/30/21,16:45:00,2.76
12/30/21,17:00:00,3.26
12/30/21,17:15:00,5049.77
12/30/21,17:30:00,5049.77
12/30/21,17:45:00,5049.27
12/30/21,18:00:00,5049.02
12/30/21,18:15:00,5049.52
12/30/21,18:30:00,5049.27
12/30/21,18:45:00,3.01
12/30/21,19:00:00,3.01
12/30/21,19:15:00,3.01
12/30/21,19:30:00,3.01
12/30/21,19:45:00,3.01
12/30/21,20:00:00,3.01
12/30/21,20:15:00,3.01
12/30/21,20:30:00,3.26
12/30/21,20:45:00,3.01
12/30/21,21:00:00,3.01
12/30/21,21:15:00,3.01
12/30/21,21:30:00,2.76
12/30/21,21:45:00,3.01
12/30/21,22:00:00,2.76
12/30/21,22:15:00,3.01
12/30/21,22:30:00,3.01
12/30/21,22:45:00,3.26
12/30/21,23:00:00,3.01
12/30/21,23:15:00,3.01
12/30/21,23:30:00,2.76
12/30/21,23:45:00,3.01
12/31/21,0:00:00,2.76
12/31/21,0:15:00,3.26
12/31/21,0:30:00,3.26
12/31/21,0:45:00,3.26
12/31/21,1:00:00,3.01
12/31/21,1:15:00,3.51
12/31/21,1:30:00,3.26
12/31/21,1:45:00,2.51
12/31/21,2:00:00,3.01
12/31/21,2:15:00,3.01
12/31/21,2:30:00,2.76
12/31/21,2:45:00,3.01
12/31/21,3:00:00,3.01
12/31/21,3:15:00,2.76
12/31/21,3:30:00,3.01
12/31/21,3:45:00,3.26
12/31/21,4:00:00,3.01
12/31/21,4:15:00,2.76
12/31/21,4:30:00,3.51
12/31/21,4:45:00,2.76
12/31/21,5:00:00,3.01
12/31/21,5:15:00,3.01
12/31/21,5:30:00,3.01
12/31/21,5:45:00,3.26
12/31/21,6:00:00,2.76
