Nombre Dispositivo:,,OM-CP-VOLT101A
Descripción del dispositivo:,,Registrador de Voltaje
Número de Serie:,,Q98069
ID Dispositivo:,,Station01
,,
,,Canal 1
Fecha ,Tiempo,Voltaje (ppm)
27/7/2021,13:15:00,2416
27/7/2021,13:30:00,2376
27/7/2021,13:45:00,2371
27/7/2021,14:00:00,2366
27/7/2021,14:15:00,2326
27/7/2021,14:30:00,2296
27/7/2021,14:45:00,2311
27/7/2021,15:00:00,2351
27/7/2021,15:15:00,2371
27/7/2021,15:30:00,2351
27/7/2021,15:45:00,2361
27/7/2021,16:00:00,2351
27/7/2021,16:15:00,2346
27/7/2021,16:30:00,2371
27/7/2021,16:45:00,2376
27/7/2021,17:00:00,2396
27/7/2021,17:15:00,2421
27/7/2021,17:30:00,2466
27/7/2021,17:45:00,2531
27/7/2021,18:00:00,2571
27/7/2021,18:15:00,2647
27/7/2021,18:30:00,2687
27/7/2021,18:45:00,2727
27/7/2021,19:00:00,2762
27/7/2021,19:15:00,2757
27/7/2021,19:30:00,2807
27/7/2021,19:45:00,2842
27/7/2021,20:00:00,2867
27/7/2021,20:15:00,2862
27/7/2021,20:30:00,2892
27/7/2021,20:45:00,2917
27/7/2021,21:00:00,2907
27/7/2021,21:15:00,2942
27/7/2021,21:30:00,2942
27/7/2021,21:45:00,2957
27/7/2021,22:00:00,2962
27/7/2021,22:15:00,2988
27/7/2021,22:30:00,3003
27/7/2021,22:45:00,3028
27/7/2021,23:00:00,3018
27/7/2021,23:15:00,3018
27/7/2021,23:30:00,3063
27/7/2021,23:45:00,3088
28/7/2021,0:00:00,3083
28/7/2021,0:15:00,3113
28/7/2021,0:30:00,3113
28/7/2021,0:45:00,3128
28/7/2021,1:00:00,3158
28/7/2021,1:15:00,3123
28/7/2021,1:30:00,3183
28/7/2021,1:45:00,3178
28/7/2021,2:00:00,3163
28/7/2021,2:15:00,3213
28/7/2021,2:30:00,3203
28/7/2021,2:45:00,3223
28/7/2021,3:00:00,3268
28/7/2021,3:15:00,3248
28/7/2021,3:30:00,3243
28/7/2021,3:45:00,3258
28/7/2021,4:00:00,3238
28/7/2021,4:15:00,3253
28/7/2021,4:30:00,3238
28/7/2021,4:45:00,3243
28/7/2021,5:00:00,3273
28/7/2021,5:15:00,3273
28/7/2021,5:30:00,3283
28/7/2021,5:45:00,3293
28/7/2021,6:00:00,3293
28/7/2021,6:15:00,3318
28/7/2021,6:30:00,3308
28/7/2021,6:45:00,3308
28/7/2021,7:00:00,3308
28/7/2021,7:15:00,3288
28/7/2021,7:30:00,3318
28/7/2021,7:45:00,3278
28/7/2021,8:00:00,3263
28/7/2021,8:15:00,3258
28/7/2021,8:30:00,3233
28/7/2021,8:45:00,3203
28/7/2021,9:00:00,3193
28/7/2021,9:15:00,3188
28/7/2021,9:30:00,3153
28/7/2021,9:45:00,3153
28/7/2021,10:00:00,3148
28/7/2021,10:15:00,3103
28/7/2021,10:30:00,3103
28/7/2021,10:45:00,3088
28/7/2021,11:00:00,3103
28/7/2021,11:15:00,3083
28/7/2021,11:30:00,3053
28/7/2021,11:45:00,3058
28/7/2021,12:00:00,3043
28/7/2021,12:15:00,3043
28/7/2021,12:30:00,3038
28/7/2021,12:45:00,3028
28/7/2021,13:00:00,2978
28/7/2021,13:15:00,3028
28/7/2021,13:30:00,3013
28/7/2021,13:45:00,2998
28/7/2021,14:00:00,2998
28/7/2021,14:15:00,2988
28/7/2021,14:30:00,2993
28/7/2021,14:45:00,3008
28/7/2021,15:00:00,3008
28/7/2021,15:15:00,3008
28/7/2021,15:30:00,3018
28/7/2021,15:45:00,3003
28/7/2021,16:00:00,3013
28/7/2021,16:15:00,3048
28/7/2021,16:30:00,3038
28/7/2021,16:45:00,3178
28/7/2021,17:00:00,3158
28/7/2021,17:15:00,3208
28/7/2021,17:30:00,3228
28/7/2021,17:45:00,3298
28/7/2021,18:00:00,3313
28/7/2021,18:15:00,3353
28/7/2021,18:30:00,3394
28/7/2021,18:45:00,3424
28/7/2021,19:00:00,3489
28/7/2021,19:15:00,3504
28/7/2021,19:30:00,3514
28/7/2021,19:45:00,3559
28/7/2021,20:00:00,3594
28/7/2021,20:15:00,3594
28/7/2021,20:30:00,3614
28/7/2021,20:45:00,3619
28/7/2021,21:00:00,3624
28/7/2021,21:15:00,3659
28/7/2021,21:30:00,3674
28/7/2021,21:45:00,3709
28/7/2021,22:00:00,3679
28/7/2021,22:15:00,3704
28/7/2021,22:30:00,3694
28/7/2021,22:45:00,3689
28/7/2021,23:00:00,3699
28/7/2021,23:15:00,3719
28/7/2021,23:30:00,3694
28/7/2021,23:45:00,3709
29/7/2021,0:00:00,3724
29/7/2021,0:15:00,3734
29/7/2021,0:30:00,3754
29/7/2021,0:45:00,3754
29/7/2021,1:00:00,3734
29/7/2021,1:15:00,3724
29/7/2021,1:30:00,3739
29/7/2021,1:45:00,3754
29/7/2021,2:00:00,3775
29/7/2021,2:15:00,3749
29/7/2021,2:30:00,3800
29/7/2021,2:45:00,3790
29/7/2021,3:00:00,3775
29/7/2021,3:15:00,3815
29/7/2021,3:30:00,3840
29/7/2021,3:45:00,3850
29/7/2021,4:00:00,3835
29/7/2021,4:15:00,3850
29/7/2021,4:30:00,3865
29/7/2021,4:45:00,3850
29/7/2021,5:00:00,3890
29/7/2021,5:15:00,3930
29/7/2021,5:30:00,3880
29/7/2021,5:45:00,3890
29/7/2021,6:00:00,3900
29/7/2021,6:15:00,3895
29/7/2021,6:30:00,3905
29/7/2021,6:45:00,3935
29/7/2021,7:00:00,3940
29/7/2021,7:15:00,3965
29/7/2021,7:30:00,3940
29/7/2021,7:45:00,3910
29/7/2021,8:00:00,3875
29/7/2021,8:15:00,3875
29/7/2021,8:30:00,3865
29/7/2021,8:45:00,3855
29/7/2021,9:00:00,3815
29/7/2021,9:15:00,3795
29/7/2021,9:30:00,3790
29/7/2021,9:45:00,3780
29/7/2021,10:00:00,3759
29/7/2021,10:15:00,3744
29/7/2021,10:30:00,3739
29/7/2021,10:45:00,3724
29/7/2021,11:00:00,3704
29/7/2021,11:15:00,3689
29/7/2021,11:30:00,3674
29/7/2021,11:45:00,3679
29/7/2021,12:00:00,3679
29/7/2021,12:15:00,3659
29/7/2021,12:30:00,3644
29/7/2021,12:45:00,3689
29/7/2021,13:00:00,3644
29/7/2021,13:15:00,3709
29/7/2021,13:30:00,3714
29/7/2021,13:45:00,3724
29/7/2021,14:00:00,3719
29/7/2021,14:15:00,3734
29/7/2021,14:30:00,3780
29/7/2021,14:45:00,3795
29/7/2021,15:00:00,3775
29/7/2021,15:15:00,3790
29/7/2021,15:30:00,3775
29/7/2021,15:45:00,3800
29/7/2021,16:00:00,3830
29/7/2021,16:15:00,3820
29/7/2021,16:30:00,3870
29/7/2021,16:45:00,3880
29/7/2021,17:00:00,3895
29/7/2021,17:15:00,3895
29/7/2021,17:30:00,3945
29/7/2021,17:45:00,3930
29/7/2021,18:00:00,3965
29/7/2021,18:15:00,4010
29/7/2021,18:30:00,4070
29/7/2021,18:45:00,4100
29/7/2021,19:00:00,4105
29/7/2021,19:15:00,4150
29/7/2021,19:30:00,4150
29/7/2021,19:45:00,4201
29/7/2021,20:00:00,4181
29/7/2021,20:15:00,4191
29/7/2021,20:30:00,4211
29/7/2021,20:45:00,4236
29/7/2021,21:00:00,4261
29/7/2021,21:15:00,4301
29/7/2021,21:30:00,4306
29/7/2021,21:45:00,4311
29/7/2021,22:00:00,4311
29/7/2021,22:15:00,4316
29/7/2021,22:30:00,4281
29/7/2021,22:45:00,4326
29/7/2021,23:00:00,4356
29/7/2021,23:15:00,4361
29/7/2021,23:30:00,4341
29/7/2021,23:45:00,4351
30/7/2021,0:00:00,4351
30/7/2021,0:15:00,4321
30/7/2021,0:30:00,4341
30/7/2021,0:45:00,4356
30/7/2021,1:00:00,4351
30/7/2021,1:15:00,4356
30/7/2021,1:30:00,4346
30/7/2021,1:45:00,4366
30/7/2021,2:00:00,4341
30/7/2021,2:15:00,4346
30/7/2021,2:30:00,4366
30/7/2021,2:45:00,4356
30/7/2021,3:00:00,4386
30/7/2021,3:15:00,4351
30/7/2021,3:30:00,4381
30/7/2021,3:45:00,4406
30/7/2021,4:00:00,4406
30/7/2021,4:15:00,4421
30/7/2021,4:30:00,4466
30/7/2021,4:45:00,4446
30/7/2021,5:00:00,4481
30/7/2021,5:15:00,4496
30/7/2021,5:30:00,4466
30/7/2021,5:45:00,4471
30/7/2021,6:00:00,4466
30/7/2021,6:15:00,4491
30/7/2021,6:30:00,4506
30/7/2021,6:45:00,4506
30/7/2021,7:00:00,4506
30/7/2021,7:15:00,4486
30/7/2021,7:30:00,4461
30/7/2021,7:45:00,4431
30/7/2021,8:00:00,4436
30/7/2021,8:15:00,4446
30/7/2021,8:30:00,4386
30/7/2021,8:45:00,4381
30/7/2021,9:00:00,4361
30/7/2021,9:15:00,4326
30/7/2021,9:30:00,4321
30/7/2021,9:45:00,4271
30/7/2021,10:00:00,4256
30/7/2021,10:15:00,4256
30/7/2021,10:30:00,4226
30/7/2021,10:45:00,4236
30/7/2021,11:00:00,4211
30/7/2021,11:15:00,4201
30/7/2021,11:30:00,4206
30/7/2021,11:45:00,4196
30/7/2021,12:00:00,4201
30/7/2021,12:15:00,4166
30/7/2021,12:30:00,4181
30/7/2021,12:45:00,4171
30/7/2021,13:00:00,4176
30/7/2021,13:15:00,4181
30/7/2021,13:30:00,4186
30/7/2021,13:45:00,4196
30/7/2021,14:00:00,4206
30/7/2021,14:15:00,4206
30/7/2021,14:30:00,4201
30/7/2021,14:45:00,4206
