OBJECTID,Id,gridcode,Shape_Leng,Shape_Length,Shape_Area
1,1,0,415584.8582,775.9752321,892.3419389
2,2,1,521734.0395,1215.200311,2311.098639
3,3,2,291168.0446,1482.887302,29254.43369
