OBJECTID,Id,gridcode,Shape_Leng,Shape_Length,Shape_Area
1,1,0,415584.858164,267.4028806192627,230.02700994972776
2,2,1,521734.039546,310.74054569638156,424.56893567168333
3,3,2,291168.044575,539.556388209556,7023.306444072497
