OBJECTID,Id,gridcode,Shape_Leng,Shape_Length,Shape_Area
1,1,0,415584.858164,401.30666368274734,485.57146898871645
2,2,1,521734.039546,803.6222304381265,3088.4410549260683
3,3,2,291168.044575,789.5814828973952,14793.175935821018
