OBJECTID,Id,gridcode,Shape_Leng,Shape_Length,Shape_Area
1,1,0,415584.858164,237.10613515858938,266.58299472570167
2,2,1,521734.039546,297.7033849173074,551.7037578958285
3,3,2,291168.044575,455.8803589146877,2853.7158267157506
