OBJECTID,Id,gridcode,Shape_Leng,Shape_Length,Shape_Area
1,1,0,415584.858164,253.18424060936772,291.04893316135696
2,2,1,521734.039546,568.4494272040463,2049.0476596506383
3,3,2,291168.044575,690.2498774711739,11195.185473939962
