OBJECTID,Id,gridcode,Shape_Leng,Shape_Length,Shape_Area
1,1,0,415584.858164,471.8112215903502,419.7469718081607
2,2,1,521734.039546,528.6264331630686,2608.2802357988007
3,3,2,291168.044575,844.0948930906325,12527.007648909594
