OBJECTID,Id,gridcode,Shape_Leng,Shape_Length,Shape_Area
1,1,0,415584.858164,404.4877403632781,465.23598135942166
2,2,1,521734.039546,730.3553766227013,3377.087959085919
3,3,2,291168.044575,732.14283174189,12972.814918661179
