OBJECTID,Id,gridcode,Shape_Leng,Shape_Length,Shape_Area
1,1,0,415584.858164,312.5841744768107,250.86549165924063
2,2,1,521734.039546,406.32483080130817,553.2678317271583
3,3,2,291168.044575,559.1129552707117,7130.491537779426
