OBJECTID,Id,gridcode,Shape_Leng,Shape_Length,Shape_Area
1,1,0,415584.858164,340.360498334241,412.91809776698295
2,2,1,521734.039546,641.779912376545,3410.7411752416774
3,3,2,291168.044575,654.745237605679,11817.46126083731
