OBJECTID,Id,gridcode,Shape_Leng,Shape_Length,Shape_Area
1,1,0,415584.858164,246.14815211506544,267.1463834423205
2,2,1,521734.039546,305.51156840372994,803.7796506139186
3,3,2,291168.044575,530.8566970042683,3002.3550964201204
