OBJECTID,Id,gridcode,Shape_Leng,Shape_Length,Shape_Area
1,1,0,415584.858164,236.92344583300496,264.184974481667
2,2,1,521734.039546,269.11723911861264,460.14617258733716
3,3,2,291168.044575,435.91559201864294,2485.397621599558
