OBJECTID,Id,gridcode,Shape_Leng,Shape_Length,Shape_Area
1,1,0,415584.8582,175.5202308,130.9937139
2,2,1,521734.0395,293.5814487,296.2249425
3,3,2,291168.0446,752.324908,4901.556724
