OBJECTID,Id,gridcode,Shape_Leng,Shape_Length,Shape_Area
1,1,0,415584.858164,245.7122658824633,242.20472564248277
2,2,1,521734.039546,286.51663548385005,404.9674970345263
3,3,2,291168.044575,526.2629210488179,5881.0462328940885
