dist,pCO2_ppm,Totalflux_umolpers,Wetland,Wetland_4,shape,Totalfux_gpers
3.043758344,566.4882038,0.30702883,Gavi-mainstem,Gavi-mainstem,NA,1.35E-05
101.1217373,619.022998,51.50746892,Gavi-mainstem,Gavi-mainstem,NA,0.002266329
161.9119878,496.5489676,60.09346915,Gavi-mainstem,Gavi-mainstem,NA,0.002644113
54.1434052,788.703259,16.07052172,Gavi-mainstem,Gavi-mainstem,NA,0.000707103
219.3833764,789.0074568,67.17646907,Gavi-mainstem,Gavi-mainstem,NA,0.002955765
247.8121141,811.6096596,67.17646907,Gavi-mainstem,Gavi-mainstem,NA,0.002955765
179.6446348,924.8185183,67.17646907,Gavi-mainstem,Gavi-mainstem,NA,0.002955765
131.2083596,921.9810527,57.65781727,Gavi-mainstem,Gavi-mainstem,NA,0.002536944
71.25378084,1111.944302,45.63476455,Gavi-mainstem,Gavi-mainstem,NA,0.00200793
102.5957333,1215.550548,52.36571557,Gavi-mainstem,Gavi-mainstem,NA,0.002304091
209.8900981,1407.279904,67.17646907,Gavi-mainstem,Gavi-mainstem,NA,0.002955765
19.106936,1556.697444,13.30866492,Gavi-mainstem,Gavi-mainstem,NA,0.000585581
174.9453207,NA,66.6892158,Gavi-mainstem,Gavi-mainstem,NA,0.002934325
1059.218742,443.9843501,276.4872894,Gavi-mainstem,Gavi-mainstem,NA,0.012165441
1028.845743,466.8255368,276.1727156,Gavi-mainstem,Gavi-mainstem,NA,0.012151599
1051.743607,475.4753116,276.4872894,Gavi-mainstem,Gavi-mainstem,NA,0.012165441
986.5435796,537.6402185,246.1685259,Gavi-mainstem,Gavi-mainstem,NA,0.010831415
987.7886879,567.7224979,248.434002,Gavi-mainstem,Gavi-mainstem,NA,0.010931096
942.7503274,577.62168,242.7033531,Gavi-mainstem,Gavi-mainstem,NA,0.010678948
933.0006551,583.1253581,237.4129737,Gavi-mainstem,Gavi-mainstem,NA,0.010446171
908.6259036,605.5399379,225.5606909,Gavi-mainstem,Gavi-mainstem,NA,0.00992467
883.9961547,605.5983241,222.598178,Gavi-mainstem,Gavi-mainstem,NA,0.00979432
668.2828087,760.3268293,139.3924654,Gavi-mainstem,Gavi-mainstem,NA,0.006133268
640.9930065,794.6122934,127.8322387,Gavi-mainstem,Gavi-mainstem,NA,0.005624619
769.4444454,859.3492507,189.3181805,Gavi-mainstem,Gavi-mainstem,NA,0.00833
622.284922,899.4165224,109.9561694,Gavi-mainstem,Gavi-mainstem,NA,0.004838071
696.8330336,920.4262494,140.4704582,Gavi-mainstem,Gavi-mainstem,NA,0.0061807
720.3990958,1095.07967,148.0106213,Gavi-mainstem,Gavi-mainstem,NA,0.006512467
793.5283416,1183.100985,207.7806681,Gavi-mainstem,Gavi-mainstem,NA,0.009142349
837.467801,1485.95789,218.4053623,Gavi-mainstem,Gavi-mainstem,NA,0.009609836
861.7144008,1715.493786,222.3291193,Gavi-mainstem,Gavi-mainstem,NA,0.009782481
601.8355694,1758.938182,108.098001,Gavi-mainstem,Gavi-mainstem,NA,0.004756312
596.2797799,2236.719952,106.6996184,Gavi-mainstem,Gavi-mainstem,NA,0.004694783
571.0524416,4817.05608,101.3222347,Gavi-mainstem,Gavi-mainstem,NA,0.004458178
548.1782515,7288.120455,95.01261753,Gavi-mainstem,Gavi-mainstem,NA,0.004180555
523.5859696,7591.788998,82.43306246,Gavi-mainstem,Gavi-mainstem,NA,0.003627055
0,NA,0,ANTE,ANTE,shape,0
7.278141675,5341.61136,2.136321485,ANTE,ANTE,shape,9.40E-05
21.73008349,1276.566228,4.345808563,ANTE,ANTE,shape,0.000191216
35.51271783,1132.429194,4.621613037,ANTE,ANTE,shape,0.000203351
44.29354555,11459.57361,4.734350404,ANTE,ANTE,shape,0.000208311
78.32885213,4894.492681,6.853728282,ANTE,ANTE,shape,0.000301564
129.1111223,1578.686108,12.70724501,ANTE,ANTE,shape,0.000559119
161.3472344,928.338098,17.31388059,ANTE,ANTE,shape,0.000761811
198.2064631,1272.841318,19.76659294,ANTE,ANTE,shape,0.00086973
232.9589084,1209.46321,23.51324406,ANTE,ANTE,shape,0.001034583
254.9909653,1311.062431,27.67296627,ANTE,ANTE,shape,0.001217611
284.6298815,522.9615036,31.82298033,ANTE,ANTE,shape,0.001400211
337.8576351,316.8696346,33.90264761,ANTE,ANTE,shape,0.001491716
373.7238886,548.8156906,33.91854876,ANTE,ANTE,shape,0.001492416
376.4120862,563.8440146,34.15805676,ANTE,ANTE,shape,0.001502954
385.0729543,1026.038211,34.76193859,ANTE,ANTE,shape,0.001529525
403.4191584,2425.550391,35.74149222,ANTE,ANTE,shape,0.001572626
420.3292576,1744.438456,36.368557,ANTE,ANTE,shape,0.001600217
435.1443457,785.6929274,36.52637841,ANTE,ANTE,shape,0.001607161
447.067849,1008.527805,38.1186484,ANTE,ANTE,shape,0.001677221
0,NA,0,COLM,COLM,shape,0
71.12823507,883.8983801,6.866685825,COLM,COLM,shape,0.000302134
