OBJECTID,lat,lon,Sample_ID,SampleType,Z
1,None,None,1,upstream_pourpoints,4154.677126
2,None,None,2,upstream_pourpoints,4143.647199
3,None,None,3,upstream_pourpoints,4138.184536
4,None,None,4,upstream_pourpoints,4136.914884
5,None,None,5,upstream_pourpoints,4134.55668
7,None,None,6,upstream_pourpoints,4133.646457
8,None,None,7,upstream_pourpoints,4126.116285
9,None,None,8,upstream_pourpoints,4126.910554
10,None,None,9,upstream_pourpoints,4117.888253
11,None,None,10,upstream_pourpoints,4113.261689
12,None,None,11,upstream_pourpoints,4111.766278
13,None,None,12,upstream_pourpoints,4105.017818
14,None,None,14,upstream_pourpoints,4103.272011
15,None,None,15,upstream_pourpoints,4103.272003
16,None,None,16,upstream_pourpoints,4103.417892
17,None,None,17,upstream_pourpoints,4103.333805
18,None,None,13,upstream_pourpoints,4104.281324
21,0,-78,5,SamplePoints,4132.231851
22,0,-78,14,SamplePoints,4103.327972
23,0,-78,13,SamplePoints,4103.466393
24,0,-78,15,SamplePoints,4103.272
25,0,-78,16,SamplePoints,4103.289944
26,0,-78,8,SamplePoints,4119.971384
27,0,-78,12,SamplePoints,4104.396811
28,0,-78,11,SamplePoints,4107.06145
29,0,-78,10,SamplePoints,4107.598473
30,0,-78,9,SamplePoints,4111.279279
31,0,-78,7,SamplePoints,4121.850961
32,0,-78,3,SamplePoints,4136.725594
33,0,-78,6,SamplePoints,4126.675457
34,0,-78,4,SamplePoints,4135.143749
35,0,-78,1,SamplePoints,4146.060896
36,0,-78,2,SamplePoints,4138.354388
37,0,-78,17,SamplePoints,4103.272896
