Plot Title: Injection_july20,,,,,,,,
#,"Date Time, GMT-05:00","Low Range, ?S/cm (LGR S/N: 20974616, SEN S/N: 20974616)","Temp, °C (LGR S/N: 20974616, SEN S/N: 20974616)",Coupler Detached (LGR S/N: 20974616),Coupler Attached (LGR S/N: 20974616),Host Connected (LGR S/N: 20974616),Stopped (LGR S/N: 20974616),End Of File (LGR S/N: 20974616)
899,7/20/2021 13:58,22.9,8.86,,,,,
900,7/20/2021 13:58,22.9,8.86,,,,,
901,7/20/2021 13:58,22.9,8.86,,,,,
902,7/20/2021 13:58,23,8.87,,,,,
903,7/20/2021 13:58,23,8.88,,,,,
904,7/20/2021 13:58,23,8.88,,,,,
905,7/20/2021 13:59,23,8.89,,,,,
906,7/20/2021 13:59,23,8.88,,,,,
907,7/20/2021 13:59,23,8.89,,,,,
908,7/20/2021 13:59,23,8.89,,,,,
909,7/20/2021 13:59,23,8.91,,,,,
910,7/20/2021 13:59,23,8.91,,,,,
911,7/20/2021 14:00,23,8.91,,,,,
912,7/20/2021 14:00,23.1,8.92,,,,,
913,7/20/2021 14:00,23,8.92,,,,,
914,7/20/2021 14:00,23.1,8.92,,,,,
915,7/20/2021 14:00,23.1,8.93,,,,,
916,7/20/2021 14:00,23,8.92,,,,,
917,7/20/2021 14:01,23.1,8.93,,,,,
918,7/20/2021 14:01,23.1,8.93,,,,,
919,7/20/2021 14:01,23,8.93,,,,,
920,7/20/2021 14:01,23,8.93,,,,,
921,7/20/2021 14:01,23,8.94,,,,,
922,7/20/2021 14:01,23.1,8.94,,,,,
923,7/20/2021 14:02,23,8.94,,,,,
924,7/20/2021 14:02,22.9,8.94,,,,,
925,7/20/2021 14:02,23,8.94,,,,,
926,7/20/2021 14:02,23,8.95,,,,,
927,7/20/2021 14:02,23,8.95,,,,,
928,7/20/2021 14:02,22.9,8.95,,,,,
929,7/20/2021 14:03,22.6,8.97,,,,,
930,7/20/2021 14:03,21.8,8.98,,,,,
931,7/20/2021 14:03,20.5,8.97,,,,,
932,7/20/2021 14:03,18.9,8.98,,,,,
933,7/20/2021 14:03,17,8.99,,,,,
934,7/20/2021 14:03,15.1,8.98,,,,,
935,7/20/2021 14:04,13.6,8.99,,,,,
936,7/20/2021 14:04,12.2,8.99,,,,,
937,7/20/2021 14:04,11.1,8.99,,,,,
938,7/20/2021 14:04,10.1,8.99,,,,,
939,7/20/2021 14:04,9.3,9,,,,,
940,7/20/2021 14:04,8.9,9,,,,,
