"Plot Title: Injection_july20"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20974616, SEN S/N: 20974616)","Temp, °C (LGR S/N: 20974616, SEN S/N: 20974616)","Coupler Detached (LGR S/N: 20974616)","Coupler Attached (LGR S/N: 20974616)","Host Connected (LGR S/N: 20974616)","Stopped (LGR S/N: 20974616)","End Of File (LGR S/N: 20974616)"
101,07/20/21 11:45:00 AM,3.7,10.87,,,,,
102,07/20/21 11:45:10 AM,1.8,10.87,,,,,
103,07/20/21 11:45:20 AM,1.8,10.86,,,,,
104,07/20/21 11:45:30 AM,3.4,10.86,,,,,
105,07/20/21 11:45:40 AM,1.8,10.85,,,,,
106,07/20/21 11:45:50 AM,1.8,10.85,,,,,
107,07/20/21 11:46:00 AM,1.8,10.85,,,,,
108,07/20/21 11:46:10 AM,1.9,10.85,,,,,
109,07/20/21 11:46:20 AM,3.4,10.84,,,,,
110,07/20/21 11:46:30 AM,1.9,10.84,,,,,
111,07/20/21 11:46:40 AM,1.9,10.84,,,,,
112,07/20/21 11:46:50 AM,1.9,10.82,,,,,
113,07/20/21 11:47:00 AM,1.8,10.82,,,,,
114,07/20/21 11:47:10 AM,1.9,10.82,,,,,
115,07/20/21 11:47:20 AM,1.8,10.81,,,,,
116,07/20/21 11:47:30 AM,1.9,10.81,,,,,
117,07/20/21 11:47:40 AM,1.9,10.80,,,,,
118,07/20/21 11:47:50 AM,1.8,10.80,,,,,
119,07/20/21 11:48:00 AM,1.8,10.80,,,,,
120,07/20/21 11:48:10 AM,1.9,10.79,,,,,
121,07/20/21 11:48:20 AM,3.4,10.79,,,,,
122,07/20/21 11:48:30 AM,1.9,10.79,,,,,
123,07/20/21 11:48:40 AM,3.4,10.79,,,,,
124,07/20/21 11:48:50 AM,1.8,10.78,,,,,
125,07/20/21 11:49:00 AM,1.9,10.79,,,,,
126,07/20/21 11:49:10 AM,1.8,10.78,,,,,
127,07/20/21 11:49:20 AM,1.8,10.76,,,,,
128,07/20/21 11:49:30 AM,1.9,10.78,,,,,
129,07/20/21 11:49:40 AM,1.8,10.76,,,,,
130,07/20/21 11:49:50 AM,3.7,10.76,,,,,
131,07/20/21 11:50:00 AM,1.9,10.76,,,,,
132,07/20/21 11:50:10 AM,1.8,10.75,,,,,
133,07/20/21 11:50:20 AM,1.8,10.75,,,,,
134,07/20/21 11:50:30 AM,1.8,10.75,,,,,
135,07/20/21 11:50:40 AM,1.9,10.75,,,,,
136,07/20/21 11:50:50 AM,1.9,10.75,,,,,
137,07/20/21 11:51:00 AM,1.9,10.75,,,,,
138,07/20/21 11:51:10 AM,3.4,10.74,,,,,
139,07/20/21 11:51:20 AM,1.8,10.73,,,,,
140,07/20/21 11:51:30 AM,1.9,10.73,,,,,
141,07/20/21 11:51:40 AM,1.8,10.73,,,,,
142,07/20/21 11:51:50 AM,1.9,10.73,,,,,
143,07/20/21 11:52:00 AM,1.8,10.73,,,,,
144,07/20/21 11:52:10 AM,1.9,10.73,,,,,
145,07/20/21 11:52:20 AM,1.8,10.72,,,,,
146,07/20/21 11:52:30 AM,1.8,10.72,,,,,
147,07/20/21 11:52:40 AM,1.9,10.73,,,,,
148,07/20/21 11:52:50 AM,1.9,10.72,,,,,
149,07/20/21 11:53:00 AM,1.8,10.72,,,,,
150,07/20/21 11:53:10 AM,3.4,10.72,,,,,
151,07/20/21 11:53:20 AM,1.8,10.72,,,,,
152,07/20/21 11:53:30 AM,3.7,10.72,,,,,
153,07/20/21 11:53:40 AM,3.4,10.70,,,,,
154,07/20/21 11:53:50 AM,1.8,10.70,,,,,
155,07/20/21 11:54:00 AM,1.9,10.70,,,,,
156,07/20/21 11:54:10 AM,3.7,10.70,,,,,
157,07/20/21 11:54:20 AM,3.7,10.70,,,,,
